dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting
spect_heart,0,2,0.021874666213989258,0,905,273,265,222
spect_heart,0,3,0.04644632339477539,0,2445,1813,1805,513
spect_heart,0,5,1.709986925125122,0,32244,28066,31604,868
fertility,O,2,0.011231184005737305,0,380,243,155,74
fertility,O,3,0.024810314178466797,0,1244,957,766,132
fertility,O,5,0.1178586483001709,0,3938,3627,3398,146
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.02076411247253418,0,325,275,137,131
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.05493664741516113,0,1575,1042,788,228
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.10935235023498535,0,3024,1475,1571,246
Mushroom_UCI_,p,2,0.1316206455230713,0,4395,311,1502,375
Mushroom_UCI_,p,3,0.15942740440368652,0,5204,415,2259,488
Mushroom_UCI_,p,5,0.16963934898376465,0,5382,561,2433,576
wall24,Slight-Right-Turn,2,0.10392355918884277,0,4190,263,1669,404
wall24,Slight-Right-Turn,3,0.11522412300109863,0,4622,335,2101,503
wall24,Slight-Right-Turn,5,0.12097811698913574,0,4662,366,2141,526
thyroid_allbp,increased binding protein.,2,0.05089926719665527,0,1894,402,657,252
thyroid_allbp,increased binding protein.,3,0.11179256439208984,0,4592,2020,2817,578
thyroid_allbp,increased binding protein.,5,1.7538001537322998,0,31959,25976,25129,893
analcatdata_creditscore,1,2,0.007990598678588867,0,192,124,85,28
analcatdata_creditscore,1,3,0.012124300003051758,0,458,361,265,46
analcatdata_creditscore,1,5,0.02167057991027832,0,841,739,605,55
primary,1,2,0.02121710777282715,0,1043,300,433,170
primary,1,3,0.04142403602600098,0,2443,882,1439,379
primary,1,5,0.10018491744995117,0,4949,2553,3688,567
breast_tissue_merged,car,2,0.010699987411499023,0,336,230,174,65
breast_tissue_merged,car,3,0.024079322814941406,0,1185,965,864,103
breast_tissue_merged,car,5,0.07335782051086426,0,3200,2099,2840,111
pima,1,2,0.014208793640136719,0,465,311,216,178
pima,1,3,0.03772711753845215,0,1934,404,1366,231
pima,1,5,0.0384061336517334,0,1960,409,1392,232
Divorce,1,2,0.09447097778320312,0,6486,198,6081,414
Divorce,1,3,0.09729146957397461,0,6717,280,6312,488
Divorce,1,5,0.09990572929382324,0,6822,384,6417,494
asbestos,(3)_Above_legal_limit,2,0.004781007766723633,0,36,26,13,8
asbestos,(3)_Above_legal_limit,3,0.005142927169799805,0,48,35,19,9
asbestos,(3)_Above_legal_limit,5,0.0051729679107666016,0,48,35,19,9
bupa,1,2,0.010089635848999023,0,300,259,131,122
bupa,1,3,0.028998613357543945,0,1505,436,730,165
bupa,1,5,0.03270769119262695,0,1567,463,789,167
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.012875795364379883,0,325,275,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.03726983070373535,0,1575,1525,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.39864301681518555,0,7825,7775,0,0
cardio3,2,2,0.0491642951965332,0,2213,275,742,273
cardio3,2,3,0.06769990921020508,0,3130,563,1649,408
cardio3,2,5,0.08472633361816406,0,3785,1020,2302,509
volcanoes-d4,3,2,0.010129690170288086,0,78,59,17,17
volcanoes-d4,3,3,0.011654376983642578,0,138,94,36,36
volcanoes-d4,3,5,0.011666059494018555,0,138,94,36,36
pitt2_3,LONG,2,0.008157968521118164,0,194,137,91,40
pitt2_3,LONG,3,0.014112234115600586,0,557,469,343,64
pitt2_3,LONG,5,0.0353083610534668,0,1402,1298,1065,69
grammatical_b5,1,2,0.6157402992248535,0,30103,1715,29350,708
grammatical_b5,1,3,0.841933012008667,0,41329,9927,40564,763
grammatical_b5,1,5,30.030866384506226,0,184613,148895,183845,772
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.12457990646362305,0,325,275,139,133
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2640221118927002,0,1575,1525,768,216
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0729420185089111,0,7825,4650,3955,216
pitt1_4,S,2,0.00816965103149414,0,214,151,99,34
pitt1_4,S,3,0.015108108520507812,0,621,509,380,44
pitt1_4,S,5,0.036054134368896484,0,1443,1306,1135,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.643782377243042,0,5050,2808,2224,281
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,44.164196729660034,0,56896,36411,28715,304
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,-1.0,1,-1,-1,-1,-1
gesture_va,P,2,0.7342269420623779,0,8256,1594,4281,398
gesture_va,P,3,1.3992950916290283,0,24672,2024,20154,458
gesture_va,P,5,0.8179404735565186,0,24982,2125,20463,482
connectionist_vowel,4,2,0.033347368240356445,0,1655,296,583,304
connectionist_vowel,4,3,0.047156333923339844,0,2419,420,1316,392
connectionist_vowel,4,5,0.04848313331604004,0,2467,451,1364,401
breast_cancer_wis_pro,R,2,0.14290332794189453,0,10594,981,4649,380
breast_cancer_wis_pro,R,3,0.19257736206054688,0,13260,1388,7232,445
breast_cancer_wis_pro,R,5,0.2152702808380127,0,13986,1881,7957,501
diggle_table_a2,8,2,0.00841379165649414,0,168,113,76,70
diggle_table_a2,8,3,0.013018131256103516,0,437,194,293,194
diggle_table_a2,8,5,0.015610456466674805,0,578,280,434,258
page,5,2,0.03086686134338379,0,781,173,244,184
page,5,3,0.03942108154296875,0,1133,287,590,300
page,5,5,0.04283642768859863,0,1267,380,724,343
steel-plates-fault,2,2,0.11326813697814941,0,5784,894,3352,466
steel-plates-fault,2,3,0.18793511390686035,0,9156,2042,6496,661
steel-plates-fault,2,5,0.2531275749206543,0,11390,2570,8684,862
mechanical,4,2,0.02296924591064453,0,381,256,155,145
mechanical,4,3,0.04990196228027344,0,1316,594,717,263
mechanical,4,5,0.06038546562194824,0,1606,800,973,302
OnlineShoppersIntention,True,2,0.1406688690185547,0,3660,461,1452,297
OnlineShoppersIntention,True,3,0.2415928840637207,0,5748,1388,3129,423
OnlineShoppersIntention,True,5,0.4765458106994629,0,9090,4425,6028,486
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1451120376586914,0,5050,4600,2264,355
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.3855533599853516,0,125050,4600,68469,355
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.3478634357452393,0,125050,4600,68469,355
glass,3,2,0.01215815544128418,0,382,249,174,137
glass,3,3,0.025494813919067383,0,1278,425,875,240
glass,3,5,0.0319974422454834,0,1612,759,1209,264
molecular_promoter,+,2,0.3652632236480713,0,25879,427,9894,442
molecular_promoter,+,3,0.3705158233642578,0,26245,476,10260,495
molecular_promoter,+,5,0.37357568740844727,0,26254,480,10269,499
blood,1,2,0.007769346237182617,0,136,97,46,46
blood,1,3,0.00995779037475586,0,281,204,102,84
blood,1,5,0.011065483093261719,0,319,242,123,96
weight,B,2,1.0131518840789795,0,68852,525,48830,391
weight,B,3,1.020491600036621,0,69214,607,49192,476
weight,B,5,1.0233545303344727,0,69297,690,49275,518
ozone1,1,2,0.6272833347320557,0,32926,818,13093,467
ozone1,1,3,0.7110641002655029,0,36992,2517,17159,583
ozone1,1,5,2.0585038661956787,0,61170,23114,41337,648
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3561866283416748,0,325,275,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.673581600189209,0,1575,1525,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,2.5018160343170166,0,7825,7775,0,0
ionosphere,b,2,0.11461853981018066,0,8256,297,3571,357
ionosphere,b,3,0.12560009956359863,0,8855,354,4169,409
ionosphere,b,5,0.13131356239318848,0,8882,356,4196,410
grammatical_b7,1,2,0.6835596561431885,0,33569,1007,32734,919
grammatical_b7,1,3,0.8261792659759521,0,41773,8054,40937,1067
grammatical_b7,1,5,57.05726432800293,0,359011,321335,358175,1134
wine_quality,4,2,0.043808937072753906,0,1081,599,440,237
wine_quality,4,3,0.12553000450134277,0,4624,912,3187,312
wine_quality,4,5,0.1319441795349121,0,4831,1033,3385,322
VehicleCouponRecommendation,0,2,0.13966917991638184,0,4186,1063,1798,308
VehicleCouponRecommendation,0,3,0.3884572982788086,0,11991,3513,6068,415
VehicleCouponRecommendation,0,5,1.2551445960998535,0,22426,11273,11580,474
auto7_2,class3,2,0.020472049713134766,0,780,643,348,218
auto7_2,class3,3,0.1110374927520752,0,6167,1293,3364,328
auto7_2,class3,5,0.1264948844909668,0,6678,1522,3807,352
wave,0,2,0.10064435005187988,0,3570,492,1701,413
wave,0,3,0.12688779830932617,0,4748,673,2867,413
wave,0,5,0.13234233856201172,0,4939,727,3058,413
cnae9,4,2,7.733491659164429,0,453548,368495,330652,838
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,0.21874666213989258,0,9577,2447,8931,528
grammatical_a9,1,3,1.0072081089019775,0,47098,19168,46452,559
grammatical_a9,1,5,159.51626586914062,0,454330,415856,453684,568
teaching,2,2,0.018790483474731445,0,1005,228,179,21
teaching,2,3,0.02431178092956543,0,1304,496,407,25
teaching,2,5,0.029591798782348633,0,1498,688,586,25
auto6_1,class8,2,0.1835613250732422,0,12090,2635,5641,418
auto6_1,class8,3,0.6350317001342773,0,29366,3146,21840,454
auto6_1,class8,5,0.6315827369689941,0,29417,3151,21891,456
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,59.05605101585388,0,5050,4600,2314,357
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,1.233447551727295,0,30914,829,14962,500
ozone8,1,3,0.7242460250854492,0,34606,2695,18654,610
ozone8,1,5,1.7441411018371582,0,54144,21117,38192,663
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.014737606048583984,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.01485586166381836,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.015204668045043945,0,10,8,0,0
bach, C#d,2,0.02248978614807129,0,280,164,208,171
bach, C#d,3,0.04275083541870117,0,944,450,872,340
bach, C#d,5,0.07981348037719727,0,2121,1242,2049,623
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,59.044819355010986,0,80200,76400,38263,210
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,1.9030511379241943,0,32387,840,13123,403
polish_bankruptcy_1year,1,3,0.8062725067138672,0,35827,2147,16563,523
polish_bankruptcy_1year,1,5,0.9569668769836426,0,39780,4534,20516,607
coil2000,1,2,2.0477294921875,0,68915,3992,31820,722
coil2000,1,3,5.503453731536865,0,133944,27849,67773,1003
coil2000,1,5,-1.0,1,-1,-1,-1,-1
robot2,back_col,2,0.012319803237915039,0,353,244,151,133
robot2,back_col,3,0.026456832885742188,0,1251,354,782,223
robot2,back_col,5,0.027225971221923828,0,1297,376,828,235
EqualDist_Random-Synthetic__2_7_5349_,1,2,0.023761749267578125,0,630,552,269,197
EqualDist_Random-Synthetic__2_7_5349_,1,3,0.11339974403381348,0,4799,2891,2441,257
EqualDist_Random-Synthetic__2_7_5349_,1,5,0.319133996963501,0,9039,3000,5358,257
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,2,0.0042035579681396484,0,10,8,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,3,0.004164457321166992,0,10,8,0,0
U_LVL1_1_Uninteresting_Non-Random-Synthetic__2_2_40_,1,5,0.004198551177978516,0,10,8,0,0
auto6_3,class1,2,0.17187714576721191,0,12090,1017,5586,480
auto6_3,class1,3,0.25712084770202637,0,14704,1352,8169,527
auto6_3,class1,5,0.2623476982116699,0,14776,1400,8241,527
grammatical_b1,1,2,1.5399925708770752,0,85865,1640,80897,738
grammatical_b1,1,3,1.6926896572113037,0,94498,6421,89530,807
grammatical_b1,1,5,7.3257386684417725,0,144285,53148,139317,819
EqualDist_Random-Synthetic__2_10_7463_,1,2,0.04847598075866699,0,1275,1162,567,262
EqualDist_Random-Synthetic__2_10_7463_,1,3,0.4182417392730713,0,15749,7333,8065,305
EqualDist_Random-Synthetic__2_10_7463_,1,5,1.5799663066864014,0,31168,8103,17891,307
volcanoes-a1,4,2,0.024830341339111328,0,67,41,22,22
volcanoes-a1,4,3,0.007797718048095703,0,89,60,41,41
volcanoes-a1,4,5,0.007510662078857422,0,89,60,41,41
vert3,NO,2,0.009688615798950195,0,277,166,128,115
vert3,NO,3,0.017281770706176758,0,723,263,487,157
vert3,NO,5,0.0188443660736084,0,773,286,537,170
CongressionalVotingRecords_UCI_,republican,2,0.023638010025024414,0,1176,170,501,211
CongressionalVotingRecords_UCI_,republican,3,0.03130221366882324,0,1661,333,986,338
CongressionalVotingRecords_UCI_,republican,5,0.035721778869628906,0,1874,418,1199,393
pitt2_2,WOOD,2,0.007466793060302734,0,159,94,68,27
pitt2_2,WOOD,3,0.010003805160522461,0,325,258,213,40
pitt2_2,WOOD,5,0.01660299301147461,0,645,578,527,41
statlog_vehicle,opel,2,0.047469139099121094,0,2628,364,1044,302
statlog_vehicle,opel,3,0.06379985809326172,0,3547,683,1912,403
statlog_vehicle,opel,5,0.09146308898925781,0,4721,1798,3086,447
pitt2_1,DECK,2,0.007307529449462891,0,159,113,76,39
pitt2_1,DECK,3,0.011450052261352539,0,429,364,273,58
pitt2_1,DECK,5,0.02516317367553711,0,1002,919,799,60
grammatical_a8,1,2,0.6899635791778564,0,36170,664,34745,741
grammatical_a8,1,3,0.7237799167633057,0,38331,1471,36906,772
grammatical_a8,1,5,0.8383965492248535,0,41572,4590,40147,775
grammatical_a6,1,2,0.3117396831512451,0,12521,1380,11742,716
grammatical_a6,1,3,0.7224636077880859,0,31282,17625,30503,876
grammatical_a6,1,5,474.2786054611206,0,1307432,1266062,1306653,979
auto6_2,class5,2,0.19386005401611328,0,12090,994,5726,233
auto6_2,class5,3,0.2892942428588867,0,14301,1071,7823,251
auto6_2,class5,5,0.2869236469268799,0,14309,1072,7831,251
auto1,class1,2,0.02272343635559082,0,820,786,405,231
auto1,class1,3,0.17769765853881836,0,9515,5672,4973,373
auto1,class1,5,1.5500702857971191,0,35850,10557,23851,480
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,2,5.801091194152832,0,5050,4600,2297,361
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,3,91.35393834114075,0,125050,124600,61808,361
ED_LVL_2_3_EqualDist_Random-Synthetic__2_10_1000000_,1,5,-1.0,1,-1,-1,-1,-1
heart_cleverland,3,2,0.08772778511047363,0,862,314,385,218
heart_cleverland,3,3,0.03977370262145996,0,1921,440,1358,325
heart_cleverland,3,5,0.04021644592285156,0,2099,529,1536,374
analcatdata_boxing1,1,2,0.009063243865966797,0,234,89,64,14
analcatdata_boxing1,1,3,0.009351491928100586,0,276,131,106,14
analcatdata_boxing1,1,5,0.009268522262573242,0,276,131,106,14
qsar,RB,2,0.17894458770751953,0,6914,699,2761,371
qsar,RB,3,0.25504541397094727,0,12267,4230,7665,585
qsar,RB,5,4.483374834060669,0,69516,48058,62844,1077
internet,ad.,2,28.395881175994873,0,1378419,1209613,823533,900
internet,ad.,3,-1.0,1,-1,-1,-1,-1
internet,ad.,5,-1.0,1,-1,-1,-1,-1
robot4,normal,2,0.011515378952026367,0,259,165,105,104
robot4,normal,3,0.02057194709777832,0,795,226,497,198
robot4,normal,5,0.0216982364654541,0,849,263,551,238
mw1,2,2,0.10259056091308594,0,6912,577,2669,366
mw1,2,3,0.16711044311523438,0,10939,3644,6683,551
mw1,2,5,4.442456245422363,0,74609,62357,70347,840
polish_bankruptcy_5year,1,2,0.7056682109832764,0,32386,868,10137,424
polish_bankruptcy_5year,1,3,0.7979323863983154,0,36981,2943,14732,611
polish_bankruptcy_5year,1,5,2.939270257949829,0,70806,34445,48557,809
grammatical_b8,1,2,0.8497984409332275,0,43366,723,42610,531
grammatical_b8,1,3,0.8733863830566406,0,44366,1168,43597,593
grammatical_b8,1,5,0.8902111053466797,0,44849,1611,44074,607
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,2,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,3,-1.0,1,-1,-1,-1,-1
ND_LVL_3_4_NormalDist_Random-Synthetic__2_20_10000000_,0,5,-1.0,1,-1,-1,-1,-1
heart_va,3,2,0.05434608459472656,0,68,48,29,22
heart_va,3,3,0.008870363235473633,0,117,94,55,34
heart_va,3,5,0.0075283050537109375,0,136,113,67,37
volcanoes-b5,4,2,0.014822006225585938,0,78,56,20,20
volcanoes-b5,4,3,0.013376235961914062,0,128,89,37,37
volcanoes-b5,4,5,0.011897087097167969,0,128,89,37,37
wilt,w,2,0.016252517700195312,0,210,158,78,78
wilt,w,3,0.02424764633178711,0,648,245,308,179
wilt,w,5,0.023540019989013672,0,678,255,338,186
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,2,0.1969437599182129,0,325,275,144,134
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,3,0.39580297470092773,0,1575,1310,775,225
ND_LVL_1_2_NormalDist_Random-Synthetic__2_5_100000_,0,5,0.5705118179321289,0,4172,2804,2209,234
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,2,0.022297382354736328,0,325,275,136,132
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,3,0.055820465087890625,0,1575,1525,782,218
ED_LVL_1_1_EqualDist_Random-Synthetic__2_5_10000_,0,5,0.17175769805908203,0,4700,1530,2493,218
mfeat-karhunen,8,2,0.7949268817901611,0,31631,491,13132,348
mfeat-karhunen,8,3,0.6423146724700928,0,32215,535,13716,383
mfeat-karhunen,8,5,0.6496939659118652,0,32221,536,13722,384
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,2,0.0043163299560546875,0,7,5,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,3,0.004183292388916016,0,7,5,4,4
I_LVL1_1_Interesting_Non-Random-Synthetic__2_2_40_,1,5,0.0040814876556396484,0,7,5,4,4
Iris_UCI_,Iris-virginica,2,0.005882978439331055,0,82,52,42,27
Iris_UCI_,Iris-virginica,3,0.007029533386230469,0,137,100,85,32
Iris_UCI_,Iris-virginica,5,0.00735926628112793,0,156,119,104,32
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,2,0.014641761779785156,0,7,5,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,3,0.014186859130859375,0,7,5,4,4
I_LVL1_4_Interesting_Non-Random-Synthetic__2_2_40000_,1,5,0.014091730117797852,0,7,5,4,4
thyroid_ann,2,2,0.05465960502624512,0,1089,486,471,235
thyroid_ann,2,3,0.17374897003173828,0,4208,1032,2540,484
thyroid_ann,2,5,0.3840363025665283,0,8689,4872,6407,656
seeds,2,2,0.009277582168579102,0,238,171,112,70
seeds,2,3,0.01776409149169922,0,794,233,516,147
seeds,2,5,0.019243240356445312,0,859,276,581,192
hv_no_noise,0,2,1.4209012985229492,0,80200,20200,26667,365
hv_no_noise,0,3,21.95768713951111,0,727000,667000,350067,431
hv_no_noise,0,5,-1.0,1,-1,-1,-1,-1
statlog_australian,1,2,0.0328214168548584,0,1653,298,662,252
statlog_australian,1,3,0.04904031753540039,0,2593,415,1440,372
statlog_australian,1,5,0.050713300704956055,0,2682,465,1526,414
hiv_schilling,1,2,0.18957257270812988,0,11038,271,3159,310
hiv_schilling,1,3,0.20101499557495117,0,11162,271,3279,310
hiv_schilling,1,5,0.19440746307373047,0,11162,271,3279,310
heart-long-beach,4,2,0.0175473690032959,0,745,399,333,188
heart-long-beach,4,3,0.04829859733581543,0,2779,1174,1835,320
heart-long-beach,4,5,0.11110210418701172,0,4889,2477,3821,400
datatrieve,2,2,0.011710166931152344,0,408,187,137,86
datatrieve,2,3,0.018177509307861328,0,822,311,493,168
datatrieve,2,5,0.021824121475219727,0,986,412,657,238
jEdit_4.0_4.2,2,2,0.011795759201049805,0,406,233,181,139
jEdit_4.0_4.2,2,3,0.023371219635009766,0,1129,346,737,234
jEdit_4.0_4.2,2,5,0.025265216827392578,0,1207,392,810,273
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,2,10.062892198562622,0,325,275,143,134
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,3,22.33239459991455,0,1575,1525,787,227
ND_LVL_1_4_NormalDist_Random-Synthetic__2_5_10000000_,0,5,78.00572991371155,0,6833,5424,3455,234
pitt1_2,WOOD,2,0.007483482360839844,0,144,86,67,27
pitt1_2,WOOD,3,0.009608268737792969,0,290,232,203,35
pitt1_2,WOOD,5,0.015598297119140625,0,571,513,482,35
backache,2,2,0.054979562759399414,0,3412,985,1670,358
backache,2,3,0.17946887016296387,0,11102,3442,6495,570
backache,2,5,1.2910103797912598,0,32696,17480,12061,753
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,2,0.9859113693237305,0,39395,10200,17712,410
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,3,11.463412523269653,0,397358,12982,209685,410
ND_LVL_3_1_NormalDist_Random-Synthetic__2_20_10000_,0,5,11.848104238510132,0,398059,12982,210350,410
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,2,1.0419244766235352,0,325,275,134,129
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,3,2.1294291019439697,0,1575,1525,766,208
ED_LVL_1_3_EqualDist_Random-Synthetic__2_5_1000000_,1,5,7.583576917648315,0,7825,6365,3909,208
thyroid_hypothyroid,hypothyroid,2,0.018447399139404297,0,412,228,189,167
thyroid_hypothyroid,hypothyroid,3,0.046915531158447266,0,1572,908,1041,346
thyroid_hypothyroid,hypothyroid,5,0.41933155059814453,0,10140,9476,9130,636
grammatical_a3,1,2,0.4494946002960205,0,22101,1004,21471,604
grammatical_a3,1,3,0.5662169456481934,0,27295,3280,26664,661
grammatical_a3,1,5,1.7599520683288574,0,44206,19651,43575,679
