dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting
spect_heart,0,2,0.01944136619567871,0,905,273,265,222
spect_heart,0,3,0.07125043869018555,0,2445,1813,1805,513
spect_heart,0,5,1.7193450927734375,0,32244,28066,31604,868
fertility,O,2,0.010269880294799805,0,329,155,132,74
fertility,O,3,0.014942646026611328,0,641,307,303,132
fertility,O,5,0.017434120178222656,0,725,351,353,146
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020139455795288086,0,325,275,137,131
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.052911996841430664,0,1575,1042,788,228
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.12657451629638672,0,3024,1475,1571,246
Mushroom_UCI_,p,2,0.1438908576965332,0,4033,307,1400,375
Mushroom_UCI_,p,3,0.16851234436035156,0,4842,411,2157,488
Mushroom_UCI_,p,5,0.17899727821350098,0,5020,557,2331,576
wall24,Slight-Right-Turn,2,0.12185001373291016,0,4190,263,1669,404
wall24,Slight-Right-Turn,3,0.13277363777160645,0,4622,335,2101,503
wall24,Slight-Right-Turn,5,0.13370704650878906,0,4662,366,2141,526
thyroid_allbp,increased binding protein.,2,0.050318002700805664,0,1894,402,657,252
thyroid_allbp,increased binding protein.,3,0.1454026699066162,0,4592,2020,2817,578
thyroid_allbp,increased binding protein.,5,1.803581714630127,0,31959,25976,25129,893
analcatdata_creditscore,1,2,0.006505250930786133,0,112,60,53,28
analcatdata_creditscore,1,3,0.007544994354248047,0,181,107,82,46
analcatdata_creditscore,1,5,0.007680654525756836,0,203,124,92,55
primary,1,2,0.014905929565429688,0,614,285,273,170
primary,1,3,0.03550243377685547,0,1961,867,1226,379
primary,1,5,0.12084555625915527,0,4467,2538,3475,567
breast_tissue_merged,car,2,0.009941339492797852,0,336,98,174,65
breast_tissue_merged,car,3,0.011390447616577148,0,438,151,253,103
breast_tissue_merged,car,5,0.012683391571044922,0,452,163,264,111
pima,1,2,0.01340031623840332,0,465,311,216,178
pima,1,3,0.06341242790222168,0,1934,404,1366,231
pima,1,5,0.06527042388916016,0,1960,409,1392,232
Divorce,1,2,0.1210317611694336,0,6486,198,6081,414
Divorce,1,3,0.12399029731750488,0,6717,280,6312,488
Divorce,1,5,0.12489843368530273,0,6822,384,6417,494
asbestos,(3)_Above_legal_limit,2,0.004878044128417969,0,36,18,13,8
asbestos,(3)_Above_legal_limit,3,0.0044748783111572266,0,39,20,14,9
asbestos,(3)_Above_legal_limit,5,0.0045092105865478516,0,39,20,14,9
bupa,1,2,0.00969839096069336,0,300,244,131,122
bupa,1,3,0.025394678115844727,0,1312,339,634,165
bupa,1,5,0.026161670684814453,0,1342,346,661,167
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.012080192565917969,0,325,275,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.04213762283325195,0,1575,1525,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.15115761756896973,0,4700,1525,0,0
cardio3,2,2,0.07416415214538574,0,2213,275,742,273
cardio3,2,3,0.09241914749145508,0,3130,563,1649,408
cardio3,2,5,0.11025786399841309,0,3785,1020,2302,509
volcanoes-d4,3,2,0.00921940803527832,0,78,59,17,17
volcanoes-d4,3,3,0.01095128059387207,0,138,94,36,36
volcanoes-d4,3,5,0.010805368423461914,0,138,94,36,36
pitt2_3,LONG,2,0.006768226623535156,0,159,71,78,40
pitt2_3,LONG,3,0.008266448974609375,0,241,118,116,64
pitt2_3,LONG,5,0.008549213409423828,0,255,127,123,69
grammatical_b5,1,2,0.5848731994628906,0,30103,1715,29350,708
grammatical_b5,1,3,0.8316972255706787,0,41329,9927,40564,763
grammatical_b5,1,5,30.67976975440979,0,184613,148895,183845,772
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.11181068420410156,0,325,275,139,133
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2459573745727539,0,1575,1525,768,216
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0904123783111572,0,7825,4650,3955,216
pitt1_4,S,2,0.007102251052856445,0,177,65,82,34
pitt1_4,S,3,0.007823705673217773,0,223,91,101,44
pitt1_4,S,5,0.007842540740966797,0,224,92,101,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.662222385406494,0,5050,2800,2224,281
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.92037630081177,0,56890,27703,28709,304
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,-1.0,1,-1,-1,-1,-1
gesture_va,P,2,0.8398106098175049,0,8256,1594,4281,398
gesture_va,P,3,0.8450961112976074,0,24672,2024,20154,458
gesture_va,P,5,0.8567099571228027,0,24982,2125,20463,482
connectionist_vowel,4,2,0.03312945365905762,0,1655,296,583,304
connectionist_vowel,4,3,0.07868814468383789,0,2419,420,1316,392
connectionist_vowel,4,5,0.07942938804626465,0,2467,451,1364,401
breast_cancer_wis_pro,R,2,0.16592669486999512,0,9334,964,4187,380
breast_cancer_wis_pro,R,3,0.2132711410522461,0,11938,1357,6708,445
breast_cancer_wis_pro,R,5,0.22983503341674805,0,12632,1846,7401,501
diggle_table_a2,8,2,0.008812427520751953,0,168,103,76,70
diggle_table_a2,8,3,0.01181936264038086,0,364,184,240,194
diggle_table_a2,8,5,0.014930009841918945,0,505,270,381,258
page,5,2,0.030794143676757812,0,781,173,244,184
page,5,3,0.039658308029174805,0,1133,287,590,300
page,5,5,0.04352855682373047,0,1267,380,724,343
steel-plates-fault,2,2,0.14505290985107422,0,5784,894,3352,466
steel-plates-fault,2,3,0.21856236457824707,0,9156,2042,6496,661
steel-plates-fault,2,5,0.297137975692749,0,11390,2570,8684,862
mechanical,4,2,0.02300882339477539,0,381,256,155,145
mechanical,4,3,0.05045151710510254,0,1316,594,717,263
mechanical,4,5,0.06106281280517578,0,1606,800,973,302
OnlineShoppersIntention,True,2,0.16283273696899414,0,3250,456,1362,297
OnlineShoppersIntention,True,3,0.26369595527648926,0,5338,1383,3039,423
OnlineShoppersIntention,True,5,0.511955738067627,0,8680,4420,5938,486
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.18439102172851562,0,5050,4600,2264,355
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.4716873168945312,0,125050,4600,68469,355
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.462322950363159,0,125050,4600,68469,355
glass,3,2,0.011756181716918945,0,382,220,174,137
glass,3,3,0.021876096725463867,0,1021,341,675,240
glass,3,5,0.023237228393554688,0,1089,405,743,264
molecular_promoter,+,2,0.3918726444244385,0,25879,427,9894,442
molecular_promoter,+,3,0.3928525447845459,0,26245,476,10260,495
molecular_promoter,+,5,0.3975379467010498,0,26254,480,10269,499
blood,1,2,0.007248640060424805,0,136,97,46,46
blood,1,3,0.01002359390258789,0,281,178,102,84
blood,1,5,0.010611295700073242,0,306,203,114,96
weight,B,2,1.0518078804016113,0,68852,525,48830,391
weight,B,3,1.0636796951293945,0,69214,607,49192,476
weight,B,5,1.068208932876587,0,69297,690,49275,518
ozone1,1,2,0.6264286041259766,0,32926,818,13093,467
ozone1,1,3,0.7449984550476074,0,36992,2517,17159,583
ozone1,1,5,2.1632046699523926,0,61170,23114,41337,648
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3498854637145996,0,325,275,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.696265697479248,0,1575,1525,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,2.609743356704712,0,7825,4650,0,0
ionosphere,b,2,0.15091228485107422,0,8256,297,3571,357
ionosphere,b,3,0.16503047943115234,0,8855,354,4169,409
ionosphere,b,5,0.15800786018371582,0,8882,356,4196,410
grammatical_b7,1,2,0.7121822834014893,0,33569,1007,32734,919
grammatical_b7,1,3,0.8723561763763428,0,41773,8054,40937,1067
grammatical_b7,1,5,59.53871941566467,0,359011,321335,358175,1134
wine_quality,4,2,0.04347348213195801,0,1081,599,440,237
wine_quality,4,3,0.16280412673950195,0,4624,912,3187,312
wine_quality,4,5,0.16908621788024902,0,4831,1033,3385,322
VehicleCouponRecommendation,0,2,0.1729881763458252,0,4186,1063,1798,308
VehicleCouponRecommendation,0,3,0.43904757499694824,0,11991,3513,6068,415
VehicleCouponRecommendation,0,5,1.2697830200195312,0,22426,11273,11580,474
auto7_2,class3,2,0.01969313621520996,0,780,643,348,218
auto7_2,class3,3,0.1436781883239746,0,6167,1293,3364,328
auto7_2,class3,5,0.1570415496826172,0,6678,1522,3807,352
wave,0,2,0.13103055953979492,0,3570,492,1701,413
wave,0,3,0.1651613712310791,0,4748,673,2867,413
wave,0,5,0.16563129425048828,0,4939,727,3058,413
cnae9,4,2,7.494702577590942,0,415418,368454,295024,838
cnae9,4,3,-1.0,1,-1,-1,-1,-1
cnae9,4,5,-1.0,1,-1,-1,-1,-1
grammatical_a9,1,2,0.2539048194885254,0,9577,2447,8931,528
grammatical_a9,1,3,1.0734443664550781,0,47098,19168,46452,559
grammatical_a9,1,5,163.5478012561798,0,454330,415856,453684,568
teaching,2,2,0.00779414176940918,0,195,47,72,21
teaching,2,3,0.008193254470825195,0,214,59,78,25
teaching,2,5,0.008370637893676758,0,214,59,78,25
auto6_1,class8,2,0.219696044921875,0,12090,2635,5641,418
auto6_1,class8,3,0.6761507987976074,0,29366,3146,21840,454
auto6_1,class8,5,0.6766417026519775,0,29417,3151,21891,456
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,60.05484366416931,0,5050,4600,2314,357
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,5,-1.0,1,-1,-1,-1,-1
ozone8,1,2,1.4676692485809326,0,30914,829,14962,500
ozone8,1,3,0.7170147895812988,0,34606,2695,18654,610
ozone8,1,5,1.777266502380371,0,54144,21117,38192,663
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.014241218566894531,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.015201568603515625,0,10,8,0,0
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.014182329177856445,0,10,8,0,0
bach, C#d,2,0.021988868713378906,0,280,164,208,171
bach, C#d,3,0.04242277145385742,0,944,450,872,340
bach, C#d,5,0.11070728302001953,0,2121,1242,2049,623
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,60.0855598449707,0,80200,76400,38263,210
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,3,-1.0,1,-1,-1,-1,-1
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,5,-1.0,1,-1,-1,-1,-1
polish_bankruptcy_1year,1,2,1.7016119956970215,0,32387,840,13123,403
polish_bankruptcy_1year,1,3,0.8250603675842285,0,35827,2147,16563,523
polish_bankruptcy_1year,1,5,0.9852170944213867,0,39780,4534,20516,607
coil2000,1,2,2.0743160247802734,0,68915,3992,31820,722
coil2000,1,3,5.4853129386901855,0,133944,27849,67773,1003
coil2000,1,5,-1.0,1,-1,-1,-1,-1
robot2,back_col,2,0.011293649673461914,0,353,244,151,133
robot2,back_col,3,0.0564875602722168,0,1251,352,782,223
robot2,back_col,5,0.05920910835266113,0,1297,374,828,235
