dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting
spect_heart,0,2,0.021710634231567383,0,905,666,265,215
spect_heart,0,3,0.10793638229370117,0,6344,2560,2455,505
spect_heart,0,5,2.0763964653015137,0,41480,36217,37203,1150
fertility,O,2,0.011090993881225586,0,329,155,132,74
fertility,O,3,0.016094446182250977,0,641,307,303,134
fertility,O,5,0.01856851577758789,0,725,351,353,148
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.02097916603088379,0,325,275,137,130
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.056381940841674805,0,1575,1326,788,301
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.18274569511413574,0,4216,2848,2214,370
Mushroom_UCI_,p,2,0.12876439094543457,0,4033,316,1400,394
Mushroom_UCI_,p,3,0.15822267532348633,0,4876,674,2181,514
Mushroom_UCI_,p,5,0.1936936378479004,0,5738,820,3039,614
wall24,Slight-Right-Turn,2,0.10135483741760254,0,4190,1041,1669,416
wall24,Slight-Right-Turn,3,0.3038613796234131,0,11397,1441,8739,633
wall24,Slight-Right-Turn,5,0.31830477714538574,0,11865,1633,9207,718
thyroid_allbp,increased binding protein.,2,0.051238298416137695,0,1894,799,657,267
thyroid_allbp,increased binding protein.,3,0.2266545295715332,0,9366,5206,5409,602
thyroid_allbp,increased binding protein.,5,13.028774976730347,0,123036,89983,102738,1142
analcatdata_creditscore,1,2,0.006907939910888672,0,112,60,53,28
analcatdata_creditscore,1,3,0.007913827896118164,0,181,107,82,46
analcatdata_creditscore,1,5,0.008621931076049805,0,203,124,92,55
primary,1,2,0.016978979110717773,0,614,419,273,166
primary,1,3,0.05470848083496094,0,3095,1806,1504,352
primary,1,5,0.5289146900177002,0,13656,9734,9949,532
breast_tissue_merged,car,2,0.011073827743530273,0,336,98,174,65
breast_tissue_merged,car,3,0.012768983840942383,0,438,151,253,103
breast_tissue_merged,car,5,0.012980937957763672,0,452,164,264,111
pima,1,2,0.014893293380737305,0,465,413,216,180
pima,1,3,0.0594029426574707,0,3195,955,1630,289
pima,1,5,0.07670283317565918,0,3778,1099,2204,306
Divorce,1,2,0.11057066917419434,0,7651,208,7162,432
Divorce,1,3,0.1143653392791748,0,7882,290,7393,514
Divorce,1,5,0.11604666709899902,0,7987,394,7498,520
asbestos,(3)_Above_legal_limit,2,0.004961252212524414,0,36,18,13,8
asbestos,(3)_Above_legal_limit,3,0.0048675537109375,0,39,20,14,9
asbestos,(3)_Above_legal_limit,5,0.004898548126220703,0,39,20,14,9
bupa,1,2,0.01056051254272461,0,300,246,131,122
bupa,1,3,0.027262449264526367,0,1340,413,634,171
bupa,1,5,0.02882099151611328,0,1411,424,671,173
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.013303756713867188,0,325,275,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.03834867477416992,0,1575,1525,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.13191509246826172,0,4700,1525,0,0
cardio3,2,2,0.05121779441833496,0,2213,704,742,272
cardio3,2,3,0.14268064498901367,0,6794,2499,4857,448
cardio3,2,5,0.8413817882537842,0,20057,12919,18073,633
volcanoes-d4,3,2,0.010001659393310547,0,78,59,17,17
volcanoes-d4,3,3,0.011275291442871094,0,138,94,36,36
volcanoes-d4,3,5,0.011366605758666992,0,138,94,36,36
pitt2_3,LONG,2,0.007391929626464844,0,159,71,78,40
pitt2_3,LONG,3,0.00852656364440918,0,241,118,116,64
pitt2_3,LONG,5,0.00905299186706543,0,255,127,123,69
grammatical_b5,1,2,2.294153928756714,0,128443,6978,116291,735
grammatical_b5,1,3,5.717564582824707,0,267324,106718,255149,942
grammatical_b5,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.12131404876708984,0,325,275,139,134
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.25386500358581543,0,1575,1525,768,308
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0496175289154053,0,7825,4650,3955,428
pitt1_4,S,2,0.00756525993347168,0,177,65,82,34
pitt1_4,S,3,0.008157730102539062,0,223,91,101,44
pitt1_4,S,5,0.008343935012817383,0,224,92,101,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.727981328964233,0,5050,2800,2224,365
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.7825345993042,0,56890,27703,28709,587
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,-1.0,1,-1,-1,-1,-1
gesture_va,P,2,0.6442153453826904,0,8256,7646,4281,469
gesture_va,P,3,8.781985759735107,0,281963,31105,153967,628
gesture_va,P,5,31.50186038017273,0,442330,53895,307385,718
connectionist_vowel,4,2,0.03369426727294922,0,1655,906,583,294
connectionist_vowel,4,3,0.15210819244384766,0,8241,2350,5301,511
connectionist_vowel,4,5,0.24560141563415527,0,10442,3033,7502,631
breast_cancer_wis_pro,R,2,0.13210439682006836,0,9334,4129,4187,421
breast_cancer_wis_pro,R,3,1.3295025825500488,0,59560,9366,44806,499
breast_cancer_wis_pro,R,5,2.425520181655884,0,70496,16049,53998,598
diggle_table_a2,8,2,0.008808612823486328,0,168,103,76,70
diggle_table_a2,8,3,0.012325048446655273,0,364,229,240,188
diggle_table_a2,8,5,0.018893957138061523,0,669,530,545,253
page,5,2,0.031258344650268555,0,781,474,244,185
page,5,3,0.08793783187866211,0,3100,1168,1778,380
page,5,5,0.14509916305541992,0,4853,2068,3526,535
steel-plates-fault,2,2,0.11861348152160645,0,5784,3990,3352,498
steel-plates-fault,2,3,2.038148880004883,0,88886,10138,64039,777
steel-plates-fault,2,5,3.811216354370117,0,112139,16028,85781,1130
mechanical,4,2,0.02338266372680664,0,381,269,155,147
mechanical,4,3,0.05497241020202637,0,1429,1194,757,307
mechanical,4,5,0.22760725021362305,0,4751,3953,3150,411
OnlineShoppersIntention,True,2,0.13758039474487305,0,3250,1483,1362,306
OnlineShoppersIntention,True,3,0.730229377746582,0,19685,8280,11710,498
OnlineShoppersIntention,True,5,11.609828233718872,0,87234,55673,65702,684
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.14978408813476562,0,5050,4600,2264,410
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.5735414028167725,0,125050,19758,68469,658
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.519273042678833,0,128377,19758,71698,658
glass,3,2,0.01231074333190918,0,382,220,174,137
glass,3,3,0.022327899932861328,0,1021,555,675,249
glass,3,5,0.031036376953125,0,1311,815,944,287
molecular_promoter,+,2,0.3699314594268799,0,25879,745,9894,478
molecular_promoter,+,3,0.42411208152770996,0,27475,883,11490,585
molecular_promoter,+,5,0.4308140277862549,0,27527,890,11542,591
blood,1,2,0.0076982975006103516,0,136,97,46,46
blood,1,3,0.010173320770263672,0,281,178,102,84
blood,1,5,0.010628223419189453,0,306,203,114,96
weight,B,2,2.233067035675049,0,148827,980,68231,432
weight,B,3,2.2620444297790527,0,150039,1194,69442,551
weight,B,5,2.264129400253296,0,150407,1445,69810,604
ozone1,1,2,0.7589657306671143,0,39067,12992,13123,557
ozone1,1,3,12.45623517036438,0,465022,203172,416364,928
ozone1,1,5,-1.0,1,-1,-1,-1,-1
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3718140125274658,0,325,275,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.6886501312255859,0,1575,1525,0,0
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,2.524374485015869,0,7825,4650,0,0
ionosphere,b,2,0.11524558067321777,0,8256,427,3571,374
ionosphere,b,3,0.1378030776977539,0,9558,585,4855,447
ionosphere,b,5,0.14144349098205566,0,9674,613,4971,456
grammatical_b7,1,2,1.5839474201202393,0,82187,16404,77036,1072
grammatical_b7,1,3,18.567360877990723,0,722064,410774,716903,1366
grammatical_b7,1,5,-1.0,1,-1,-1,-1,-1
wine_quality,4,2,0.04471302032470703,0,1081,1002,440,246
wine_quality,4,3,0.3574862480163574,0,12954,8848,5556,429
wine_quality,4,5,6.601028680801392,0,62405,34601,45092,613
VehicleCouponRecommendation,0,2,0.1446375846862793,0,4186,2371,1798,333
VehicleCouponRecommendation,0,3,1.3113234043121338,0,40870,13349,23003,508
VehicleCouponRecommendation,0,5,23.127997159957886,0,143051,83626,81802,657
auto7_2,class3,2,0.02066779136657715,0,780,724,348,228
auto7_2,class3,3,0.13699984550476074,0,7960,3729,3826,414
auto7_2,class3,5,0.534285306930542,0,16035,5460,10143,498
wave,0,2,0.10271596908569336,0,3570,1846,1701,457
wave,0,3,0.6911888122558594,0,26162,3123,22821,485
wave,0,5,0.7887065410614014,0,28505,4076,25119,485
