dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting
spect_heart,0,2,0.021558761596679688,0,697,486,260,210
spect_heart,0,3,0.08419585227966309,0,3767,1945,1809,478
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140
fertility,O,2,0.009725093841552734,0,348,156,74,74
fertility,O,3,0.02547311782836914,0,1399,308,141,133
fertility,O,5,0.044493913650512695,0,2798,352,161,143
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.021785259246826172,0,276,276,137,132
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.05104207992553711,0,1526,1161,597,282
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379
Mushroom_UCI_,p,2,0.11161494255065918,0,2719,700,484,389
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537
wall24,Slight-Right-Turn,2,0.09377026557922363,0,3213,980,757,438
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420
thyroid_allbp,increased binding protein.,2,0.050071001052856445,0,1344,782,414,248
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533
analcatdata_creditscore,1,2,0.0065882205963134766,0,174,61,28,28
analcatdata_creditscore,1,3,0.009991168975830078,0,445,108,46,46
analcatdata_creditscore,1,5,0.012505054473876953,0,605,125,55,55
primary,1,2,0.018452167510986328,0,658,391,203,169
primary,1,3,0.06627774238586426,0,3203,1511,909,432
primary,1,5,0.35872554779052734,0,19655,7256,5014,979
breast_tissue_merged,car,2,0.010211467742919922,0,433,99,65,65
breast_tissue_merged,car,3,0.01945352554321289,0,1057,152,103,103
breast_tissue_merged,car,5,0.02395462989807129,0,1325,165,113,112
pima,1,2,0.01624584197998047,0,424,398,213,182
pima,1,3,0.061929941177368164,0,2617,981,685,422
pima,1,5,0.11397314071655273,0,7050,1112,839,497
Divorce,1,2,0.11520838737487793,0,7551,570,569,561
Divorce,1,3,0.29755711555480957,0,22456,885,884,877
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348
asbestos,(3)_Above_legal_limit,2,0.00574493408203125,0,29,19,8,8
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9
asbestos,(3)_Above_legal_limit,5,0.0063512325286865234,0,41,21,9,9
bupa,1,2,0.014732599258422852,0,265,247,123,122
bupa,1,3,0.03232693672180176,0,1481,405,200,170
bupa,1,5,0.03747749328613281,0,1933,414,205,170
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.00812220573425293,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.00763249397277832,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0067882537841796875,0,1,0,0,0
cardio3,2,2,0.0435025691986084,0,1225,596,370,271
cardio3,2,3,0.18046855926513672,0,8527,2619,1300,745
cardio3,2,5,1.0419361591339111,0,59882,8622,6818,1798
volcanoes-d4,3,2,0.01087641716003418,0,61,60,17,17
volcanoes-d4,3,3,0.01273798942565918,0,125,95,36,36
volcanoes-d4,3,5,0.013004541397094727,0,125,95,36,36
pitt2_3,LONG,2,0.007957935333251953,0,196,72,40,40
pitt2_3,LONG,3,0.011807680130004883,0,438,119,64,64
pitt2_3,LONG,5,0.011245250701904297,0,515,128,69,69
grammatical_b5,1,2,2.296348810195923,0,128371,5251,4865,1405
grammatical_b5,1,3,31.820104122161865,0,1802632,50769,49635,3551
grammatical_b5,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.10355401039123535,0,276,276,139,136
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.17484402656555176,0,1526,1526,768,303
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.42760396003723145,0,7776,4651,2291,448
pitt1_4,S,2,0.006600856781005859,0,205,66,34,34
pitt1_4,S,3,0.008899927139282227,0,389,92,44,44
pitt1_4,S,5,0.009388923645019531,0,435,93,44,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,3.7618331909179688,0,4601,2801,1414,319
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,23.480052709579468,0,76601,27704,14070,592
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,308.9562077522278,0,1266011,90637,45172,857
gesture_va,P,2,0.26522397994995117,0,8065,2837,1985,453
gesture_va,P,3,1.7066926956176758,0,76505,5150,4234,795
gesture_va,P,5,7.179196357727051,0,390501,22739,14700,1915
connectionist_vowel,4,2,0.03252053260803223,0,1492,660,479,312
connectionist_vowel,4,3,0.07889151573181152,0,4348,1007,845,448
connectionist_vowel,4,5,0.20419859886169434,0,14698,1526,1388,812
breast_cancer_wis_pro,R,2,0.16830110549926758,0,11507,1952,1449,420
breast_cancer_wis_pro,R,3,0.9766566753387451,0,94875,2452,1810,524
breast_cancer_wis_pro,R,5,1.7455642223358154,0,177193,3534,2371,610
diggle_table_a2,8,2,0.008632421493530273,0,289,104,70,70
diggle_table_a2,8,3,0.016097545623779297,0,825,223,205,200
diggle_table_a2,8,5,0.03231644630432129,0,1937,500,490,349
page,5,2,0.02614283561706543,0,629,343,216,188
page,5,3,0.05147552490234375,0,2005,601,480,383
page,5,5,0.09561896324157715,0,4785,991,914,620
steel-plates-fault,2,2,0.1328258514404297,0,6069,2356,1721,553
steel-plates-fault,2,3,0.5964038372039795,0,32499,6954,5641,1142
steel-plates-fault,2,5,0.6581559181213379,0,38550,9812,8972,1697
mechanical,4,2,0.021503210067749023,0,372,268,152,142
mechanical,4,3,0.06004452705383301,0,2171,961,605,330
mechanical,4,5,0.12467384338378906,0,5866,1441,1054,475
OnlineShoppersIntention,True,2,0.09905242919921875,0,2440,788,482,304
OnlineShoppersIntention,True,3,0.47394752502441406,0,18702,3024,2092,757
OnlineShoppersIntention,True,5,3.4249801635742188,0,162384,13178,9730,1172
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.13730645179748535,0,4601,4601,2264,412
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.0691330432891846,0,124601,7254,4425,743
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,2.9197518825531006,0,191841,7254,4425,743
glass,3,2,0.011497259140014648,0,414,221,145,137
glass,3,3,0.026435136795043945,0,1494,426,355,279
glass,3,5,0.03650045394897461,0,2141,581,511,346
molecular_promoter,+,2,0.16009926795959473,0,13009,1135,911,466
molecular_promoter,+,3,0.6352977752685547,0,62593,954,876,524
molecular_promoter,+,5,0.9785149097442627,0,97273,863,820,524
blood,1,2,0.0061872005462646484,0,113,98,46,46
blood,1,3,0.009638309478759766,0,321,179,84,84
blood,1,5,0.01071619987487793,0,385,204,96,96
