dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting
spect_heart,0,2,0.02569890022277832,0,951,463,265,222
spect_heart,0,3,0.10666680335998535,0,4421,1931,2044,502
spect_heart,0,5,1.4276883602142334,0,71455,33332,46218,1170
fertility,O,2,0.010872602462768555,0,348,156,141,74
fertility,O,3,0.031711578369140625,0,1399,308,554,134
fertility,O,5,0.06887173652648926,0,2798,352,1116,145
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.018861055374145508,0,276,276,137,131
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0578765869140625,0,1526,1144,788,261
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.12698864936828613,0,4416,1922,2296,346
Mushroom_UCI_,p,2,0.1645982265472412,0,5195,641,1437,375
Mushroom_UCI_,p,3,0.4208226203918457,0,16393,1205,5247,662
Mushroom_UCI_,p,5,1.0252325534820557,0,41128,1906,15113,1135
wall24,Slight-Right-Turn,2,0.13197755813598633,0,4225,809,1669,404
wall24,Slight-Right-Turn,3,0.44353151321411133,0,17298,1807,8728,853
wall24,Slight-Right-Turn,5,1.0849347114562988,0,47561,3477,25899,1723
thyroid_allbp,increased binding protein.,2,0.06940150260925293,0,1904,748,657,252
thyroid_allbp,increased binding protein.,3,0.3334169387817383,0,12163,3566,4783,835
thyroid_allbp,increased binding protein.,5,6.488408088684082,0,235019,47048,121966,2418
analcatdata_creditscore,1,2,0.009806394577026367,0,174,61,84,28
analcatdata_creditscore,1,3,0.015714645385742188,0,445,108,192,46
analcatdata_creditscore,1,5,0.020849943161010742,0,605,125,244,55
primary,1,2,0.02604365348815918,0,670,392,288,170
primary,1,3,0.07565093040466309,0,3179,1394,1533,406
primary,1,5,0.4378349781036377,0,19921,7251,10452,941
