dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting
spect_heart,0,2,0.02767348289489746,0,951,751,265,215
spect_heart,0,3,0.12349057197570801,0,5903,2747,2254,424
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921
fertility,O,2,0.011686325073242188,0,348,156,141,74
fertility,O,3,0.03025221824645996,0,1399,308,554,134
fertility,O,5,0.05468344688415527,0,2798,352,1116,148
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020110368728637695,0,276,276,137,130
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.05210518836975098,0,1526,1331,788,301
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.14525055885314941,0,5491,2890,2796,352
Mushroom_UCI_,p,2,0.14590883255004883,0,5195,773,1437,394
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251
wall24,Slight-Right-Turn,2,0.11409544944763184,0,4225,1992,1669,416
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927
wall24,Slight-Right-Turn,5,1.9238052368164062,0,91802,9353,52294,2220
thyroid_allbp,increased binding protein.,2,0.05667543411254883,0,1904,1181,657,267
thyroid_allbp,increased binding protein.,3,0.39583373069763184,0,16233,7970,6470,828
thyroid_allbp,increased binding protein.,5,11.147243738174438,0,481287,163539,227400,1656
analcatdata_creditscore,1,2,0.00756072998046875,0,174,61,84,28
analcatdata_creditscore,1,3,0.012450456619262695,0,445,108,192,46
analcatdata_creditscore,1,5,0.015119314193725586,0,605,125,244,55
primary,1,2,0.01867532730102539,0,670,420,288,166
primary,1,3,0.08634328842163086,0,4394,2271,1920,323
primary,1,5,0.643805980682373,0,33647,14209,17430,780
breast_tissue_merged,car,2,0.012388467788696289,0,433,99,174,65
breast_tissue_merged,car,3,0.022649049758911133,0,1057,152,420,103
breast_tissue_merged,car,5,0.027245521545410156,0,1325,165,516,112
pima,1,2,0.014408111572265625,0,424,418,216,180
pima,1,3,0.06597232818603516,0,3038,1398,1641,376
pima,1,5,0.1865694522857666,0,9422,1668,5367,433
Divorce,1,2,0.3383615016937256,0,17576,405,11551,432
Divorce,1,3,0.5788586139678955,0,32326,517,19393,551
Divorce,1,5,0.9290695190429688,0,54856,622,30613,652
asbestos,(3)_Above_legal_limit,2,0.004439353942871094,0,29,19,13,8
asbestos,(3)_Above_legal_limit,3,0.00479888916015625,0,41,21,18,9
asbestos,(3)_Above_legal_limit,5,0.004700422286987305,0,41,21,18,9
bupa,1,2,0.010539770126342773,0,265,247,131,122
bupa,1,3,0.033008575439453125,0,1497,414,719,165
bupa,1,5,0.04189324378967285,0,1953,425,883,169
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.005741119384765625,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.005724430084228516,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.005751609802246094,0,1,0,0,0
cardio3,2,2,0.06387615203857422,0,2147,1075,742,272
cardio3,2,3,0.33479905128479004,0,15754,5406,7558,697
cardio3,2,5,3.8729615211486816,0,195556,38335,110371,1510
volcanoes-d4,3,2,0.009419679641723633,0,61,60,17,17
volcanoes-d4,3,3,0.011318206787109375,0,125,95,36,36
volcanoes-d4,3,5,0.010991811752319336,0,125,95,36,36
pitt2_3,LONG,2,0.008018970489501953,0,196,72,89,40
pitt2_3,LONG,3,0.012488603591918945,0,438,119,194,64
pitt2_3,LONG,5,0.013806819915771484,0,515,128,221,69
grammatical_b5,1,2,6.365192413330078,0,301521,9300,217117,735
grammatical_b5,1,3,66.62104988098145,0,3255012,140729,2784666,1135
grammatical_b5,1,5,-1.0,1,-1,-1,-1,-1
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.10488605499267578,0,276,276,139,134
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.18498539924621582,0,1526,1526,768,293
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.45811939239501953,0,7776,4651,3955,410
pitt1_4,S,2,0.008192062377929688,0,205,66,94,34
pitt1_4,S,3,0.013531923294067383,0,389,92,174,44
pitt1_4,S,5,0.012177228927612305,0,435,93,192,44
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.0106072425842285,0,4601,2801,2224,365
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,28.239712715148926,0,76601,27704,39431,567
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,396.09747219085693,0,1266011,90637,664413,740
gesture_va,P,2,0.27896976470947266,0,8065,7734,4281,469
gesture_va,P,3,6.994492292404175,0,290585,55067,154653,720
gesture_va,P,5,49.313833475112915,0,2205253,162511,1499212,1256
connectionist_vowel,4,2,0.03693437576293945,0,1536,958,583,294
connectionist_vowel,4,3,0.21617794036865234,0,11314,3530,5098,507
connectionist_vowel,4,5,0.6996586322784424,0,37930,4799,19292,763
breast_cancer_wis_pro,R,2,0.20868754386901855,0,11507,5380,4649,421
breast_cancer_wis_pro,R,3,4.566087484359741,0,289197,10544,107462,463
breast_cancer_wis_pro,R,5,9.426490545272827,0,604655,14580,231811,557
diggle_table_a2,8,2,0.010037899017333984,0,289,104,76,70
diggle_table_a2,8,3,0.020432233810424805,0,889,235,266,196
diggle_table_a2,8,5,0.039330244064331055,0,2037,512,612,258
page,5,2,0.03104090690612793,0,737,475,244,185
page,5,3,0.10404753684997559,0,4217,1571,1671,385
page,5,5,0.29195165634155273,0,13933,3281,5975,670
