dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting
spect_heart,0,2,0.027940988540649414,0,937,757,265,202
spect_heart,0,3,0.10469222068786621,0,5489,2750,2000,393
spect_heart,0,5,1.2528541088104248,0,71077,35508,35471,873
fertility,O,2,0.010294675827026367,0,348,156,74,74
fertility,O,3,0.023414134979248047,0,1399,308,141,133
fertility,O,5,0.03827071189880371,0,2798,352,161,145
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.019934892654418945,0,276,276,137,133
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.048195600509643555,0,1526,1332,681,297
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.12537026405334473,0,5491,2892,1464,351
Mushroom_UCI_,p,2,0.09630107879638672,0,2838,835,564,409
Mushroom_UCI_,p,3,0.28754758834838867,0,12021,1704,1400,756
Mushroom_UCI_,p,5,0.7934339046478271,0,41124,2907,2800,1552
wall24,Slight-Right-Turn,2,0.10296773910522461,0,3846,2049,1421,421
wall24,Slight-Right-Turn,3,0.532092809677124,0,27905,5097,4379,985
wall24,Slight-Right-Turn,5,1.429610252380371,0,86573,9613,9145,2285
thyroid_allbp,increased binding protein.,2,0.056340694427490234,0,1684,1198,565,263
thyroid_allbp,increased binding protein.,3,0.3637058734893799,0,15370,7963,4748,829
thyroid_allbp,increased binding protein.,5,10.045792579650879,0,480187,163774,118416,1696
analcatdata_creditscore,1,2,0.006775856018066406,0,174,61,28,28
analcatdata_creditscore,1,3,0.010489940643310547,0,445,108,46,46
analcatdata_creditscore,1,5,0.012293577194213867,0,605,125,55,55
primary,1,2,0.017472267150878906,0,670,420,205,161
primary,1,3,0.07619524002075195,0,4331,2267,1291,331
primary,1,5,0.5045876502990723,0,33441,14201,9988,803
breast_tissue_merged,car,2,0.010816812515258789,0,433,99,65,65
breast_tissue_merged,car,3,0.01758575439453125,0,1057,152,103,103
breast_tissue_merged,car,5,0.02054572105407715,0,1325,165,113,112
pima,1,2,0.014577150344848633,0,424,419,213,182
pima,1,3,0.06373715400695801,0,3042,1453,990,408
pima,1,5,0.1409602165222168,0,9704,1731,1212,450
Divorce,1,2,0.10392069816589355,0,7611,584,583,560
Divorce,1,3,0.2740943431854248,0,22611,894,893,879
Divorce,1,5,0.760141134262085,0,65571,1363,1362,1347
asbestos,(3)_Above_legal_limit,2,0.004328012466430664,0,29,19,8,8
asbestos,(3)_Above_legal_limit,3,0.004678010940551758,0,41,21,9,9
asbestos,(3)_Above_legal_limit,5,0.004608631134033203,0,41,21,9,9
bupa,1,2,0.01050877571105957,0,265,247,123,122
bupa,1,3,0.026823043823242188,0,1497,414,200,168
bupa,1,5,0.03193783760070801,0,1953,425,205,168
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.006360769271850586,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.006284475326538086,0,1,0,0,0
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.006379604339599609,0,1,0,0,0
cardio3,2,2,0.05443096160888672,0,1978,1111,599,264
