dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
spect_heart,0,2,0.0218746662139892,0,905,273,265,222,905.0,315.42,0.047319650650024414,4144,991
spect_heart,0,3,0.0464463233947753,0,2445,1813,1805,513,2301.5,1664.88,0.06081509590148926,5104,14235
spect_heart,0,5,1.709986925125122,0,32244,28066,31604,868,39466.775,37444.68,0.08987283706665039,7335,1235994
fertility,O,2,0.0112311840057373,0,380,243,155,74,380.0,247.05,0.029584407806396484,2629,436
fertility,O,3,0.0248103141784667,0,1244,957,766,132,1429.45625,905.76,0.04352068901062012,4109,4090
fertility,O,5,0.1178586483001709,0,3938,3627,3398,146,3893.8334375,3550.86225,0.05832099914550781,5515,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0207641124725341,0,325,275,137,131,325.0,275.0,0.04162955284118652,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0549366474151611,0,1575,1042,788,228,1575.0,1023.3333333333334,0.06897592544555664,4325,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1093523502349853,0,3024,1475,1571,246,3385.3645833333335,1667.0,0.08319735527038574,5313,68406
Mushroom_UCI_,p,2,0.1316206455230713,0,4395,311,1502,375,4395.0,341.775,0.13846254348754883,9317,6904
Mushroom_UCI_,p,3,0.1594274044036865,0,5204,415,2259,488,4763.125,634.105,0.15009236335754395,9720,267034
Mushroom_UCI_,p,5,0.1696393489837646,0,5382,561,2433,576,5731.37125,1681.533,0.18034863471984863,10043,175230472
wall24,Slight-Right-Turn,2,0.1039235591888427,0,4190,263,1669,404,4190.0,288.925,0.13582801818847656,9095,4561
wall24,Slight-Right-Turn,3,0.1152241230010986,0,4622,335,2101,503,4464.1375,373.4033333333333,0.13947439193725586,9448,142976
wall24,Slight-Right-Turn,5,0.1209781169891357,0,4662,366,2141,526,4543.952083333334,785.1631666666667,0.14449858665466309,9589,61267040
thyroid_allbp,increased binding protein.,2,0.0508992671966552,0,1894,402,657,252,1894.0,404.125,0.082672119140625,6064,2081
thyroid_allbp,increased binding protein.,3,0.1117925643920898,0,4592,2020,2817,578,4169.045833333333,1856.9416666666666,0.09563922882080078,7031,43745
thyroid_allbp,increased binding protein.,5,1.7538001537322998,0,31959,25976,25129,893,29962.61625,33651.087166666664,0.1139986515045166,8263,8303633
analcatdata_creditscore,1,2,0.0079905986785888,0,192,124,85,28,192.0,120.175,0.019754409790039062,1821,232
analcatdata_creditscore,1,3,0.0121243000030517,0,458,361,265,46,481.9479166666667,359.765,0.029020309448242188,2794,1562
analcatdata_creditscore,1,5,0.0216705799102783,0,841,739,605,55,855.26625,724.4177500000001,0.037650346755981445,3619,27896
primary,1,2,0.0212171077728271,0,1043,300,433,170,1043.0,352.125,0.048734188079833984,4453,1432
primary,1,3,0.0414240360260009,0,2443,882,1439,379,2561.375,834.45,0.06025123596191406,5529,24858
primary,1,5,0.1001849174499511,0,4949,2553,3688,567,4372.240625,3715.87125,0.06984448432922363,6203,3187368
breast_tissue_merged,car,2,0.010699987411499,0,336,230,174,65,336.0,227.125,0.027479171752929688,2436,667
breast_tissue_merged,car,3,0.0240793228149414,0,1185,965,864,103,1358.5,956.5833333333334,0.04203295707702637,3977,7807
breast_tissue_merged,car,5,0.0733578205108642,0,3200,2099,2840,111,4485.669270833333,4058.66875,0.05802321434020996,5528,443704
pima,1,2,0.0142087936401367,0,465,311,216,178,465.0,316.2,0.037667036056518555,2930,466
pima,1,3,0.0377271175384521,0,1934,404,1366,231,2109.0625,433.2,0.06122088432312012,4636,4526
pima,1,5,0.0384061336517334,0,1960,409,1392,232,2357.6875,441.575,0.05965852737426758,4820,174437
Divorce,1,2,0.0944709777832031,0,6486,198,6081,414,6486.0,225.68,0.1385495662689209,11370,36586
Divorce,1,3,0.0972914695739746,0,6717,280,6312,488,6513.533333333334,360.4533333333333,0.15667200088500977,11497,3280726
Divorce,1,5,0.0999057292938232,0,6822,384,6417,494,6554.6,1209.3386666666668,0.18017220497131348,11659,11740092625
asbestos,(3)_Above_legal_limit,2,0.0047810077667236,0,36,26,13,8,36.0,26.36,0.009954452514648438,708,37
asbestos,(3)_Above_legal_limit,3,0.0051429271697998,0,48,35,19,9,47.416666666666664,34.08,0.012644529342651367,1039,93
asbestos,(3)_Above_legal_limit,5,0.0051729679107666,0,48,35,19,9,47.28333333333333,34.053333333333335,0.012575626373291016,1047,93
bupa,1,2,0.010089635848999,0,300,259,131,122,300.0,260.16,0.027760744094848633,2324,301
bupa,1,3,0.0289986133575439,0,1505,436,730,165,1530.3,544.68,0.04706692695617676,4167,2325
bupa,1,5,0.0327076911926269,0,1567,463,789,167,1753.68,604.344,0.050652503967285156,4470,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0128757953643798,0,325,275,0,0,325.0,275.0,0.029700517654418945,2425,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0372698307037353,0,1575,1525,0,0,1575.0,1525.0,0.0498197078704834,4325,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.3986430168151855,0,7825,7775,0,0,7825.0,7775.0,0.07371664047241211,6625,68406
cardio3,2,2,0.0491642951965332,0,2213,275,742,273,2213.0,258.39,0.08252811431884766,6568,2347
cardio3,2,3,0.067699909210205,0,3130,563,1649,408,2869.425,662.75,0.09441256523132324,7147,52463
cardio3,2,5,0.084726333618164,0,3785,1020,2302,509,3199.7,1853.137,0.09863686561584473,7357,11290976
volcanoes-d4,3,2,0.010129690170288,0,78,59,17,17,78.0,58.68,0.019257307052612305,1112,79
volcanoes-d4,3,3,0.0116543769836425,0,138,94,36,36,140.075,93.94,0.02788567543029785,1788,299
volcanoes-d4,3,5,0.0116660594940185,0,138,94,36,36,141.4,94.42,0.0280001163482666,1796,299
pitt2_3,LONG,2,0.0081579685211181,0,194,137,91,40,194.0,134.805,0.02068924903869629,1823,277
pitt2_3,LONG,3,0.0141122341156005,0,557,469,343,64,574.7125,435.8283333333333,0.030968189239501953,2883,2048
pitt2_3,LONG,5,0.0353083610534668,0,1402,1298,1065,69,1564.9746875,1323.3373333333334,0.04744219779968262,4114,44552
grammatical_b5,1,2,0.6157402992248535,0,30103,1715,29350,708,30103.0,2247.325,0.4108312129974365,25183,700337
grammatical_b5,1,3,0.841933012008667,0,41329,9927,40564,763,44256.729166666664,14148.708333333334,0.6715171337127686,26588,275933568
grammatical_b5,1,5,30.030866384506226,0,184613,148895,183845,772,117910.69729166667,200196.81216666667,0.6735892295837402,27644,19226968518304
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.124579906463623,0,325,275,139,133,325.0,275.0,0.14462661743164062,2425,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2640221118927002,0,1575,1525,768,216,1575.0,1525.0,0.21503901481628418,4325,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0729420185089111,0,7825,4650,3955,216,7825.0,4650.0,0.29580020904541016,6625,68406
pitt1_4,S,2,0.0081696510314941,0,214,151,99,34,214.0,152.5,0.026119470596313477,1924,301
pitt1_4,S,3,0.0151081085205078,0,621,509,380,44,710.125,502.0,0.033266544342041016,3135,2325
pitt1_4,S,5,0.0360541343688964,0,1443,1306,1135,44,1564.7041666666667,1288.17,0.04406332969665527,4194,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.643782377243042,0,5050,2808,2224,281,5050.0,2792.0,4.010331392288208,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,44.164196729660034,0,56896,36411,28715,304,66458.125,40345.833333333336,5.452286005020142,15516,166751
gesture_va,P,2,0.7342269420623779,0,8256,1594,4281,398,8256.0,1936.0,0.2991511821746826,12828,8257
gesture_va,P,3,1.3992950916290283,0,24672,2024,20154,458,30824.8,3595.52,0.2812361717224121,15504,349633
gesture_va,P,5,0.8179404735565186,0,24982,2125,20463,482,30324.613333333335,3648.7466666666664,0.25922513008117676,15454,275584033
connectionist_vowel,4,2,0.0333473682403564,0,1655,296,583,304,1655.0,326.895,0.06856417655944824,5659,1771
connectionist_vowel,4,3,0.0471563339233398,0,2419,420,1316,392,2644.54375,502.075,0.07793235778808594,6533,34280
connectionist_vowel,4,5,0.04848313331604,0,2467,451,1364,401,2759.375,642.143,0.07958459854125977,6636,5495792
breast_cancer_wis_pro,R,2,0.1429033279418945,0,10594,981,4649,380,10594.0,1154.2,0.15061545372009277,14554,11936
breast_cancer_wis_pro,R,3,0.1925773620605468,0,13260,1388,7232,445,14448.583333333334,2120.866666666667,0.17582488059997559,15702,608840
breast_cancer_wis_pro,R,5,0.2152702808380127,0,13986,1881,7957,501,16009.417708333334,3134.42875,0.1737508773803711,15922,699135746
diggle_table_a2,8,2,0.0084137916564941,0,168,113,76,70,168.0,115.43,0.022422313690185547,1632,529
diggle_table_a2,8,3,0.0130181312561035,0,437,194,293,194,478.99375000000003,224.71166666666667,0.033303260803222656,2661,5489
diggle_table_a2,8,5,0.0156104564666748,0,578,280,434,258,590.5845833333333,348.18833333333333,0.039052486419677734,2982,242825
