dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
spect_heart,0,2,0.0218746662139892,0,905,273,265,222,905.0,290.0625,0.04699397087097168,4144,991
spect_heart,0,3,0.0464463233947753,0,2445,1813,1805,513,2228.0,1605.7125,0.06125617027282715,5164,14235
spect_heart,0,5,1.709986925125122,0,32244,28066,31604,868,36733.8,35263.2,0.08862566947937012,7240,1235994
fertility,O,2,0.0112311840057373,0,380,243,155,74,380.0,250.93125,0.02981114387512207,2629,436
fertility,O,3,0.0248103141784667,0,1244,957,766,132,1401.2,934.70625,0.04471135139465332,4104,4090
fertility,O,5,0.1178586483001709,0,3938,3627,3398,146,3411.72125,2916.2925,0.05782938003540039,5358,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0207641124725341,0,325,275,137,131,325.0,275.0,0.04236149787902832,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0549366474151611,0,1575,1042,788,228,1575.0,1120.5729166666667,0.0690009593963623,4318,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1093523502349853,0,3024,1475,1571,246,3330.347222222222,1590.15625,0.08335733413696289,5415,68406
Mushroom_UCI_,p,2,0.1316206455230713,0,4395,311,1502,375,4395.0,389.4375,0.13866686820983887,9317,6904
Mushroom_UCI_,p,3,0.1594274044036865,0,5204,415,2259,488,4450.283333333334,543.85625,0.15105390548706055,9904,267034
Mushroom_UCI_,p,5,0.1696393489837646,0,5382,561,2433,576,4400.8125,423.518125,0.1586153507232666,9975,175230472
wall24,Slight-Right-Turn,2,0.1039235591888427,0,4190,263,1669,404,4190.0,415.75625,0.1318199634552002,9095,4561
wall24,Slight-Right-Turn,3,0.1152241230010986,0,4622,335,2101,503,4573.716666666666,858.24375,0.14681243896484375,9957,142976
wall24,Slight-Right-Turn,5,0.1209781169891357,0,4662,366,2141,526,4266.9961111111115,867.2584375,0.1488323211669922,10241,61267040
thyroid_allbp,increased binding protein.,2,0.0508992671966552,0,1894,402,657,252,1894.0,410.60625,0.08333325386047363,6064,2081
thyroid_allbp,increased binding protein.,3,0.1117925643920898,0,4592,2020,2817,578,3732.133333333333,2346.8479166666666,0.09968018531799316,7255,43745
thyroid_allbp,increased binding protein.,5,1.7538001537322998,0,31959,25976,25129,893,32392.796944444446,36258.863854166666,0.11870026588439941,8830,8303633
analcatdata_creditscore,1,2,0.0079905986785888,0,192,124,85,28,192.0,128.25,0.020689725875854492,1821,232
analcatdata_creditscore,1,3,0.0121243000030517,0,458,361,265,46,529.8833333333333,398.72291666666666,0.030930042266845703,2869,1562
analcatdata_creditscore,1,5,0.0216705799102783,0,841,739,605,55,835.5722222222222,711.4569791666667,0.03882884979248047,3621,27896
primary,1,2,0.0212171077728271,0,1043,300,433,170,1043.0,328.5,0.04733729362487793,4453,1432
primary,1,3,0.0414240360260009,0,2443,882,1439,379,2047.5,1167.65625,0.06199216842651367,5588,24858
primary,1,5,0.1001849174499511,0,4949,2553,3688,567,5153.4125,6054.103125,0.07584309577941895,6770,3187368
breast_tissue_merged,car,2,0.010699987411499,0,336,230,174,65,336.0,228.59375,0.02768707275390625,2436,667
breast_tissue_merged,car,3,0.0240793228149414,0,1185,965,864,103,1380.6527777777778,948.75,0.043054819107055664,3987,7807
breast_tissue_merged,car,5,0.0733578205108642,0,3200,2099,2840,111,5109.8125,4690.4609375,0.060251474380493164,5665,443704
pima,1,2,0.0142087936401367,0,465,311,216,178,465.0,322.6875,0.038385868072509766,2930,466
pima,1,3,0.0377271175384521,0,1934,404,1366,231,1550.1666666666667,415.9375,0.05602240562438965,4472,4526
pima,1,5,0.0384061336517334,0,1960,409,1392,232,1906.3333333333333,448.171875,0.06415557861328125,4980,174437
Divorce,1,2,0.0944709777832031,0,6486,198,6081,414,6486.0,239.4,0.13852906227111816,11370,36586
Divorce,1,3,0.0972914695739746,0,6717,280,6312,488,6519.6,509.3666666666667,0.17192983627319336,11669,3280726
Divorce,1,5,0.0999057292938232,0,6822,384,6417,494,6503.422222222222,1063.3,0.16527009010314941,11888,11740092625
asbestos,(3)_Above_legal_limit,2,0.0047810077667236,0,36,26,13,8,36.0,26.8,0.010501623153686523,708,37
asbestos,(3)_Above_legal_limit,3,0.0051429271697998,0,48,35,19,9,48.24444444444444,35.266666666666666,0.013770580291748047,1070,93
