dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
spect_heart,0,2,0.0218746662139892,0,905,273,265,222,905.0,282.54545454545456,0.022458791732788086,1848,991
spect_heart,0,3,0.0464463233947753,0,2445,1813,1805,513,2130.0,1578.8181818181818,0.029169082641601562,2248,14235
spect_heart,0,5,1.709986925125122,0,32244,28066,31604,868,45691.0,38856.681818181816,0.043456077575683594,3330,1235994
fertility,O,2,0.0112311840057373,0,380,243,155,74,380.0,246.25862068965517,0.010708093643188477,783,436
fertility,O,3,0.0248103141784667,0,1244,957,766,132,1451.155172413793,990.9310344827586,0.014438390731811523,1205,4090
fertility,O,5,0.1178586483001709,0,3938,3627,3398,146,4989.318965517241,3529.0241379310346,0.01898479461669922,1630,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0207641124725341,0,325,275,137,131,325.0,275.0,0.015360355377197266,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0549366474151611,0,1575,1042,788,228,1575.0,1158.3333333333333,0.022225379943847656,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1093523502349853,0,3024,1475,1571,246,3691.3333333333335,1917.5,0.026212453842163086,1374,68406
Mushroom_UCI_,p,2,0.1316206455230713,0,4395,311,1502,375,4395.0,309.6025641025641,0.16735076904296875,10881,6904
Mushroom_UCI_,p,3,0.1594274044036865,0,5204,415,2259,488,4790.329896907217,617.3504273504274,0.16295242309570312,11349,267034
Mushroom_UCI_,p,5,0.1696393489837646,0,5382,561,2433,576,5286.761340206185,1745.7239316239315,0.16805243492126465,11591,175230472
wall24,Slight-Right-Turn,2,0.1039235591888427,0,4190,263,1669,404,4190.0,352.0263157894737,0.12358665466308594,8645,4561
wall24,Slight-Right-Turn,3,0.1152241230010986,0,4622,335,2101,503,4508.297777777778,628.0596491228071,0.12801599502563477,9074,142976
wall24,Slight-Right-Turn,5,0.1209781169891357,0,4662,366,2141,526,4457.155777777778,542.9586842105263,0.13301753997802734,9077,61267040
thyroid_allbp,increased binding protein.,2,0.0508992671966552,0,1894,402,657,252,1894.0,419.8515625,0.05454564094543457,3904,2081
thyroid_allbp,increased binding protein.,3,0.1117925643920898,0,4592,2020,2817,578,4653.325757575757,2248.1041666666665,0.06495475769042969,4633,43745
thyroid_allbp,increased binding protein.,5,1.7538001537322998,0,31959,25976,25129,893,25780.698863636364,35759.597916666666,0.07414960861206055,5360,8303633
analcatdata_creditscore,1,2,0.0079905986785888,0,192,124,85,28,192.0,121.69047619047619,0.006635189056396484,399,232
analcatdata_creditscore,1,3,0.0121243000030517,0,458,361,265,46,527.8174603174604,357.07936507936506,0.008383989334106445,626,1562
