dataset_name,target_value,depth,Apriori_DP (PS)-real_time_taken,Apriori_DP (PS)-failed,Apriori_DP (PS)-sgs_evaluated,Apriori_DP (PS)-sgs_eval_interesting,Apriori_DP (PS)-sgs_quality_interesting,Apriori_DP (PS)-sgs_top_k_interesting,Apriori_DP (PS)-e_est,Apriori_DP (PS)-ei_est,Apriori_DP (PS)-time_to_est,Apriori_DP (PS)-sdfastest-esgs,Apriori_DP (PS)-ub
spect_heart,0,2,0.0218746662139892,0,905,273,265,222,905.0,256.2,0.022734642028808594,1807,991
spect_heart,0,3,0.0464463233947753,0,2445,1813,1805,513,2669.0,2070.6,0.03261423110961914,2475,14235
spect_heart,0,5,1.709986925125122,0,32244,28066,31604,868,61880.0,54987.06,0.045789241790771484,3693,1235994
fertility,O,2,0.0112311840057373,0,380,243,155,74,380.0,250.04347826086956,0.010852575302124023,757,436
fertility,O,3,0.0248103141784667,0,1244,957,766,132,1431.8260869565217,944.0217391304348,0.014865875244140625,1163,4090
fertility,O,5,0.1178586483001709,0,3938,3627,3398,146,4997.166304347827,3666.6,0.01969146728515625,1587,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0207641124725341,0,325,275,137,131,325.0,275.0,0.01588726043701172,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0549366474151611,0,1575,1042,788,228,1575.0,1237.5,0.02310967445373535,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1093523502349853,0,3024,1475,1571,246,4235.0,2377.0833333333335,0.02829742431640625,1463,68406
Mushroom_UCI_,p,2,0.1316206455230713,0,4395,311,1502,375,4395.0,404.0,0.15435099601745605,10789,6904
Mushroom_UCI_,p,3,0.1594274044036865,0,5204,415,2259,488,4667.2054794520545,782.1666666666666,0.17159795761108398,11394,267034
Mushroom_UCI_,p,5,0.1696393489837646,0,5382,561,2433,576,4529.128082191781,1910.5333333333333,0.18104767799377441,11784,175230472
wall24,Slight-Right-Turn,2,0.1039235591888427,0,4190,263,1669,404,4190.0,361.00657894736844,0.12816810607910156,8645,4561
wall24,Slight-Right-Turn,3,0.1152241230010986,0,4622,335,2101,503,4581.625,895.8311403508771,0.14114117622375488,9559,142976
wall24,Slight-Right-Turn,5,0.1209781169891357,0,4662,366,2141,526,4881.925,1454.1440789473684,0.15148687362670898,10221,61267040
thyroid_allbp,increased binding protein.,2,0.0508992671966552,0,1894,402,657,252,1894.0,479.62745098039215,0.05794525146484375,3844,2081
thyroid_allbp,increased binding protein.,3,0.1117925643920898,0,4592,2020,2817,578,3622.989247311828,2803.0098039215686,0.0674595832824707,4728,43745
thyroid_allbp,increased binding protein.,5,1.7538001537322998,0,31959,25976,25129,893,15979.45752688172,34423.20702614379,0.08051848411560059,5691,8303633
analcatdata_creditscore,1,2,0.0079905986785888,0,192,124,85,28,192.0,125.28125,0.006788015365600586,381,232
analcatdata_creditscore,1,3,0.0121243000030517,0,458,361,265,46,520.9375,367.92708333333337,0.0083465576171875,585,1562
analcatdata_creditscore,1,5,0.0216705799102783,0,841,739,605,55,1058.8552083333334,807.9255208333334,0.010081052780151367,733,27896
primary,1,2,0.0212171077728271,0,1043,300,433,170,1043.0,378.2142857142857,0.02630925178527832,2341,1432
primary,1,3,0.0414240360260009,0,2443,882,1439,379,2117.2045454545455,1377.3214285714287,0.03667593002319336,3027,24858
primary,1,5,0.1001849174499511,0,4949,2553,3688,567,4137.022727272727,8329.80357142857,0.04473161697387695,3761,3187368
breast_tissue_merged,car,2,0.010699987411499,0,336,230,174,65,336.0,242.85714285714286,0.01226353645324707,876,667
breast_tissue_merged,car,3,0.0240793228149414,0,1185,965,864,103,1434.5119047619048,969.3452380952381,0.017495393753051758,1414,7807
breast_tissue_merged,car,5,0.0733578205108642,0,3200,2099,2840,111,5307.294642857143,4318.474702380952,0.02331376075744629,1931,443704
pima,1,2,0.0142087936401367,0,465,311,216,178,465.0,388.125,0.014072895050048828,900,466
pima,1,3,0.0377271175384521,0,1934,404,1366,231,2400.4166666666665,849.1666666666666,0.021343469619750977,1520,4526
pima,1,5,0.0384061336517334,0,1960,409,1392,232,3277.4270833333335,821.1458333333334,0.023599863052368164,1735,174437
Divorce,1,2,0.0944709777832031,0,6486,198,6081,414,6486.0,192.11111111111111,0.34975314140319824,30240,36586
Divorce,1,3,0.0972914695739746,0,6717,280,6312,488,6610.571428571428,340.58024691358025,0.3779122829437256,30694,3280726
Divorce,1,5,0.0999057292938232,0,6822,384,6417,494,6570.990476190476,543.3037037037037,0.37588024139404297,30949,11740092625
asbestos,(3)_Above_legal_limit,2,0.0047810077667236,0,36,26,13,8,36.0,22.0,0.003025531768798828,57,37
asbestos,(3)_Above_legal_limit,3,0.0051429271697998,0,48,35,19,9,49.77777777777778,38.22222222222222,0.002830982208251953,84,93
asbestos,(3)_Above_legal_limit,5,0.0051729679107666,0,48,35,19,9,46.888888888888886,34.44444444444444,0.002678394317626953,79,93
bupa,1,2,0.010089635848999,0,300,259,131,122,300.0,264.0,0.008773326873779297,553,301
bupa,1,3,0.0289986133575439,0,1505,436,730,165,1580.0,1287.157894736842,0.013160467147827148,990,2325
bupa,1,5,0.0327076911926269,0,1567,463,789,167,4940.736842105263,2963.8947368421054,0.016806840896606445,1327,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0128757953643798,0,325,275,0,0,325.0,275.0,0.010499000549316406,625,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0372698307037353,0,1575,1525,0,0,1575.0,1525.0,0.01568317413330078,1100,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.3986430168151855,0,7825,7775,0,0,7825.0,7775.0,0.021927595138549805,1675,68406
cardio3,2,2,0.0491642951965332,0,2213,275,742,273,2213.0,350.1666666666667,0.05959892272949219,4423,2347
cardio3,2,3,0.067699909210205,0,3130,563,1649,408,2977.823529411765,1480.5185185185185,0.07196211814880371,5180,52463
cardio3,2,5,0.084726333618164,0,3785,1020,2302,509,2901.2764705882355,3350.3962962962964,0.0787954330444336,5611,11290976
