dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
spect_heart,0,2,0.0194413661956787,0,905,273,265,222,905.0,262.5,0.06665945053100586,4144,991
spect_heart,0,3,0.0712504386901855,0,2445,1813,1805,513,2485.25,1833.93,0.061408042907714844,5204,14235
spect_heart,0,5,1.7193450927734375,0,32244,28066,31604,868,39532.925,36903.72,0.09410309791564941,7336,1235994
fertility,O,2,0.0102698802947998,0,329,155,132,74,329.0,161.125,0.02807164192199707,2429,436
fertility,O,3,0.0149426460266113,0,641,307,303,132,762.90625,310.7916666666667,0.03764510154724121,3377,4090
fertility,O,5,0.0174341201782226,0,725,351,353,146,771.3671875,378.31666666666666,0.038823604583740234,3500,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020139455795288,0,325,275,137,131,325.0,275.0,0.04188060760498047,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0529119968414306,0,1575,1042,788,228,1575.0,1049.1666666666667,0.06884193420410156,4325,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1265745162963867,0,3024,1475,1571,246,3299.4791666666665,1572.2916666666667,0.08206868171691895,5293,68406
Mushroom_UCI_,p,2,0.1438908576965332,0,4033,307,1400,375,4033.0,250.98,0.13149642944335938,8917,6904
Mushroom_UCI_,p,3,0.1685123443603515,0,4842,411,2157,488,4569.225,636.0533333333333,0.1428661346435547,9424,267034
Mushroom_UCI_,p,5,0.1789972782135009,0,5020,557,2331,576,5116.0372916666665,2226.9283333333333,0.14946627616882324,9624,175230472
wall24,Slight-Right-Turn,2,0.1218500137329101,0,4190,263,1669,404,4190.0,281.19,0.1323714256286621,9095,4561
wall24,Slight-Right-Turn,3,0.1327736377716064,0,4622,335,2101,503,4382.2375,473.2,0.14357590675354004,9472,142976
wall24,Slight-Right-Turn,5,0.133707046508789,0,4662,366,2141,526,4439.169375,469.90883333333335,0.1373274326324463,9524,61267040
thyroid_allbp,increased binding protein.,2,0.0503180027008056,0,1894,402,657,252,1894.0,440.42,0.08664298057556152,6064,2081
thyroid_allbp,increased binding protein.,3,0.1454026699066162,0,4592,2020,2817,578,5013.3875,2252.0183333333334,0.09660005569458008,7287,43745
thyroid_allbp,increased binding protein.,5,1.803581714630127,0,31959,25976,25129,893,27367.98125,32142.780833333334,0.10357356071472168,7932,8303633
analcatdata_creditscore,1,2,0.0065052509307861,0,112,60,53,28,112.0,59.29,0.016499757766723633,1321,232
analcatdata_creditscore,1,3,0.007544994354248,0,181,107,82,46,191.74166666666667,103.43666666666667,0.021773338317871094,1879,1562
analcatdata_creditscore,1,5,0.0076806545257568,0,203,124,92,55,225.365,128.84433333333334,0.024755477905273438,2084,27896
primary,1,2,0.0149059295654296,0,614,285,273,170,614.0,296.99,0.039305925369262695,3353,1432
primary,1,3,0.0355024337768554,0,1961,867,1226,379,2091.4416666666666,915.3933333333333,0.05468320846557617,4709,24858
primary,1,5,0.1208455562591552,0,4467,2538,3475,567,5538.184583333334,4734.664333333333,0.06688451766967773,5621,3187368
breast_tissue_merged,car,2,0.0099413394927978,0,336,98,174,65,336.0,92.875,0.02597522735595703,2436,667
breast_tissue_merged,car,3,0.0113904476165771,0,438,151,253,103,477.0416666666667,147.625,0.051279306411743164,2930,7807
breast_tissue_merged,car,5,0.0126833915710449,0,452,163,264,111,505.4479166666667,162.18333333333334,0.03534221649169922,3049,443704
pima,1,2,0.0134003162384033,0,465,311,216,178,465.0,323.25,0.036905765533447266,2930,466
pima,1,3,0.0634124279022216,0,1934,404,1366,231,2159.6875,410.3,0.05622720718383789,4660,4526
pima,1,5,0.0652704238891601,0,1960,409,1392,232,2346.3125,485.5,0.05961728096008301,4837,174437
Divorce,1,2,0.1210317611694336,0,6486,198,6081,414,6486.0,229.6,0.13793349266052246,11370,36586
Divorce,1,3,0.1239902973175048,0,6717,280,6312,488,6556.933333333333,411.97333333333336,0.1508030891418457,11534,3280726
Divorce,1,5,0.1248984336853027,0,6822,384,6417,494,6507.466666666666,1007.9813333333333,0.15327191352844238,11605,11740092625
asbestos,(3)_Above_legal_limit,2,0.0048780441284179,0,36,18,13,8,36.0,18.56,0.009541511535644531,708,37
asbestos,(3)_Above_legal_limit,3,0.0044748783111572,0,39,20,14,9,40.266666666666666,20.2,0.011072874069213867,860,93
asbestos,(3)_Above_legal_limit,5,0.0045092105865478,0,39,20,14,9,40.46666666666666,20.453333333333333,0.01118612289428711,864,93
bupa,1,2,0.0096983909606933,0,300,244,131,122,300.0,245.64,0.027943134307861328,2324,301
bupa,1,3,0.0253946781158447,0,1312,339,634,165,1414.25,348.92,0.04384493827819824,4043,2325
bupa,1,5,0.0261616706848144,0,1342,346,661,167,1455.35,376.12,0.047962188720703125,4170,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0120801925659179,0,325,275,0,0,325.0,275.0,0.028505563735961914,2425,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0421376228332519,0,1575,1525,0,0,1575.0,1525.0,0.04739856719970703,4325,2626
