dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
spect_heart,0,2,0.0194413661956787,0,905,273,265,222,905.0,273.525,0.05482053756713867,4144,991
spect_heart,0,3,0.0712504386901855,0,2445,1813,1805,513,2571.0,1901.55,0.1044929027557373,5403,14235
spect_heart,0,5,1.7193450927734375,0,32244,28066,31604,868,36733.8,34530.0375,0.10116004943847656,7216,1235994
fertility,O,2,0.0102698802947998,0,329,155,132,74,329.0,165.0,0.030984878540039062,2429,436
fertility,O,3,0.0149426460266113,0,641,307,303,132,842.8194444444445,386.3020833333333,0.04841423034667969,3464,4090
fertility,O,5,0.0174341201782226,0,725,351,353,146,868.4027777777778,344.3489583333333,0.05166125297546387,3619,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020139455795288,0,325,275,137,131,325.0,275.0,0.054912567138671875,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0529119968414306,0,1575,1042,788,228,1575.0,1048.8020833333333,0.08417582511901855,4323,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1265745162963867,0,3024,1475,1571,246,3226.8055555555557,1629.2838541666667,0.09199786186218262,5385,68406
Mushroom_UCI_,p,2,0.1438908576965332,0,4033,307,1400,375,4033.0,357.1125,0.15702509880065918,8917,6904
Mushroom_UCI_,p,3,0.1685123443603515,0,4842,411,2157,488,4185.783333333334,615.76875,0.17366695404052734,9387,267034
Mushroom_UCI_,p,5,0.1789972782135009,0,5020,557,2331,576,4043.8777777777777,1769.6352083333334,0.17223238945007324,9640,175230472
wall24,Slight-Right-Turn,2,0.1218500137329101,0,4190,263,1669,404,4190.0,241.15,0.15579009056091309,9095,4561
wall24,Slight-Right-Turn,3,0.1327736377716064,0,4622,335,2101,503,4261.283333333334,565.1479166666667,0.16558074951171875,9682,142976
wall24,Slight-Right-Turn,5,0.133707046508789,0,4662,366,2141,526,4306.7075,470.91552083333335,0.16246938705444336,10056,61267040
thyroid_allbp,increased binding protein.,2,0.0503180027008056,0,1894,402,657,252,1894.0,420.9,0.09820199012756348,6064,2081
thyroid_allbp,increased binding protein.,3,0.1454026699066162,0,4592,2020,2817,578,3375.961111111111,2095.2229166666666,0.11238527297973633,7166,43745
thyroid_allbp,increased binding protein.,5,1.803581714630127,0,31959,25976,25129,893,39400.79888888889,41362.33354166667,0.13696551322937012,8858,8303633
analcatdata_creditscore,1,2,0.0065052509307861,0,112,60,53,28,112.0,60.2875,0.01802968978881836,1321,232
analcatdata_creditscore,1,3,0.007544994354248,0,181,107,82,46,198.25555555555556,113.02083333333333,0.024940013885498047,1883,1562
analcatdata_creditscore,1,5,0.0076806545257568,0,203,124,92,55,211.75388888888887,117.82895833333333,0.03738689422607422,2073,27896
primary,1,2,0.0149059295654296,0,614,285,273,170,614.0,287.725,0.045284271240234375,3353,1432
primary,1,3,0.0355024337768554,0,1961,867,1226,379,1642.2166666666667,1016.0333333333333,0.0683128833770752,4614,24858
primary,1,5,0.1208455562591552,0,4467,2538,3475,567,3449.278888888889,4032.1025,0.07739901542663574,5446,3187368
breast_tissue_merged,car,2,0.0099413394927978,0,336,98,174,65,336.0,100.0,0.030038118362426758,2436,667
breast_tissue_merged,car,3,0.0113904476165771,0,438,151,253,103,468.36111111111114,146.09375,0.03928947448730469,2901,7807
breast_tissue_merged,car,5,0.0126833915710449,0,452,163,264,111,471.4583333333333,148.1171875,0.040190696716308594,2984,443704
pima,1,2,0.0134003162384033,0,465,311,216,178,465.0,326.625,0.04213714599609375,2930,466
