dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
spect_heart,0,2,0.0194413661956787,0,905,273,265,222,905.0,262.5,0.0217745304107666,1848,991
spect_heart,0,3,0.0712504386901855,0,2445,1813,1805,513,2375.0,1732.5,0.02947688102722168,2288,14235
spect_heart,0,5,1.7193450927734375,0,32244,28066,31604,868,34274.0,33160.431818181816,0.03998851776123047,3101,1235994
fertility,O,2,0.0102698802947998,0,329,155,132,74,329.0,142.67241379310346,0.009831905364990234,725,436
fertility,O,3,0.0149426460266113,0,641,307,303,132,942.9367816091955,375.4310344827586,0.013362884521484375,1028,4090
fertility,O,5,0.0174341201782226,0,725,351,353,146,1088.5689655172414,337.83764367816093,0.014083623886108398,1066,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020139455795288,0,325,275,137,131,325.0,275.0,0.015473604202270508,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0529119968414306,0,1575,1042,788,228,1575.0,1118.3333333333333,0.022190093994140625,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1265745162963867,0,3024,1475,1571,246,4258.166666666667,2381.6666666666665,0.026604175567626953,1425,68406
Mushroom_UCI_,p,2,0.1438908576965332,0,4033,307,1400,375,4033.0,267.0,0.14597463607788086,10413,6904
Mushroom_UCI_,p,3,0.1685123443603515,0,4842,411,2157,488,4372.790378006873,515.997150997151,0.15887713432312012,10879,267034
Mushroom_UCI_,p,5,0.1789972782135009,0,5020,557,2331,576,5338.425085910653,1298.208262108262,0.16806888580322266,11254,175230472
wall24,Slight-Right-Turn,2,0.1218500137329101,0,4190,263,1669,404,4190.0,249.53157894736842,0.12299871444702148,8645,4561
wall24,Slight-Right-Turn,3,0.1327736377716064,0,4622,335,2101,503,4287.066666666667,315.9456140350877,0.12725043296813965,8917,142976
wall24,Slight-Right-Turn,5,0.133707046508789,0,4662,366,2141,526,4743.765333333333,590.8933333333333,0.1306929588317871,9138,61267040
thyroid_allbp,increased binding protein.,2,0.0503180027008056,0,1894,402,657,252,1894.0,413.65625,0.05541586875915527,3904,2081
thyroid_allbp,increased binding protein.,3,0.1454026699066162,0,4592,2020,2817,578,5645.962121212121,2888.1276041666665,0.06711649894714355,4792,43745
thyroid_allbp,increased binding protein.,5,1.803581714630127,0,31959,25976,25129,893,16195.496212121212,27402.717057291666,0.07175517082214355,5098,8303633
analcatdata_creditscore,1,2,0.0065052509307861,0,112,60,53,28,112.0,63.0,0.0059795379638671875,294,232
analcatdata_creditscore,1,3,0.007544994354248,0,181,107,82,46,195.55555555555554,95.88888888888889,0.006743907928466797,398,1562
analcatdata_creditscore,1,5,0.0076806545257568,0,203,124,92,55,220.47777777777776,107.94444444444444,0.007365703582763672,435,27896
primary,1,2,0.0149059295654296,0,614,285,273,170,614.0,293.811320754717,0.021859169006347656,1802,1432
primary,1,3,0.0355024337768554,0,1961,867,1226,379,2350.9191919191917,1061.2704402515724,0.05174851417541504,2602,24858
primary,1,5,0.1208455562591552,0,4467,2538,3475,567,5517.658585858586,5776.519811320754,0.03918814659118652,3148,3187368
breast_tissue_merged,car,2,0.0099413394927978,0,336,98,174,65,336.0,102.08333333333333,0.011762142181396484,900,667
breast_tissue_merged,car,3,0.0113904476165771,0,438,151,253,103,506.3703703703704,167.12962962962962,0.014737844467163086,1097,7807
breast_tissue_merged,car,5,0.0126833915710449,0,452,163,264,111,502.25,154.85532407407408,0.014651298522949219,1109,443704
pima,1,2,0.0134003162384033,0,465,311,216,178,465.0,334.0,0.01358938217163086,900,466
pima,1,3,0.0634124279022216,0,1934,404,1366,231,2243.5,441.3333333333333,0.019663333892822266,1458,4526
pima,1,5,0.0652704238891601,0,1960,409,1392,232,2945.766666666667,773.0,0.021661758422851562,1550,174437
Divorce,1,2,0.1210317611694336,0,6486,198,6081,414,6486.0,187.7037037037037,0.3365497589111328,30240,36586
Divorce,1,3,0.1239902973175048,0,6717,280,6312,488,6595.162666666667,221.16543209876542,0.3514988422393799,30498,3280726
Divorce,1,5,0.1248984336853027,0,6822,384,6417,494,6777.879466666666,419.51604938271606,0.3870580196380615,30809,11740092625
asbestos,(3)_Above_legal_limit,2,0.0048780441284179,0,36,18,13,8,36.0,16.5,0.0030727386474609375,64,37
asbestos,(3)_Above_legal_limit,3,0.0044748783111572,0,39,20,14,9,41.0,20.666666666666668,0.002635478973388672,77,93
asbestos,(3)_Above_legal_limit,5,0.0045092105865478,0,39,20,14,9,40.666666666666664,19.666666666666668,0.0025489330291748047,76,93
bupa,1,2,0.0096983909606933,0,300,244,131,122,300.0,247.0,0.008570194244384766,576,301
bupa,1,3,0.0253946781158447,0,1312,339,634,165,1323.3333333333333,355.6666666666667,0.012802600860595703,978,2325
bupa,1,5,0.0261616706848144,0,1342,346,661,167,1506.8,396.3333333333333,0.013456106185913086,1031,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0120801925659179,0,325,275,0,0,325.0,275.0,0.009947538375854492,625,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0421376228332519,0,1575,1525,0,0,1575.0,1525.0,0.015044689178466797,1100,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.1511576175689697,0,4700,1525,0,0,4700.0,1525.0,0.018472909927368164,1450,68406
cardio3,2,2,0.0741641521453857,0,2213,275,742,273,2213.0,305.7352941176471,0.05639338493347168,4488,2347
cardio3,2,3,0.092419147491455,0,3130,563,1649,408,2728.625,749.2941176470588,0.06541824340820312,4870,52463
cardio3,2,5,0.110257863998413,0,3785,1020,2302,509,3382.09375,2373.0720588235295,0.06895184516906738,5137,11290976
volcanoes-d4,3,2,0.0092194080352783,0,78,59,17,17,78.0,59.0,0.006148099899291992,144,79
volcanoes-d4,3,3,0.010951280593872,0,138,94,36,36,141.33333333333334,97.5,0.006959676742553711,227,299
volcanoes-d4,3,5,0.0108053684234619,0,138,94,36,36,140.16666666666666,96.5,0.007071733474731445,227,299
pitt2_3,LONG,2,0.0067682266235351,0,159,71,78,40,159.0,68.3695652173913,0.006392240524291992,391,277
pitt2_3,LONG,3,0.0082664489746093,0,241,118,116,64,286.00724637681157,108.03623188405797,0.007953405380249023,505,2048
pitt2_3,LONG,5,0.0085492134094238,0,255,127,123,69,311.2608695652174,110.1304347826087,0.008356094360351562,544,44552
grammatical_b5,1,2,0.5848731994628906,0,30103,1715,29350,708,30103.0,1773.4788672865595,3.8783061504364014,285103,700337
grammatical_b5,1,3,0.8316972255706787,0,41329,9927,40564,763,43444.13556893093,11105.421245421245,4.28310227394104,299503,275933568
grammatical_b5,1,5,30.67976975440979,0,184613,148895,183845,772,215129.5066638005,169287.30762890956,4.454688549041748,311982,19226968518304
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1118106842041015,0,325,275,139,133,325.0,275.0,0.07659196853637695,625,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2459573745727539,0,1575,1525,768,216,1575.0,1525.0,0.09306073188781738,1100,2626
