dataset_name,target_value,depth,Apriori_DP_fixed (PS)-real_time_taken,Apriori_DP_fixed (PS)-failed,Apriori_DP_fixed (PS)-sgs_evaluated,Apriori_DP_fixed (PS)-sgs_eval_interesting,Apriori_DP_fixed (PS)-sgs_quality_interesting,Apriori_DP_fixed (PS)-sgs_top_k_interesting,Apriori_DP_fixed (PS)-e_est,Apriori_DP_fixed (PS)-ei_est,Apriori_DP_fixed (PS)-time_to_est,Apriori_DP_fixed (PS)-sdfastest-esgs,Apriori_DP_fixed (PS)-ub
spect_heart,0,2,0.0194413661956787,0,905,273,265,222,905.0,254.4,0.022623538970947266,1807,991
spect_heart,0,3,0.0712504386901855,0,2445,1813,1805,513,2669.0,2070.6,0.03216743469238281,2465,14235
spect_heart,0,5,1.7193450927734375,0,32244,28066,31604,868,35454.2,34818.0,0.04206395149230957,3127,1235994
fertility,O,2,0.0102698802947998,0,329,155,132,74,329.0,154.34782608695653,0.010203838348388672,701,436
fertility,O,3,0.0149426460266113,0,641,307,303,132,804.5434782608695,272.6449275362319,0.013316631317138672,971,4090
fertility,O,5,0.0174341201782226,0,725,351,353,146,1280.9021739130435,379.66485507246375,0.014636754989624023,1087,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.020139455795288,0,325,275,137,131,325.0,275.0,0.01580667495727539,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0529119968414306,0,1575,1042,788,228,1575.0,1183.3333333333333,0.022891998291015625,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1265745162963867,0,3024,1475,1571,246,3966.875,1927.0833333333333,0.0274660587310791,1426,68406
Mushroom_UCI_,p,2,0.1438908576965332,0,4033,307,1400,375,4033.0,323.4623655913978,0.15308403968811035,10325,6904
Mushroom_UCI_,p,3,0.1685123443603515,0,4842,411,2157,488,4170.3607305936075,568.6111111111111,0.16573166847229004,10929,267034
