dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
spect_heart,0,2,0.0217106342315673,0,905,666,265,215,905.0,684.81,0.047785043716430664,4144,991
spect_heart,0,3,0.1079363822937011,0,6344,2560,2455,505,7836.6625,2971.99,0.08317899703979492,7089,14235
spect_heart,0,5,2.0763964653015137,0,41480,36217,37203,1150,43483.64625,42355.25,0.1001272201538086,8558,1235994
fertility,O,2,0.0110909938812255,0,329,155,132,74,329.0,142.875,0.02775120735168457,2429,436
fertility,O,3,0.0160944461822509,0,641,307,303,134,750.875,297.6666666666667,0.03740692138671875,3376,4090
fertility,O,5,0.0185685157775878,0,725,351,353,148,880.640625,381.01458333333335,0.04131937026977539,3626,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0209791660308837,0,325,275,137,130,325.0,275.0,0.042215585708618164,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0563819408416748,0,1575,1326,788,301,1575.0,1309.1666666666667,0.07023406028747559,4325,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1827456951141357,0,4216,2848,2214,370,4835.208333333333,2942.5,0.09268832206726074,5852,68406
Mushroom_UCI_,p,2,0.1287643909454345,0,4033,316,1400,394,4033.0,276.79,0.13577556610107422,8917,6904
Mushroom_UCI_,p,3,0.1582226753234863,0,4876,674,2181,514,5230.235416666666,805.895,0.1521608829498291,9568,267034
Mushroom_UCI_,p,5,0.1936936378479004,0,5738,820,3039,614,5479.9175,3110.920833333333,0.15663814544677734,9692,175230472
wall24,Slight-Right-Turn,2,0.1013548374176025,0,4190,1041,1669,416,4190.0,1208.025,0.13596224784851074,9095,4561
wall24,Slight-Right-Turn,3,0.3038613796234131,0,11397,1441,8739,633,15599.314583333333,3147.69,0.1694624423980713,11481,142976
wall24,Slight-Right-Turn,5,0.3183047771453857,0,11865,1633,9207,718,16405.896875,6145.874583333333,0.1715531349182129,11545,61267040
