dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
spect_heart,0,2,0.0217106342315673,0,905,666,265,215,905.0,661.7625,0.04802823066711426,4144,991
spect_heart,0,3,0.1079363822937011,0,6344,2560,2455,505,3940.55,2916.8125,0.07062911987304688,6097,14235
spect_heart,0,5,2.0763964653015137,0,41480,36217,37203,1150,32345.675,35016.24,0.09106016159057617,7539,1235994
fertility,O,2,0.0110909938812255,0,329,155,132,74,329.0,171.71875,0.028731584548950195,2429,436
fertility,O,3,0.0160944461822509,0,641,307,303,134,703.0277777777777,266.3541666666667,0.03839230537414551,3314,4090
fertility,O,5,0.0185685157775878,0,725,351,353,148,994.1979166666666,436.9453125,0.043029069900512695,3697,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0209791660308837,0,325,275,137,130,325.0,275.0,0.0423731803894043,2425,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0563819408416748,0,1575,1326,788,301,1575.0,1351.0416666666667,0.06963324546813965,4325,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1827456951141357,0,4216,2848,2214,370,4721.736111111111,2648.0208333333335,0.08948969841003418,5843,68406
Mushroom_UCI_,p,2,0.1287643909454345,0,4033,316,1400,394,4033.0,515.64375,0.13374090194702148,8917,6904
Mushroom_UCI_,p,3,0.1582226753234863,0,4876,674,2181,514,4191.716666666666,769.29375,0.1480085849761963,9441,267034
Mushroom_UCI_,p,5,0.1936936378479004,0,5738,820,3039,614,4484.526666666667,3670.563958333333,0.1590282917022705,10016,175230472
wall24,Slight-Right-Turn,2,0.1013548374176025,0,4190,1041,1669,416,4190.0,1080.625,0.13413071632385254,9095,4561
wall24,Slight-Right-Turn,3,0.3038613796234131,0,11397,1441,8739,633,12020.297222222222,5628.539583333333,0.18511438369750977,11654,142976
wall24,Slight-Right-Turn,5,0.3183047771453857,0,11865,1633,9207,718,8887.268333333333,7684.599270833333,0.17070794105529785,11772,61267040
thyroid_allbp,increased binding protein.,2,0.0512382984161376,0,1894,799,657,267,1894.0,931.775,0.0826563835144043,6064,2081
thyroid_allbp,increased binding protein.,3,0.2266545295715332,0,9366,5206,5409,602,8894.427777777777,7258.491666666667,0.11804533004760742,8657,43745
thyroid_allbp,increased binding protein.,5,13.028774976730348,0,123036,89983,102738,1142,115519.49638888889,154365.685,0.1471569538116455,11100,8303633
analcatdata_creditscore,1,2,0.0069079399108886,0,112,60,53,28,112.0,60.9875,0.017368555068969727,1321,232
analcatdata_creditscore,1,3,0.0079138278961181,0,181,107,82,46,172.08333333333334,93.65416666666667,0.022319316864013672,1794,1562
analcatdata_creditscore,1,5,0.0086219310760498,0,203,124,92,55,220.20444444444445,123.33854166666667,0.026730060577392578,2093,27896
primary,1,2,0.0169789791107177,0,614,419,273,166,614.0,404.175,0.03948163986206055,3353,1432
primary,1,3,0.0547084808349609,0,3095,1806,1504,352,2680.2555555555555,1997.7833333333333,0.059111833572387695,5027,24858
primary,1,5,0.5289146900177002,0,13656,9734,9949,532,12165.688888888888,13140.730833333333,0.08440232276916504,6885,3187368
breast_tissue_merged,car,2,0.0110738277435302,0,336,98,174,65,336.0,101.5625,0.027811765670776367,2436,667
breast_tissue_merged,car,3,0.0127689838409423,0,438,151,253,103,471.90277777777777,145.3125,0.03474760055541992,2935,7807
breast_tissue_merged,car,5,0.0129809379577636,0,452,164,264,111,490.59027777777777,159.2109375,0.0356898307800293,3007,443704
pima,1,2,0.0148932933807373,0,465,413,216,180,465.0,414.5625,0.03796815872192383,2930,466
pima,1,3,0.0594029426574707,0,3195,955,1630,289,2976.8333333333335,1263.375,0.06369709968566895,5155,4526
pima,1,5,0.0767028331756591,0,3778,1099,2204,306,3773.766666666667,1190.2875,0.06957745552062988,5826,174437
Divorce,1,2,0.1105706691741943,0,7651,208,7162,432,7651.0,328.6375,0.14735937118530273,12370,36586
Divorce,1,3,0.1143653392791748,0,7882,290,7393,514,7676.7555555555555,535.5291666666667,0.1663346290588379,12602,3280726
Divorce,1,5,0.116046667098999,0,7987,394,7498,520,7653.711111111111,1825.3233333333333,0.19248104095458984,12987,11740092625
asbestos,(3)_Above_legal_limit,2,0.0049612522125244,0,36,18,13,8,36.0,17.45,0.010616064071655273,708,37
