dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
spect_heart,0,2,0.0217106342315673,0,905,666,265,215,905.0,686.3181818181819,0.023192405700683594,1848,991
spect_heart,0,3,0.1079363822937011,0,6344,2560,2455,505,7524.958333333333,3689.4772727272725,0.03744196891784668,3138,14235
spect_heart,0,5,2.0763964653015137,0,41480,36217,37203,1150,25258.408333333333,40592.530681818185,0.04525160789489746,3852,1235994
fertility,O,2,0.0110909938812255,0,329,155,132,74,329.0,168.5344827586207,0.010495424270629883,725,436
fertility,O,3,0.0160944461822509,0,641,307,303,134,908.3103448275863,330.0287356321839,0.013469219207763672,1020,4090
fertility,O,5,0.0185685157775878,0,725,351,353,148,1263.1451149425288,425.1795977011494,0.013932943344116211,1096,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0209791660308837,0,325,275,137,130,325.0,275.0,0.015056610107421875,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0563819408416748,0,1575,1326,788,301,1575.0,1405.0,0.022837400436401367,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1827456951141357,0,4216,2848,2214,370,5011.5,3105.8333333333335,0.027757883071899414,1500,68406
Mushroom_UCI_,p,2,0.1287643909454345,0,4033,316,1400,394,4033.0,313.4017094017094,0.15030694007873535,10413,6904
Mushroom_UCI_,p,3,0.1582226753234863,0,4876,674,2181,514,4867.48969072165,734.6937321937322,0.16360712051391602,11111,267034
Mushroom_UCI_,p,5,0.1936936378479004,0,5738,820,3039,614,5408.06529209622,1903.7378917378917,0.16790533065795898,11283,175230472
wall24,Slight-Right-Turn,2,0.1013548374176025,0,4190,1041,1669,416,4190.0,1178.6894736842105,0.12357521057128906,8645,4561
wall24,Slight-Right-Turn,3,0.3038613796234131,0,11397,1441,8739,633,13218.00888888889,2692.1631578947367,0.15189051628112793,10680,142976
wall24,Slight-Right-Turn,5,0.3183047771453857,0,11865,1633,9207,718,14266.753555555555,7952.306403508772,0.15514874458312988,10886,61267040
thyroid_allbp,increased binding protein.,2,0.0512382984161376,0,1894,799,657,267,1894.0,855.4296875,0.053725242614746094,3904,2081
thyroid_allbp,increased binding protein.,3,0.2266545295715332,0,9366,5206,5409,602,10727.90909090909,5737.8125,0.07477974891662598,5451,43745
thyroid_allbp,increased binding protein.,5,13.028774976730348,0,123036,89983,102738,1142,169058.26136363635,217846.3453125,0.10000181198120117,7356,8303633
analcatdata_creditscore,1,2,0.0069079399108886,0,112,60,53,28,112.0,58.666666666666664,0.006062746047973633,294,232
analcatdata_creditscore,1,3,0.0079138278961181,0,181,107,82,46,191.55555555555554,94.77777777777777,0.006582021713256836,393,1562
analcatdata_creditscore,1,5,0.0086219310760498,0,203,124,92,55,293.34444444444443,144.87777777777777,0.00799870491027832,478,27896
primary,1,2,0.0169789791107177,0,614,419,273,166,614.0,402.54716981132077,0.02206897735595703,1802,1432
primary,1,3,0.0547084808349609,0,3095,1806,1504,352,3185.6363636363635,2092.2830188679245,0.03508806228637695,2881,24858
primary,1,5,0.5289146900177002,0,13656,9734,9949,532,16007.783333333333,15604.369496855346,0.04737353324890137,3845,3187368
breast_tissue_merged,car,2,0.0110738277435302,0,336,98,174,65,336.0,96.52777777777777,0.01228952407836914,900,667
breast_tissue_merged,car,3,0.0127689838409423,0,438,151,253,103,483.68518518518516,142.9398148148148,0.014518499374389648,1079,7807
breast_tissue_merged,car,5,0.0129809379577636,0,452,164,264,111,504.46064814814815,155.55555555555557,0.014791011810302734,1112,443704
pima,1,2,0.0148932933807373,0,465,413,216,180,465.0,417.0,0.01372981071472168,900,466
pima,1,3,0.0594029426574707,0,3195,955,1630,289,3247.6666666666665,1268.5,0.0213625431060791,1633,4526
pima,1,5,0.0767028331756591,0,3778,1099,2204,306,6689.508333333333,1901.9166666666667,0.02479243278503418,1893,174437
Divorce,1,2,0.1105706691741943,0,7651,208,7162,432,7651.0,214.17777777777778,0.35506200790405273,32940,36586
Divorce,1,3,0.1143653392791748,0,7882,290,7393,514,7779.9946666666665,323.67654320987657,0.3734924793243408,33211,3280726
Divorce,1,5,0.116046667098999,0,7987,394,7498,520,7866.6472,414.78117283950616,0.40180134773254395,33410,11740092625
asbestos,(3)_Above_legal_limit,2,0.0049612522125244,0,36,18,13,8,36.0,19.5,0.003290891647338867,64,37
asbestos,(3)_Above_legal_limit,3,0.0048675537109375,0,39,20,14,9,41.5,21.166666666666668,0.0027239322662353516,76,93
asbestos,(3)_Above_legal_limit,5,0.0048985481262207,0,39,20,14,9,42.833333333333336,21.0,0.0027637481689453125,79,93
bupa,1,2,0.0105605125427246,0,300,246,131,122,300.0,247.0,0.008388996124267578,576,301
bupa,1,3,0.0272624492645263,0,1340,413,634,171,1429.3333333333333,439.3333333333333,0.013136148452758789,1003,2325
bupa,1,5,0.0288209915161132,0,1411,424,671,173,1528.0833333333333,402.0,0.013656139373779297,1035,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0133037567138671,0,325,275,0,0,325.0,275.0,0.010115623474121094,625,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0383486747741699,0,1575,1525,0,0,1575.0,1525.0,0.01563286781311035,1100,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.1319150924682617,0,4700,1525,0,0,4700.0,1525.0,0.018904685974121094,1450,68406
cardio3,2,2,0.0512177944183349,0,2213,704,742,272,2213.0,758.5147058823529,0.05994224548339844,4488,2347
cardio3,2,3,0.1426806449890136,0,6794,2499,4857,448,7431.8125,3984.5882352941176,0.07890510559082031,5851,52463
cardio3,2,5,0.8413817882537842,0,20057,12919,18073,633,8833.14375,29365.947794117645,0.08561897277832031,6304,11290976
volcanoes-d4,3,2,0.0100016593933105,0,78,59,17,17,78.0,58.0,0.006286144256591797,144,79
volcanoes-d4,3,3,0.011275291442871,0,138,94,36,36,135.83333333333334,90.16666666666667,0.007112264633178711,224,299
volcanoes-d4,3,5,0.0113666057586669,0,138,94,36,36,139.5,99.5,0.007207155227661133,226,299
pitt2_3,LONG,2,0.0073919296264648,0,159,71,78,40,159.0,71.69565217391305,0.00636744499206543,391,277
pitt2_3,LONG,3,0.0085265636444091,0,241,118,116,64,316.18840579710144,140.68115942028984,0.008420944213867188,535,2048
pitt2_3,LONG,5,0.0090529918670654,0,255,127,123,69,308.0086956521739,116.96739130434783,0.008407115936279297,527,44552
grammatical_b5,1,2,2.294153928756714,0,128443,6978,116291,735,128443.0,6863.176246830093,7.763811349868774,597415,700337
grammatical_b5,1,3,5.717564582824707,0,267324,106718,255149,942,284629.2668386357,133467.27387996617,8.322985172271729,628492,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1213140487670898,0,325,275,139,134,325.0,275.0,0.07853269577026367,625,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2538650035858154,0,1575,1525,768,308,1575.0,1525.0,0.09328770637512207,1100,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,1.0496175289154053,0,7825,4650,3955,428,7825.0,4650.0,0.11078572273254395,1675,68406
pitt1_4,S,2,0.0075652599334716,0,177,65,82,34,177.0,77.625,0.011743307113647461,432,301
pitt1_4,S,3,0.008157730102539,0,223,91,101,44,308.375,92.625,0.008234977722167969,555,2325
pitt1_4,S,5,0.0083439350128173,0,224,92,101,44,326.75,107.5,0.00849771499633789,557,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,5.727981328964233,0,5050,2800,2224,365,5050.0,2620.0,3.857999801635742,10000,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,43.7825345993042,0,56890,27703,28709,587,64150.0,28654.0,5.257256269454956,15303,166751
gesture_va,P,2,0.6442153453826904,0,8256,7646,4281,469,8256.0,7597.0,0.33869481086730957,16384,8257
gesture_va,P,3,8.781985759735107,0,281963,31105,153967,628,307515.4567901235,100798.33333333333,0.48189425468444824,31441,349633
gesture_va,P,5,31.50186038017273,0,442330,53895,307385,718,1363810.301234568,720762.7916666666,0.5237832069396973,35907,275584033
connectionist_vowel,4,2,0.0336942672729492,0,1655,906,583,294,1655.0,930.3559322033898,0.04397296905517578,3363,1771
connectionist_vowel,4,3,0.1521081924438476,0,8241,2350,5301,511,12234.589743589744,4687.847457627118,0.06299424171447754,5227,34280
connectionist_vowel,4,5,0.2456014156341552,0,10442,3033,7502,631,20519.064743589744,9213.856779661017,0.06796407699584961,5773,5495792
breast_cancer_wis_pro,R,2,0.1321043968200683,0,9334,4129,4187,421,9334.0,4307.402597402597,0.21189260482788086,20944,11936
breast_cancer_wis_pro,R,3,1.3295025825500488,0,59560,9366,44806,499,85444.09950248756,8384.458874458875,0.2878999710083008,29462,608840
breast_cancer_wis_pro,R,5,2.425520181655884,0,70496,16049,53998,598,104505.2606965174,17791.397835497835,0.3011353015899658,30445,699135746
diggle_table_a2,8,2,0.0088086128234863,0,168,103,76,70,168.0,105.453125,0.010025262832641602,544,529
diggle_table_a2,8,3,0.0123250484466552,0,364,229,240,188,412.375,215.86458333333334,0.012786626815795898,829,5489
diggle_table_a2,8,5,0.0188939571380615,0,669,530,545,253,651.2161458333334,417.4296875,0.015520334243774414,979,242825
page,5,2,0.0312583446502685,0,781,474,244,185,781.0,513.3375,0.02800750732421875,1560,821
page,5,3,0.0879378318786621,0,3100,1168,1778,380,3360.85,1849.25,0.0381159782409668,2418,10701
page,5,5,0.1450991630554199,0,4853,2068,3526,535,6571.46,5082.065625,0.04423117637634277,2849,760099
steel-plates-fault,2,2,0.1186134815216064,0,5784,3990,3352,498,5784.0,4097.2477876106195,0.17206358909606934,12091,6442
steel-plates-fault,2,3,2.038148880004883,0,88886,10138,64039,777,105613.84946236559,30268.374631268438,0.24997210502624512,20065,240578
steel-plates-fault,2,5,3.811216354370117,0,112139,16028,85781,1130,277549.3785842294,230178.09225663717,0.2884955406188965,23055,147043850
mechanical,4,2,0.0233826637268066,0,381,269,155,147,381.0,246.6,0.01928400993347168,810,466
mechanical,4,3,0.0549724102020263,0,1429,1194,757,307,1556.7,1256.7,0.02576756477355957,1325,4526
mechanical,4,5,0.227607250213623,0,4751,3953,3150,411,5391.5325,4066.785,0.0320584774017334,1754,174437
OnlineShoppersIntention,True,2,0.137580394744873,0,3250,1483,1362,306,3250.0,1503.5555555555557,0.12045788764953613,7200,4096
OnlineShoppersIntention,True,3,0.730229377746582,0,19685,8280,11710,498,23686.38095238095,12238.518518518518,0.171828031539917,10389,121576
OnlineShoppersIntention,True,5,11.609828233718872,0,87234,55673,65702,684,141692.89523809523,169433.32592592592,0.20438647270202637,12438,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1497840881347656,0,5050,4600,2264,410,5050.0,4600.0,0.1529688835144043,10000,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,3.5735414028167725,0,125050,19758,68469,658,125050.0,56065.0,0.2670433521270752,18900,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.519273042678833,0,128377,19758,71698,658,496304.6875,53980.0,0.3043787479400635,22092,79375496
glass,3,2,0.0123107433319091,0,382,220,174,137,382.0,215.1290322580645,0.013618230819702148,837,497
glass,3,3,0.0223278999328613,0,1021,555,675,249,1296.225806451613,552.3387096774194,0.016874074935913086,1257,4992
glass,3,5,0.031036376953125,0,1311,815,944,287,1673.5290322580645,718.2943548387096,0.018488407135009766,1370,206368
molecular_promoter,+,2,0.3699314594268799,0,25879,745,9894,478,25879.0,744.719298245614,0.4870288372039795,51756,26107
molecular_promoter,+,3,0.4241120815277099,0,27475,883,11490,585,26899.590544871797,1165.3662280701753,0.5148763656616211,52899,1975583
molecular_promoter,+,5,0.4308140277862549,0,27527,890,11542,591,26795.003205128207,1360.3406432748538,0.48903965950012207,52598,5024313128
blood,1,2,0.0076982975006103,0,136,97,46,46,136.0,94.5,0.005649089813232422,256,137
blood,1,3,0.0101733207702636,0,281,178,102,84,345.3333333333333,181.66666666666666,0.00664973258972168,413,697
blood,1,5,0.0106282234191894,0,306,203,114,96,326.5,202.5,0.007138967514038086,428,2517
weight,B,2,2.233067035675049,0,148827,980,68231,432,148827.0,974.8722316865417,2.825317859649658,319915,172579
weight,B,3,2.2620444297790527,0,150039,1194,69442,551,149237.7524985303,1229.1127200454287,2.8654000759124756,320487,33710824
weight,B,5,2.264129400253296,0,150407,1445,69810,604,149417.4967666079,2361.6666666666665,2.9510018825531006,320804,575871962176
ozone1,1,2,0.7589657306671143,0,39067,12992,13123,557,39067.0,14311.431818181818,0.8899061679840088,79794,41042
ozone1,1,3,12.45623517036438,0,465022,203172,416364,928,811802.2518796993,269825.3548951049,1.2924091815948486,111840,3899182
