dataset_name,target_value,depth,Apriori_DP_fixed_qf05 (PS)-real_time_taken,Apriori_DP_fixed_qf05 (PS)-failed,Apriori_DP_fixed_qf05 (PS)-sgs_evaluated,Apriori_DP_fixed_qf05 (PS)-sgs_eval_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_quality_interesting,Apriori_DP_fixed_qf05 (PS)-sgs_top_k_interesting,Apriori_DP_fixed_qf05 (PS)-e_est,Apriori_DP_fixed_qf05 (PS)-ei_est,Apriori_DP_fixed_qf05 (PS)-time_to_est,Apriori_DP_fixed_qf05 (PS)-sdfastest-esgs,Apriori_DP_fixed_qf05 (PS)-ub
spect_heart,0,2,0.0217106342315673,0,905,666,265,215,905.0,723.0,0.023144006729125977,1807,991
spect_heart,0,3,0.1079363822937011,0,6344,2560,2455,505,5270.2,4015.6,0.03527688980102539,2848,14235
spect_heart,0,5,2.0763964653015137,0,41480,36217,37203,1150,88380.5,76284.79000000001,0.05338692665100098,4463,1235994
fertility,O,2,0.0110909938812255,0,329,155,132,74,329.0,168.47826086956522,0.010362386703491211,701,436
fertility,O,3,0.0160944461822509,0,641,307,303,134,799.8333333333333,368.84057971014494,0.013575077056884766,979,4090
fertility,O,5,0.0185685157775878,0,725,351,353,148,1147.3605072463768,395.4257246376812,0.014104604721069336,1015,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0209791660308837,0,325,275,137,130,325.0,275.0,0.01598381996154785,625,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0563819408416748,0,1575,1326,788,301,1575.0,1366.6666666666667,0.023375511169433594,1100,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1827456951141357,0,4216,2848,2214,370,4767.5,2519.7916666666665,0.028536319732666016,1489,68406
Mushroom_UCI_,p,2,0.1287643909454345,0,4033,316,1400,394,4033.0,420.1182795698925,0.15235567092895508,10325,6904
Mushroom_UCI_,p,3,0.1582226753234863,0,4876,674,2181,514,4321.5388127853885,911.5322580645161,0.16601920127868652,10970,267034
Mushroom_UCI_,p,5,0.1936936378479004,0,5738,820,3039,614,4812.603424657535,2865.337455197133,0.17737698554992676,11408,175230472
wall24,Slight-Right-Turn,2,0.1013548374176025,0,4190,1041,1669,416,4190.0,1215.9276315789473,0.12809371948242188,8645,4561
