dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
spect_heart,0,2,0.0215587615966796,0,697,486,260,210,923.745,308.65,0.056061744689941406,4146,991
spect_heart,0,3,0.084195852279663,0,3767,1945,1809,478,4161.665,2102.4,0.09628939628601074,5348,14235
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140,69783.673375,35093.484,0.0940248966217041,6898,1235994
fertility,O,2,0.0097250938415527,0,348,156,74,74,342.3125,157.125,0.03216361999511719,2431,436
fertility,O,3,0.0254731178283691,0,1399,308,141,133,1227.4479166666667,308.625,0.04901456832885742,3328,4090
fertility,O,5,0.0444939136505126,0,2798,352,161,143,1759.9635416666667,275.03125,0.0472714900970459,3448,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0217852592468261,0,276,276,137,132,276.0,276.0,0.05161690711975098,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0510420799255371,0,1526,1161,597,282,1633.25,1143.2083333333333,0.08361291885375977,4324,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379,5601.4609375,1815.3333333333333,0.09922480583190918,5403,68406
Mushroom_UCI_,p,2,0.1116149425506591,0,2719,700,484,389,4776.4825,431.76,0.16412878036499023,8919,6904
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744,10088.855416666667,1004.475,0.1801929473876953,9300,267034
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537,92372.4685625,14526.437833333333,0.1917576789855957,9857,175230472
wall24,Slight-Right-Turn,2,0.0937702655792236,0,3213,980,757,438,4202.6025,635.725,0.16133975982666016,9097,4561
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037,14322.902083333334,2283.5833333333335,0.17200779914855957,9910,142976
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420,144275.60659375,14914.322666666667,0.18009710311889648,10372,61267040
thyroid_allbp,increased binding protein.,2,0.0500710010528564,0,1344,782,414,248,1896.22,584.16,0.09831881523132324,6066,2081
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832,9714.920416666666,4147.983333333334,0.12308287620544434,7449,43745
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533,175954.16645833332,75656.0365,0.14636778831481934,8735,8303633
analcatdata_creditscore,1,2,0.0065882205963134,0,174,61,28,28,141.21,61.55,0.02094888687133789,1323,232
analcatdata_creditscore,1,3,0.00999116897583,0,445,108,46,46,349.5708333333333,98.06666666666666,0.03880620002746582,1852,1562
analcatdata_creditscore,1,5,0.0125050544738769,0,605,125,55,55,505.20095833333335,116.69833333333334,0.03310513496398926,2059,27896
primary,1,2,0.0184521675109863,0,658,391,203,169,774.63,324.34,0.04872584342956543,3355,1432
primary,1,3,0.0662777423858642,0,3203,1511,909,432,3270.6408333333334,1314.3066666666666,0.06485676765441895,4604,24858
primary,1,5,0.3587255477905273,0,19655,7256,5014,979,18375.059020833334,6596.682666666667,0.08240652084350586,5711,3187368
breast_tissue_merged,car,2,0.0102114677429199,0,433,99,65,65,411.5625,96.875,0.031313180923461914,2438,667
breast_tissue_merged,car,3,0.0194535255432128,0,1057,152,103,103,955.46875,150.58333333333334,0.04364943504333496,2913,7807
breast_tissue_merged,car,5,0.0239546298980712,0,1325,165,113,112,1143.8440104166666,148.82708333333332,0.043372392654418945,2990,443704
pima,1,2,0.0162458419799804,0,424,398,213,182,422.8,348.85,0.05279231071472168,2932,466
pima,1,3,0.0619299411773681,0,2617,981,685,422,2254.0,581.4,0.07209348678588867,4454,4526
pima,1,5,0.1139731407165527,0,7050,1112,839,497,4211.0934375,690.7625,0.07844185829162598,4804,174437
Divorce,1,2,0.1152083873748779,0,7551,570,569,561,13280.64,240.12,0.1630077362060547,11372,36586
Divorce,1,3,0.2975571155548095,0,22456,885,884,877,20599.56,676.1733333333334,0.17994236946105957,11605,3280726
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348,32514.748833333335,962.3706666666667,0.18225431442260742,11697,11740092625
asbestos,(3)_Above_legal_limit,2,0.0057449340820312,0,29,19,8,8,29.24,19.28,0.011659383773803711,710,37
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9,40.98,20.2,0.013946056365966797,846,93
asbestos,(3)_Above_legal_limit,5,0.0063512325286865,0,41,21,9,9,40.57333333333333,19.94666666666667,0.014573097229003906,839,93
bupa,1,2,0.0147325992584228,0,265,247,123,122,265.0,246.16,0.03559279441833496,2326,301
bupa,1,3,0.0323269367218017,0,1481,405,200,170,1455.1,358.68,0.054819583892822266,4007,2325
bupa,1,5,0.0374774932861328,0,1933,414,205,170,1825.5205,348.15,0.054351806640625,4109,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0081222057342529,0,1,0,0,0,1.0,0.0,0.0038671493530273438,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0076324939727783,0,1,0,0,0,1.0,0.0,0.003834962844848633,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0067882537841796,0,1,0,0,0,1.0,0.0,0.007336139678955078,2,68406
cardio3,2,2,0.0435025691986084,0,1225,596,370,271,2170.11,406.24,0.10016822814941406,6570,2347
cardio3,2,3,0.1804685592651367,0,8527,2619,1300,745,6837.135,1588.41,0.10773253440856934,7279,52463
cardio3,2,5,1.0419361591339111,0,59882,8622,6818,1798,71318.57125,16785.834,0.12076735496520996,7818,11290976
