dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
spect_heart,0,2,0.0215587615966796,0,697,486,260,210,924.375,312.01,0.04777240753173828,4146,991
spect_heart,0,3,0.084195852279663,0,3767,1945,1809,478,4104.195,2115.84,0.06419658660888672,5321,14235
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140,72474.02975,42080.744,0.1041402816772461,7489,1235994
fertility,O,2,0.0097250938415527,0,348,156,74,74,340.4375,162.375,0.0317995548248291,2431,436
fertility,O,3,0.0254731178283691,0,1399,308,141,133,1309.7604166666667,353.0,0.04509091377258301,3431,4090
fertility,O,5,0.0444939136505126,0,2798,352,161,143,2185.4940104166667,354.59375,0.04410195350646973,3621,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0217852592468261,0,276,276,137,132,276.0,276.0,0.04313039779663086,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0510420799255371,0,1526,1161,597,282,1619.625,1101.4166666666667,0.07016539573669434,4323,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379,5475.666927083333,1703.875,0.08538126945495605,5352,68406
Mushroom_UCI_,p,2,0.1116149425506591,0,2719,700,484,389,4822.54,482.045,0.13461804389953613,8919,6904
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744,11422.22375,1379.4616666666666,0.14970946311950684,9412,267034
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537,73585.387640625,12725.025916666666,0.1547400951385498,9670,175230472
wall24,Slight-Right-Turn,2,0.0937702655792236,0,3213,980,757,438,4187.815,445.99,0.13530278205871582,9097,4561
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037,10693.1775,1298.8116666666667,0.16112303733825684,9646,142976
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420,78005.34382291666,12939.774333333333,0.1534137725830078,10190,61267040
thyroid_allbp,increased binding protein.,2,0.0500710010528564,0,1344,782,414,248,1893.6275,524.99,0.08395266532897949,6066,2081
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832,9983.269583333333,4369.006666666666,0.10273885726928711,7511,43745
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533,128644.70272916666,51926.60441666667,0.11679577827453613,8299,8303633
analcatdata_creditscore,1,2,0.0065882205963134,0,174,61,28,28,142.015,60.78,0.017931461334228516,1323,232
analcatdata_creditscore,1,3,0.00999116897583,0,445,108,46,46,375.2375,112.78999999999999,0.02494049072265625,1920,1562
analcatdata_creditscore,1,5,0.0125050544738769,0,605,125,55,55,502.87666666666667,119.7935,0.02735447883605957,2056,27896
primary,1,2,0.0184521675109863,0,658,391,203,169,776.84,303.6,0.04040265083312988,3355,1432
primary,1,3,0.0662777423858642,0,3203,1511,909,432,3167.5783333333334,1168.9566666666667,0.05596613883972168,4538,24858
primary,1,5,0.3587255477905273,0,19655,7256,5014,979,18629.079041666668,7005.317333333333,0.07282662391662598,5676,3187368
breast_tissue_merged,car,2,0.0102114677429199,0,433,99,65,65,410.5,99.875,0.028492450714111328,2438,667
breast_tissue_merged,car,3,0.0194535255432128,0,1057,152,103,103,949.1979166666666,147.0,0.03538179397583008,2913,7807
breast_tissue_merged,car,5,0.0239546298980712,0,1325,165,113,112,1187.7302083333334,150.88125,0.03861856460571289,3017,443704
pima,1,2,0.0162458419799804,0,424,398,213,182,423.7,336.7,0.0391230583190918,2932,466
pima,1,3,0.0619299411773681,0,2617,981,685,422,2449.4,700.9,0.05897665023803711,4625,4526
pima,1,5,0.1139731407165527,0,7050,1112,839,497,4269.4640625,696.65,0.0624234676361084,4865,174437
Divorce,1,2,0.1152083873748779,0,7551,570,569,561,13091.92,287.72,0.14130091667175293,11372,36586
Divorce,1,3,0.2975571155548095,0,22456,885,884,877,21141.5,675.8000000000001,0.16260743141174316,11614,3280726
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348,41705.043,1447.5919999999999,0.16350054740905762,11696,11740092625
asbestos,(3)_Above_legal_limit,2,0.0057449340820312,0,29,19,8,8,29.16,18.88,0.010617494583129883,710,37
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9,42.82,21.453333333333333,0.012814760208129883,873,93
asbestos,(3)_Above_legal_limit,5,0.0063512325286865,0,41,21,9,9,42.1,21.826666666666668,0.01407003402709961,873,93
bupa,1,2,0.0147325992584228,0,265,247,123,122,265.0,241.0,0.03206205368041992,2326,301
bupa,1,3,0.0323269367218017,0,1481,405,200,170,1428.36,361.32,0.051468849182128906,3950,2325
bupa,1,5,0.0374774932861328,0,1933,414,205,170,1925.6975,383.3,0.04910778999328613,4103,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0081222057342529,0,1,0,0,0,1.0,0.0,0.003656148910522461,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0076324939727783,0,1,0,0,0,1.0,0.0,0.003834247589111328,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0067882537841796,0,1,0,0,0,1.0,0.0,0.003882884979248047,2,68406
cardio3,2,2,0.0435025691986084,0,1225,596,370,271,2168.79,441.88,0.08496856689453125,6570,2347
cardio3,2,3,0.1804685592651367,0,8527,2619,1300,745,7240.285,1988.26,0.09711313247680664,7379,52463
cardio3,2,5,1.0419361591339111,0,59882,8622,6818,1798,84760.490125,19302.1335,0.11222958564758301,8146,11290976
