dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
spect_heart,0,2,0.0215587615966796,0,697,486,260,210,923.6590909090909,364.6818181818182,0.025855541229248047,1850,991
spect_heart,0,3,0.084195852279663,0,3767,1945,1809,478,3942.965909090909,2063.931818181818,0.0314488410949707,2348,14235
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140,81282.2421875,42699.798863636366,0.04271292686462402,3221,1235994
fertility,O,2,0.0097250938415527,0,348,156,74,74,342.2844827586207,157.0344827586207,0.010670661926269531,727,436
fertility,O,3,0.0254731178283691,0,1399,308,141,133,1215.8117816091954,276.4310344827586,0.013924121856689453,1001,4090
fertility,O,5,0.0444939136505126,0,2798,352,161,143,1856.7025862068965,315.06609195402297,0.014775514602661133,1024,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0217852592468261,0,276,276,137,132,276.0,276.0,0.015854358673095703,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0510420799255371,0,1526,1161,597,282,1634.3333333333333,1249.3333333333333,0.02364206314086914,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379,6783.458333333333,2354.3333333333335,0.02883148193359375,1436,68406
Mushroom_UCI_,p,2,0.1116149425506591,0,2719,700,484,389,4796.965811965812,410.2478632478632,0.1529688835144043,10415,6904
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744,12669.472222222223,1282.6253561253561,0.1698594093322754,11076,267034
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537,55893.615780804845,6739.320584045584,0.18064188957214355,11227,175230472
wall24,Slight-Right-Turn,2,0.0937702655792236,0,3213,980,757,438,4197.226315789474,530.7157894736843,0.12762975692749023,8647,4561
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037,12741.527631578947,1924.6122807017543,0.13705730438232422,9320,142976
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420,170559.02249451756,40467.51859649123,0.14519596099853516,9763,61267040
thyroid_allbp,increased binding protein.,2,0.0500710010528564,0,1344,782,414,248,1887.13671875,683.4375,0.058983564376831055,3906,2081
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832,8710.757161458334,3560.6041666666665,0.06840324401855469,4676,43745
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533,148897.97119954426,61840.64752604167,0.07999324798583984,5427,8303633
analcatdata_creditscore,1,2,0.0065882205963134,0,174,61,28,28,141.33333333333334,61.0,0.006251811981201172,296,232
analcatdata_creditscore,1,3,0.00999116897583,0,445,108,46,46,372.5833333333333,114.66666666666667,0.007333517074584961,419,1562
analcatdata_creditscore,1,5,0.0125050544738769,0,605,125,55,55,555.0902777777778,138.64444444444445,0.008110761642456055,460,27896
primary,1,2,0.0184521675109863,0,658,391,203,169,774.2547169811321,368.9056603773585,0.023696422576904297,1804,1432
primary,1,3,0.0662777423858642,0,3203,1511,909,432,3839.6540880503144,1668.7106918238994,0.034603118896484375,2608,24858
primary,1,5,0.3587255477905273,0,19655,7256,5014,979,21645.67126572327,8164.432075471698,0.043435096740722656,3175,3187368
breast_tissue_merged,car,2,0.0102114677429199,0,433,99,65,65,411.13194444444446,101.34722222222223,0.012767553329467773,902,667
breast_tissue_merged,car,3,0.0194535255432128,0,1057,152,103,103,970.0439814814815,153.3148148148148,0.015249490737915039,1076,7807
breast_tissue_merged,car,5,0.0239546298980712,0,1325,165,113,112,1191.5818865740741,154.02083333333334,0.016144514083862305,1109,443704
pima,1,2,0.0162458419799804,0,424,398,213,182,425.0,346.0,0.014801263809204102,902,466
pima,1,3,0.0619299411773681,0,2617,981,685,422,2881.25,1213.6666666666667,0.02210092544555664,1513,4526
pima,1,5,0.1139731407165527,0,7050,1112,839,497,9557.833333333334,1936.4,0.02407693862915039,1772,174437
Divorce,1,2,0.1152083873748779,0,7551,570,569,561,13269.844444444445,227.48888888888888,0.357943058013916,30242,36586
Divorce,1,3,0.2975571155548095,0,22456,885,884,877,16576.938271604937,349.3753086419753,0.37452125549316406,30544,3280726
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348,23929.086666666666,648.1664197530864,0.38332033157348633,30573,11740092625
asbestos,(3)_Above_legal_limit,2,0.0057449340820312,0,29,19,8,8,29.0,20.5,0.003078460693359375,66,37
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9,39.833333333333336,21.5,0.0028324127197265625,78,93
asbestos,(3)_Above_legal_limit,5,0.0063512325286865,0,41,21,9,9,37.0,18.333333333333336,0.0028197765350341797,74,93
bupa,1,2,0.0147325992584228,0,265,247,123,122,265.0,244.0,0.008982658386230469,578,301
bupa,1,3,0.0323269367218017,0,1481,405,200,170,1540.1666666666667,423.8333333333333,0.013837337493896484,1013,2325
bupa,1,5,0.0374774932861328,0,1933,414,205,170,2264.05625,480.1666666666667,0.014670848846435547,1062,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0081222057342529,0,1,0,0,0,1.0,0.0,0.0037169456481933594,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0076324939727783,0,1,0,0,0,1.0,0.0,0.0039021968841552734,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0067882537841796,0,1,0,0,0,1.0,0.0,0.0040166378021240234,2,68406
cardio3,2,2,0.0435025691986084,0,1225,596,370,271,2164.2573529411766,442.13235294117646,0.0595700740814209,4490,2347
cardio3,2,3,0.1804685592651367,0,8527,2619,1300,745,6680.485294117647,1780.0882352941176,0.07074308395385742,4989,52463
cardio3,2,5,1.0419361591339111,0,59882,8622,6818,1798,99916.26792279413,39154.90147058824,0.07952213287353516,5566,11290976
volcanoes-d4,3,2,0.0108764171600341,0,61,60,17,17,61.0,60.5,0.006463527679443359,146,79
volcanoes-d4,3,3,0.0127379894256591,0,125,95,36,36,144.91666666666666,99.66666666666667,0.007261753082275391,228,299
volcanoes-d4,3,5,0.0130045413970947,0,125,95,36,36,145.91666666666666,93.83333333333333,0.007252693176269531,226,299
pitt2_3,LONG,2,0.0079579353332519,0,196,72,40,40,185.1304347826087,63.45652173913044,0.006622314453125,393,277
pitt2_3,LONG,3,0.0118076801300048,0,438,119,64,64,501.20108695652175,133.30434782608697,0.008605480194091797,537,2048
pitt2_3,LONG,5,0.0112452507019042,0,515,128,69,69,603.4590126811594,123.35688405797102,0.009090423583984375,537,44552
grammatical_b5,1,2,2.296348810195923,0,128371,5251,4865,1405,116475.76183431952,1746.8748943364328,4.037272691726685,285105,700337
grammatical_b5,1,3,31.820104122161865,0,1802632,50769,49635,3551,524184.8295294449,13134.345590307128,4.482407808303833,299949,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1035540103912353,0,276,276,139,136,276.0,276.0,0.09029555320739746,627,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.1748440265655517,0,1526,1526,768,303,1609.3333333333333,1526.0,0.10042738914489746,1102,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.4276039600372314,0,7776,4651,2291,448,12494.75,4651.0,0.12308788299560547,1677,68406
pitt1_4,S,2,0.0066008567810058,0,205,66,34,34,196.75,82.75,0.013163089752197266,434,301
pitt1_4,S,3,0.0088999271392822,0,389,92,44,44,458.78125,97.0,0.008682727813720703,543,2325
pitt1_4,S,5,0.0093889236450195,0,435,93,44,44,420.50703125,70.875,0.008527755737304688,517,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,3.7618331909179688,0,4601,2801,1414,319,4601.0,2747.0,4.083350896835327,10002,5051
