dataset_name,target_value,depth,DFS_BSD_DP (PS)-real_time_taken,DFS_BSD_DP (PS)-failed,DFS_BSD_DP (PS)-sgs_evaluated,DFS_BSD_DP (PS)-sgs_eval_interesting,DFS_BSD_DP (PS)-sgs_quality_interesting,DFS_BSD_DP (PS)-sgs_top_k_interesting,DFS_BSD_DP (PS)-e_est,DFS_BSD_DP (PS)-ei_est,DFS_BSD_DP (PS)-time_to_est,DFS_BSD_DP (PS)-sdfastest-esgs,DFS_BSD_DP (PS)-ub
spect_heart,0,2,0.0215587615966796,0,697,486,260,210,923.4204545454545,373.27272727272725,0.02339029312133789,1850,991
spect_heart,0,3,0.084195852279663,0,3767,1945,1809,478,4681.426136363636,2606.1136363636365,0.03313803672790527,2471,14235
spect_heart,0,5,1.3956153392791748,0,70255,33313,33283,1140,93173.28238636363,45523.11363636363,0.045636892318725586,3350,1235994
fertility,O,2,0.0097250938415527,0,348,156,74,74,341.63793103448273,147.98275862068965,0.010644197463989258,727,436
fertility,O,3,0.0254731178283691,0,1399,308,141,133,1238.5129310344828,268.9597701149425,0.013828754425048828,999,4090
fertility,O,5,0.0444939136505126,0,2798,352,161,143,1850.6236530172414,294.21120689655174,0.01492619514465332,1038,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0217852592468261,0,276,276,137,132,276.0,276.0,0.01599407196044922,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0510420799255371,0,1526,1161,597,282,1642.6666666666665,1212.6666666666667,0.02309441566467285,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1249232292175293,0,4486,1993,1054,379,7739.229166666666,2556.8333333333335,0.031098127365112305,1462,68406
Mushroom_UCI_,p,2,0.1116149425506591,0,2719,700,484,389,4762.354700854701,412.14957264957263,0.15023374557495117,10415,6904
Mushroom_UCI_,p,3,0.2729790210723877,0,10105,1372,1124,744,11770.280626780626,1463.7948717948718,0.16699624061584473,11004,267034
Mushroom_UCI_,p,5,0.859520673751831,0,36427,2532,2438,1537,58588.56185007123,7312.863461538462,0.17700982093811035,11336,175230472
wall24,Slight-Right-Turn,2,0.0937702655792236,0,3213,980,757,438,4198.4236842105265,491.92105263157896,0.1283261775970459,8647,4561
wall24,Slight-Right-Turn,3,0.3194892406463623,0,14778,2236,1793,1037,11875.431140350876,1370.4701754385965,0.1394634246826172,9254,142976
wall24,Slight-Right-Turn,5,0.8614983558654785,0,47645,4803,4546,2420,86986.60862938597,15089.845701754388,0.15397334098815918,9642,61267040
thyroid_allbp,increased binding protein.,2,0.0500710010528564,0,1344,782,414,248,1907.390625,640.0703125,0.06377029418945312,3906,2081
thyroid_allbp,increased binding protein.,3,0.3092515468597412,0,11071,3624,2163,832,10193.700520833334,4734.21875,0.0783381462097168,4844,43745
thyroid_allbp,increased binding protein.,5,5.469740867614746,0,232740,47108,35986,2533,279741.8309244792,137732.2328125,0.0956413745880127,6115,8303633
analcatdata_creditscore,1,2,0.0065882205963134,0,174,61,28,28,141.16666666666666,61.0,0.006159543991088867,296,232
analcatdata_creditscore,1,3,0.00999116897583,0,445,108,46,46,393.83333333333337,125.55555555555556,0.0075223445892333984,427,1562
analcatdata_creditscore,1,5,0.0125050544738769,0,605,125,55,55,456.2784722222222,103.0,0.007735729217529297,437,27896
primary,1,2,0.0184521675109863,0,658,391,203,169,776.8207547169811,386.22641509433964,0.024075031280517578,1804,1432
primary,1,3,0.0662777423858642,0,3203,1511,909,432,3949.485849056604,1744.0880503144654,0.035182952880859375,2636,24858
primary,1,5,0.3587255477905273,0,19655,7256,5014,979,24807.14335691824,9623.053459119497,0.04059171676635742,3072,3187368
breast_tissue_merged,car,2,0.0102114677429199,0,433,99,65,65,411.4791666666667,90.93055555555556,0.012375354766845703,902,667
breast_tissue_merged,car,3,0.0194535255432128,0,1057,152,103,103,977.7118055555555,144.63425925925927,0.01489400863647461,1075,7807
breast_tissue_merged,car,5,0.0239546298980712,0,1325,165,113,112,1476.4715711805557,208.4652777777778,0.01723957061767578,1170,443704
pima,1,2,0.0162458419799804,0,424,398,213,182,424.5,376.0,0.014141321182250977,902,466
pima,1,3,0.0619299411773681,0,2617,981,685,422,3033.8333333333335,1117.0,0.021890878677368164,1550,4526
pima,1,5,0.1139731407165527,0,7050,1112,839,497,8269.770833333334,1737.6666666666667,0.024657726287841797,1716,174437
Divorce,1,2,0.1152083873748779,0,7551,570,569,561,13367.118518518519,214.62962962962962,0.3513014316558838,30242,36586
Divorce,1,3,0.2975571155548095,0,22456,885,884,877,16844.83950617284,315.0148148148148,0.38564276695251465,30539,3280726
Divorce,1,5,0.8990757465362549,0,65401,1357,1356,1348,21883.92777777778,664.4098765432099,0.377208948135376,30595,11740092625
asbestos,(3)_Above_legal_limit,2,0.0057449340820312,0,29,19,8,8,28.0,19.0,0.0029141902923583984,66,37
asbestos,(3)_Above_legal_limit,3,0.0065460205078125,0,41,21,9,9,43.0,20.5,0.0026445388793945312,77,93
asbestos,(3)_Above_legal_limit,5,0.0063512325286865,0,41,21,9,9,45.083333333333336,21.0,0.0027081966400146484,78,93
