dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
spect_heart,0,2,0.0256989002227783,0,951,463,265,222,923.325,291.64,0.047243595123291016,4146,991
spect_heart,0,3,0.1066668033599853,0,4421,1931,2044,502,3671.7525,1848.93,0.062029123306274414,5183,14235
spect_heart,0,5,1.4276883602142334,0,71455,33332,46218,1170,70600.760625,39022.913,0.08996438980102539,7285,1235994
fertility,O,2,0.0108726024627685,0,348,156,141,74,340.8125,163.5,0.02863931655883789,2431,436
fertility,O,3,0.0317115783691406,0,1399,308,554,134,1338.8541666666667,350.7916666666667,0.041046142578125,3457,4090
fertility,O,5,0.0688717365264892,0,2798,352,1116,145,1884.033203125,309.625,0.04246878623962402,3478,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0188610553741455,0,276,276,137,131,276.0,276.0,0.04235506057739258,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0578765869140625,0,1526,1144,788,261,1601.4166666666667,1125.8333333333333,0.06987428665161133,4321,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1269886493682861,0,4416,1922,2296,346,5610.872916666666,1786.8541666666667,0.08555293083190918,5369,68406
Mushroom_UCI_,p,2,0.1645982265472412,0,5195,641,1437,375,4775.815,445.555,0.13263297080993652,8919,6904
Mushroom_UCI_,p,3,0.4208226203918457,0,16393,1205,5247,662,10576.019166666667,1027.9116666666666,0.14644765853881836,9356,267034
Mushroom_UCI_,p,5,1.0252325534820557,0,41128,1906,15113,1135,39524.48318229167,3223.4600833333334,0.16120290756225586,9777,175230472
wall24,Slight-Right-Turn,2,0.1319775581359863,0,4225,809,1669,404,4197.825,682.135,0.13300299644470215,9097,4561
wall24,Slight-Right-Turn,3,0.4435315132141113,0,17298,1807,8728,853,12805.477083333333,1706.6433333333332,0.14600634574890137,9837,142976
wall24,Slight-Right-Turn,5,1.0849347114562988,0,47561,3477,25899,1723,70986.74985416667,7571.8814999999995,0.1569993495941162,10437,61267040
thyroid_allbp,increased binding protein.,2,0.0694015026092529,0,1904,748,657,252,1901.5575,586.6,0.10286092758178711,6066,2081
thyroid_allbp,increased binding protein.,3,0.3334169387817383,0,12163,3566,4783,835,9461.541666666666,4130.09,0.10153698921203613,7418,43745
thyroid_allbp,increased binding protein.,5,6.488408088684082,0,235019,47048,121966,2418,183601.66433854165,92911.74191666667,0.1179971694946289,8479,8303633
analcatdata_creditscore,1,2,0.0098063945770263,0,174,61,84,28,142.05,58.89,0.01812744140625,1323,232
analcatdata_creditscore,1,3,0.0157146453857421,0,445,108,192,46,353.625,110.85333333333334,0.02406024932861328,1870,1562
analcatdata_creditscore,1,5,0.0208499431610107,0,605,125,244,55,531.4423541666666,122.3205,0.0277864933013916,2087,27896
primary,1,2,0.0260436534881591,0,670,392,288,170,774.545,316.69,0.04421877861022949,3355,1432
primary,1,3,0.075650930404663,0,3179,1394,1533,406,3158.9225,1173.15,0.05625772476196289,4551,24858
primary,1,5,0.4378349781036377,0,19921,7251,10452,941,16585.466895833335,5625.931666666666,0.06892013549804688,5416,3187368
breast_tissue_merged,car,2,0.0152668952941894,0,433,99,174,65,410.1875,101.875,0.028661489486694336,2438,667
breast_tissue_merged,car,3,0.0316476821899414,0,1057,152,420,103,998.2395833333334,150.29166666666666,0.03587007522583008,2951,7807
breast_tissue_merged,car,5,0.0350391864776611,0,1325,165,516,112,1281.0018229166667,168.45416666666668,0.038938283920288086,3057,443704
pima,1,2,0.0201034545898437,0,424,395,216,178,424.0,328.9,0.038085222244262695,2932,466
pima,1,3,0.0625770092010498,0,2579,898,1503,386,2237.3,617.15,0.05701398849487305,4458,4526
pima,1,5,0.1516950130462646,0,6716,1030,4046,445,3888.48375,631.825,0.060710906982421875,4739,174437
Divorce,1,2,0.2976760864257812,0,16366,385,10815,414,13259.08,260.84,0.13825774192810059,11372,36586
Divorce,1,3,0.5794007778167725,0,31051,484,18630,511,20644.126666666667,596.4666666666667,0.16078710556030273,11594,3280726
Divorce,1,5,0.8328530788421631,0,50396,561,28281,600,28496.44725,822.1,0.16500067710876465,11711,11740092625
asbestos,(3)_Above_legal_limit,2,0.0043456554412841,0,29,19,13,8,29.48,18.88,0.01058650016784668,710,37
asbestos,(3)_Above_legal_limit,3,0.0042624473571777,0,41,21,18,9,40.46,20.48,0.012480974197387695,852,93
asbestos,(3)_Above_legal_limit,5,0.0045104026794433,0,41,21,18,9,41.20666666666666,20.56,0.012562036514282227,848,93
bupa,1,2,0.0097367763519287,0,265,247,131,122,265.0,244.72,0.029294967651367188,2326,301
bupa,1,3,0.0318615436553955,0,1481,401,717,164,1445.42,364.28,0.0458526611328125,3989,2325
bupa,1,5,0.0396564006805419,0,1921,407,878,168,1831.03,357.26,0.04815840721130371,4127,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0055165290832519,0,1,0,0,0,1.0,0.0,0.003708362579345703,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0056293010711669,0,1,0,0,0,1.0,0.0,0.003864765167236328,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0056269168853759,0,1,0,0,0,1.0,0.0,0.0039441585540771484,2,68406
cardio3,2,2,0.0557906627655029,0,2147,587,742,273,2163.345,379.84,0.08334136009216309,6570,2347
cardio3,2,3,0.2267317771911621,0,10752,2439,4769,685,9000.3675,2629.23,0.10127997398376465,7644,52463
cardio3,2,5,1.216813087463379,0,61874,7960,35602,1494,50387.3154375,10589.1215,0.10803103446960449,7951,11290976
volcanoes-d4,3,2,0.0086028575897216,0,61,60,17,17,61.0,59.86,0.019866466522216797,1114,79
volcanoes-d4,3,3,0.0103404521942138,0,125,95,36,36,140.08,97.02,0.029444456100463867,1806,299
volcanoes-d4,3,5,0.0102357864379882,0,125,95,36,36,138.53,97.02,0.029589176177978516,1796,299
pitt2_3,LONG,2,0.007584810256958,0,196,72,89,40,184.65,68.15,0.020160198211669922,1625,277
pitt2_3,LONG,3,0.0117495059967041,0,438,119,194,64,453.81666666666666,135.3,0.027147531509399414,2162,2048
pitt2_3,LONG,5,0.013279914855957,0,515,128,221,69,568.4120729166667,116.44416666666667,0.028919219970703125,2213,44552
