dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
spect_heart,0,2,0.0256989002227783,0,951,463,265,222,922.485,295.21,0.04794049263000488,4146,991
spect_heart,0,3,0.1066668033599853,0,4421,1931,2044,502,3470.765,1729.44,0.06814837455749512,5104,14235
spect_heart,0,5,1.4276883602142334,0,71455,33332,46218,1170,79748.2114375,44199.4795,0.09517717361450195,7539,1235994
fertility,O,2,0.0108726024627685,0,348,156,141,74,340.25,160.875,0.028457164764404297,2431,436
fertility,O,3,0.0317115783691406,0,1399,308,554,134,1223.2395833333333,286.25,0.0395658016204834,3335,4090
fertility,O,5,0.0688717365264892,0,2798,352,1116,145,2024.8205729166666,331.0729166666667,0.04306459426879883,3533,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0188610553741455,0,276,276,137,131,276.0,276.0,0.042886972427368164,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0578765869140625,0,1526,1144,788,261,1616.4166666666667,1199.5416666666667,0.07002639770507812,4325,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1269886493682861,0,4416,1922,2296,346,6078.9140625,1991.7395833333333,0.08740592002868652,5484,68406
Mushroom_UCI_,p,2,0.1645982265472412,0,5195,641,1437,375,4780.0425,399.72,0.13251829147338867,8919,6904
Mushroom_UCI_,p,3,0.4208226203918457,0,16393,1205,5247,662,10733.6975,1524.8283333333334,0.1452772617340088,9364,267034
Mushroom_UCI_,p,5,1.0252325534820557,0,41128,1906,15113,1135,65618.33199479166,7742.390583333333,0.1552412509918213,9749,175230472
wall24,Slight-Right-Turn,2,0.1319775581359863,0,4225,809,1669,404,4195.7775,439.165,0.1327204704284668,9097,4561
wall24,Slight-Right-Turn,3,0.4435315132141113,0,17298,1807,8728,853,13422.532916666667,2246.7283333333335,0.1464531421661377,9860,142976
wall24,Slight-Right-Turn,5,1.0849347114562988,0,47561,3477,25899,1723,23385.939020833335,1796.4906666666666,0.14369440078735352,9674,61267040
thyroid_allbp,increased binding protein.,2,0.0694015026092529,0,1904,748,657,252,1895.915,552.745,0.08724784851074219,6066,2081
thyroid_allbp,increased binding protein.,3,0.3334169387817383,0,12163,3566,4783,835,6664.640833333333,2368.3083333333334,0.09352684020996094,6918,43745
thyroid_allbp,increased binding protein.,5,6.488408088684082,0,235019,47048,121966,2418,130732.06331770834,65130.14083333333,0.10843205451965332,7967,8303633
analcatdata_creditscore,1,2,0.0098063945770263,0,174,61,84,28,142.085,61.06,0.017827749252319336,1323,232
analcatdata_creditscore,1,3,0.0157146453857421,0,445,108,192,46,387.5225,117.13,0.02726912498474121,1951,1562
analcatdata_creditscore,1,5,0.0208499431610107,0,605,125,244,55,482.62340625,115.62383333333334,0.030158281326293945,2035,27896
primary,1,2,0.0260436534881591,0,670,392,288,170,775.48,319.07,0.04084444046020508,3355,1432
primary,1,3,0.075650930404663,0,3179,1394,1533,406,3138.565,1176.89,0.0555415153503418,4521,24858
primary,1,5,0.4378349781036377,0,19921,7251,10452,941,18752.857458333332,7063.346833333333,0.07442045211791992,5713,3187368
breast_tissue_merged,car,2,0.0152668952941894,0,433,99,174,65,412.1875,101.0,0.029198408126831055,2438,667
breast_tissue_merged,car,3,0.0316476821899414,0,1057,152,420,103,1049.1041666666667,163.125,0.036628007888793945,2982,7807
breast_tissue_merged,car,5,0.0350391864776611,0,1325,165,516,112,1278.6654947916666,170.30833333333334,0.03892970085144043,3072,443704
pima,1,2,0.0201034545898437,0,424,395,216,178,424.15,331.15,0.03854656219482422,2932,466
pima,1,3,0.0625770092010498,0,2579,898,1503,386,2245.4,666.8,0.061266422271728516,4477,4526
pima,1,5,0.1516950130462646,0,6716,1030,4046,445,4342.556875,711.5375,0.06115245819091797,4781,174437
Divorce,1,2,0.2976760864257812,0,16366,385,10815,414,13389.0,249.64,0.1388869285583496,11372,36586
Divorce,1,3,0.5794007778167725,0,31051,484,18630,511,18359.98,570.3333333333334,0.15764069557189941,11533,3280726
Divorce,1,5,0.8328530788421631,0,50396,561,28281,600,40495.023583333335,1700.124,0.16528940200805664,11731,11740092625
asbestos,(3)_Above_legal_limit,2,0.0043456554412841,0,29,19,13,8,29.08,19.12,0.010642051696777344,710,37
asbestos,(3)_Above_legal_limit,3,0.0042624473571777,0,41,21,18,9,42.36666666666667,21.453333333333333,0.012752771377563477,866,93
asbestos,(3)_Above_legal_limit,5,0.0045104026794433,0,41,21,18,9,43.67333333333333,21.973333333333333,0.012943506240844727,876,93
bupa,1,2,0.0097367763519287,0,265,247,131,122,265.0,245.92,0.030033349990844727,2326,301
bupa,1,3,0.0318615436553955,0,1481,401,717,164,1464.86,378.52,0.04689192771911621,4011,2325
bupa,1,5,0.0396564006805419,0,1921,407,878,168,1847.8487499999999,362.43,0.04834342002868652,4114,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0055165290832519,0,1,0,0,0,1.0,0.0,0.0037055015563964844,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0056293010711669,0,1,0,0,0,1.0,0.0,0.00394892692565918,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0056269168853759,0,1,0,0,0,1.0,0.0,0.004024505615234375,2,68406
cardio3,2,2,0.0557906627655029,0,2147,587,742,273,2159.715,324.07,0.08526992797851562,6570,2347
cardio3,2,3,0.2267317771911621,0,10752,2439,4769,685,7286.6225,1949.87,0.10049581527709961,7355,52463
cardio3,2,5,1.216813087463379,0,61874,7960,35602,1494,89376.7233125,36821.586,0.10434103012084961,7633,11290976
volcanoes-d4,3,2,0.0086028575897216,0,61,60,17,17,61.0,59.5,0.02148747444152832,1114,79
volcanoes-d4,3,3,0.0103404521942138,0,125,95,36,36,138.45,94.1,0.02936863899230957,1801,299
volcanoes-d4,3,5,0.0102357864379882,0,125,95,36,36,141.26,96.02,0.03167080879211426,1793,299
pitt2_3,LONG,2,0.007584810256958,0,196,72,89,40,186.605,69.085,0.02079463005065918,1625,277
pitt2_3,LONG,3,0.0117495059967041,0,438,119,194,64,473.40208333333334,125.10000000000001,0.027652740478515625,2193,2048
pitt2_3,LONG,5,0.013279914855957,0,515,128,221,69,601.1151145833334,132.54458333333335,0.03049325942993164,2299,44552
grammatical_b5,1,2,3.1470839977264404,0,150657,3683,125426,708,114267.225,2706.225,0.43724536895751953,25185,700337
grammatical_b5,1,3,31.711375951766968,0,1563395,39888,1367365,1051,609923.79125,19610.366666666665,0.6720659732818604,26685,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1022851467132568,0,276,276,139,133,276.0,276.0,0.15285277366638184,2427,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.1772294044494629,0,1526,1526,768,280,1632.25,1526.0,0.21198749542236328,4327,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.4533064365386963,0,7776,4651,3955,406,12014.020833333332,4651.0,0.29467058181762695,6627,68406
pitt1_4,S,2,0.0077388286590576,0,205,66,94,34,198.655,64.0,0.026434898376464844,1726,301
pitt1_4,S,3,0.0112960338592529,0,389,92,174,44,442.6525,98.71,0.026540279388427734,2169,2325
pitt1_4,S,5,0.0118200778961181,0,435,93,192,44,518.1889375,94.9375,0.028072357177734375,2207,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.014175891876221,0,4601,2801,2224,281,4601.0,2666.0,4.073571681976318,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,28.085230588912964,0,76601,27704,39431,475,76535.0,27677.0,5.46744704246521,15375,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,422.2965874671936,0,1266011,90637,664413,546,1645506.05,120986.0,6.164266347885132,18141,79375496
gesture_va,P,2,0.2749745845794678,0,8065,2578,4281,398,8065.0,2618.6,0.3043825626373291,12830,8257
gesture_va,P,3,1.8705878257751465,0,73653,3940,50863,564,132239.61333333334,14746.813333333334,0.32483482360839844,17994,349633
gesture_va,P,5,4.756482124328613,0,200677,5605,154711,664,359208.2266666667,16477.042666666668,0.29556727409362793,17730,275584033
connectionist_vowel,4,2,0.0355820655822753,0,1536,644,583,304,1532.025,410.545,0.06993365287780762,5661,1771
connectionist_vowel,4,3,0.1079838275909423,0,5366,928,2723,406,5855.11875,1081.245,0.08152031898498535,6651,34280
connectionist_vowel,4,5,0.2820708751678467,0,15076,1419,8013,737,14881.00878125,1631.219,0.08041834831237793,6599,5495792
breast_cancer_wis_pro,R,2,0.2042269706726074,0,11507,1657,4649,380,10336.64,1983.88,0.14557933807373047,13656,11936
breast_cancer_wis_pro,R,3,1.4184236526489258,0,87639,2173,38757,460,85491.37333333334,3378.786666666667,0.18156695365905762,16159,608840
breast_cancer_wis_pro,R,5,2.428960084915161,0,152673,2907,66789,486,186799.666,12638.550666666666,0.18098187446594238,16079,699135746
diggle_table_a2,8,2,0.0096142292022705,0,289,104,76,70,254.595,104.02,0.023781299591064453,1634,529
diggle_table_a2,8,3,0.0185785293579101,0,837,216,255,199,662.935,184.14666666666668,0.03275609016418457,2219,5489
diggle_table_a2,8,5,0.0371887683868408,0,1969,496,591,335,999.3271927083333,256.0779166666667,0.0395965576171875,2418,242825
page,5,2,0.0296506881713867,0,737,330,244,184,738.32,240.46,0.0571599006652832,3842,821
page,5,3,0.0646955966949462,0,2393,591,1043,360,1945.9875,485.38,0.06893658638000488,4421,10701
page,5,5,0.1206836700439453,0,5181,898,2487,551,4896.352734375,1156.23525,0.07108950614929199,4635,760099
steel-plates-fault,2,2,0.1420273780822754,0,6263,2115,3352,466,5961.015,1415.54,0.14272212982177734,10715,6442
steel-plates-fault,2,3,0.6777925491333008,0,33570,5709,19588,863,39350.14208333333,7879.41,0.1730642318725586,12766,240578
steel-plates-fault,2,5,0.861396312713623,0,43005,7657,23081,1318,1004806.9345312499,169118.72650000002,0.1889657974243164,13795,147043850
mechanical,4,2,0.0213024616241455,0,372,266,155,145,350.005,261.145,0.04562664031982422,2632,466
mechanical,4,3,0.0635299682617187,0,2186,937,748,320,1682.0725,681.85,0.06583571434020996,4006,4526
mechanical,4,5,0.1375823020935058,0,5583,1363,1862,459,6692.142015625,1998.001,0.08191204071044922,4875,174437
OnlineShoppersIntention,True,2,0.1268360614776611,0,3467,752,1429,297,3321.0,714.6,0.14885330200195312,7992,4096
OnlineShoppersIntention,True,3,0.573408842086792,0,20929,2823,10797,657,19094.2,5043.133333333333,0.1674506664276123,9536,121576
OnlineShoppersIntention,True,5,3.9743881225585938,0,159533,12072,90325,979,135607.50333333333,16372.706666666667,0.1804027557373047,10105,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1344661712646484,0,4601,4601,2264,355,4601.0,4601.0,0.1580183506011963,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.6517975330352783,0,124601,6102,68469,478,128726.0,6221.0,0.27665233612060547,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.423908233642578,0,162831,6102,88598,478,161064.125,6476.0,0.2820556163787842,19019,79375496
glass,3,2,0.0125303268432617,0,414,221,174,137,394.0025,214.435,0.03766012191772461,2633,497
glass,3,3,0.0323760509490966,0,1512,428,699,273,1360.20875,372.43,0.045328378677368164,3523,4992
glass,3,5,0.0457239151000976,0,2141,579,1079,329,2215.4973125,436.55275,0.04913449287414551,3701,206368
molecular_promoter,+,2,0.4472706317901611,0,25605,1046,9894,442,25612.7075,1200.695,0.22122693061828613,22830,26107
molecular_promoter,+,3,1.2643468379974363,0,69973,961,42561,539,64493.645833333336,1349.0016666666666,0.23789191246032715,23356,1975583
molecular_promoter,+,5,1.7588741779327393,0,98845,905,68960,534,97483.49080729167,1689.5016666666668,0.25488972663879395,23486,5024313128
blood,1,2,0.0063927173614501,0,113,98,46,46,113.0,97.32,0.02054429054260254,1518,137
blood,1,3,0.0102384090423583,0,321,179,102,84,351.6,175.88,0.030138492584228516,2439,697
blood,1,5,0.0115118026733398,0,385,204,123,96,483.08,201.83333333333334,0.03369140625,2618,2517
weight,B,2,1.896592140197754,0,108220,767,59420,391,98309.625,824.25,0.3637373447418213,37489,172579
weight,B,3,3.231334924697876,0,183962,861,117906,466,177566.55416666667,1676.4833333333333,0.4303755760192871,37717,33710824
weight,B,5,4.632802724838257,0,262919,893,187560,521,289312.5628125,2018.6716666666666,0.44382357597351074,37795,575871962176
ozone1,1,2,0.7543506622314453,0,35291,1156,13106,467,35209.88,1499.88,0.3440589904785156,25788,41042
ozone1,1,3,2.260997772216797,0,111599,4352,69963,807,122158.25333333333,12697.32,0.3486943244934082,26746,3899182
ozone1,1,5,23.699903964996334,0,1219503,47878,899595,1774,1605882.8453333334,175630.312,0.35208582878112793,26951,15671998629
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.2905478477478027,0,276,276,0,0,276.0,276.0,0.35135746002197266,2427,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4600811004638672,0,1526,1526,0,0,1642.6666666666665,1526.0,0.48653721809387207,4327,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.032327651977539,0,7776,4651,0,0,11716.625,4651.0,0.6725656986236572,6627,68406
ionosphere,b,2,0.1566288471221923,0,8070,639,3571,357,8072.04,843.24,0.15630793571472168,12830,8257
ionosphere,b,3,0.4150857925415039,0,22717,989,11981,513,22628.626666666667,1808.1466666666665,0.1545259952545166,13448,349633
ionosphere,b,5,1.2529449462890625,0,72532,3772,36091,703,61646.772,2309.789333333333,0.15963006019592285,13633,275584033
grammatical_b7,1,2,3.1015784740448,0,151802,3645,96245,919,122607.7125,1445.575,0.45023155212402344,26586,701521
grammatical_b7,1,3,26.181166887283325,0,1333008,46268,1003780,2015,498771.49375,28068.425,0.6880273818969727,27805,276633905
wine_quality,4,2,0.0431234836578369,0,1015,793,440,237,1016.22,700.89,0.08247709274291992,4548,1082
wine_quality,4,3,0.1734375953674316,0,6711,1557,3810,433,7216.598333333333,1615.7533333333333,0.10199928283691406,6638,16262
wine_quality,4,5,0.5165054798126221,0,22547,3029,13443,774,31086.584833333334,7778.695333333333,0.10949563980102539,7091,1550201
VehicleCouponRecommendation,0,2,0.1249165534973144,0,3756,1389,1798,308,3732.455,1289.56,0.1578528881072998,9093,4187
VehicleCouponRecommendation,0,3,0.7199516296386719,0,29107,5793,14635,580,28728.486666666668,7885.088333333333,0.19344401359558105,11219,125672
VehicleCouponRecommendation,0,5,4.854736089706421,0,210127,35127,88658,1073,890254.0047395834,304175.30983333336,0.2317821979522705,13659,49302800
auto7_2,class3,2,0.023249864578247,0,734,696,348,218,733.81,681.745,0.05196714401245117,3841,781
auto7_2,class3,3,0.1418941020965576,0,6894,2502,3564,468,6889.3425,2446.365,0.08405447006225586,6678,9920
auto7_2,class3,5,0.5212936401367188,0,27075,3610,14942,582,28825.85165625,4481.1835,0.09604930877685547,7729,667928
wave,0,2,0.1064465045928955,0,3445,1449,1701,413,3445.0,777.16,0.12134289741516113,8386,3571
wave,0,3,0.9532055854797364,0,42513,3255,28964,663,16412.01,1358.86,0.1454160213470459,9671,98855
wave,0,5,2.874836206436157,0,133841,5359,104173,772,81098.2505,4887.455,0.15613722801208496,10626,32900372
cnae9,4,2,15.863161563873293,0,827777,369733,350349,838,726730.0,373355.8,1.251366376876831,92725,1662577
grammatical_a9,1,2,1.653336763381958,0,81614,3326,64153,528,62640.1,2740.75,0.47504472732543945,14094,711029
grammatical_a9,1,3,30.16852879524231,0,1559731,61789,1259072,699,834919.2916666666,42785.95,0.565934419631958,18437,282279309
teaching,2,2,0.0099217891693115,0,340,48,102,21,396.5575,52.51,0.027695655822753906,1661,1771
teaching,2,3,0.0122284889221191,0,474,60,134,25,705.6670833333334,62.99333333333333,0.024865388870239258,1929,34280
teaching,2,5,0.0125994682312011,0,494,60,143,25,771.3827083333333,64.58,0.026020050048828125,1979,5495792
auto6_1,class8,2,0.243753433227539,0,11864,5063,5641,418,11863.925,5132.275,0.18103361129760742,15557,12091
auto6_1,class8,3,3.561270236968994,0,188257,6011,117973,657,217670.85833333334,13576.933333333334,0.2597496509552002,21539,620776
auto6_1,class8,5,5.598218679428101,0,291220,6023,194310,677,599968.2575,18603.299166666668,0.276430606842041,22576,722277712
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,2,42.55272889137268,0,4601,4601,2314,357,4601.0,4601.0,35.43614983558655,5745,5051
ED_LVL_2_4_EqualDist_Random-Synthetic__2_10_10000000_,1,3,526.0844473838806,0,124601,64957,62297,453,128351.0,67101.0,36.22574305534363,5742,166751
ozone8,1,2,0.7411675453186035,0,34467,1458,15004,500,33879.22,1486.52,1.191373348236084,24988,41042
ozone8,1,3,2.6437904834747314,0,130543,5424,86322,909,114360.59333333334,8435.066666666666,0.3433198928833008,25803,3899182
ozone8,1,5,30.609426021575928,0,1564433,61825,1148044,1621,1323455.7478333334,126304.548,0.35052943229675293,26502,15671998629
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,2,0.0139446258544921,0,9,9,0,0,9.0,9.0,0.016352415084838867,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,3,0.0136795043945312,0,9,9,0,0,9.0,9.0,0.01579880714416504,306,11
U_LVL1_4_Uninteresting_Non-Random-Synthetic__2_2_40000_,0,5,0.013099193572998,0,9,9,0,0,9.0,9.0,0.015656471252441406,306,11
bach, C#d,2,0.0307035446166992,0,609,190,208,171,504.905,163.25,0.04388093948364258,2151,1226
bach, C#d,3,0.1032741069793701,0,3657,700,1195,407,1693.4641666666666,473.1933333333333,0.0583806037902832,2910,19650
bach, C#d,5,0.6258323192596436,0,29473,2859,8564,988,6916.455520833333,1749.0906666666665,0.06673121452331543,3443,2138410
ED_LVL_3_3_EqualDist_Random-Synthetic__2_20_1000000_,1,2,33.57186579704285,0,76401,76401,38263,210,76401.0,76401.0,16.521857738494873,40302,80201
polish_bankruptcy_1year,1,2,0.7675402164459229,0,32173,1470,13123,403,32172.735,1372.6,0.504673957824707,25558,32897
polish_bankruptcy_1year,1,3,2.5030665397644043,0,114785,4412,65729,642,124643.975,7014.363333333334,0.37729787826538086,26566,2796417
polish_bankruptcy_1year,1,5,23.714529752731323,0,1243073,124189,546864,983,1524536.2875520834,113360.71316666667,0.38038134574890137,27661,8987138113
coil2000,1,2,3.051623821258545,0,131569,10352,38688,722,110862.9,9682.05,0.647770881652832,37552,211576
coil2000,1,3,15.59272837638855,0,645993,85468,209707,1318,1664210.9291666667,240959.18333333335,0.768789529800415,43084,45771376
