dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
spect_heart,0,2,0.0256989002227783,0,951,463,265,222,924.6136363636364,358.95454545454544,0.023751497268676758,1850,991
spect_heart,0,3,0.1066668033599853,0,4421,1931,2044,502,4814.227272727273,2801.159090909091,0.03318285942077637,2489,14235
spect_heart,0,5,1.4276883602142334,0,71455,33332,46218,1170,86250.77556818182,46874.431818181816,0.0474696159362793,3514,1235994
fertility,O,2,0.0108726024627685,0,348,156,141,74,340.12931034482756,163.06896551724137,0.01051640510559082,727,436
fertility,O,3,0.0317115783691406,0,1399,308,554,134,1134.2385057471265,250.42528735632183,0.013509511947631836,965,4090
fertility,O,5,0.0688717365264892,0,2798,352,1116,145,2341.369881465517,399.5272988505747,0.015603065490722656,1089,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0188610553741455,0,276,276,137,131,276.0,276.0,0.015796661376953125,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0578765869140625,0,1526,1144,788,261,1667.6666666666665,1339.3333333333333,0.02346324920654297,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1269886493682861,0,4416,1922,2296,346,6946.083333333333,2440.8333333333335,0.028292179107666016,1449,68406
Mushroom_UCI_,p,2,0.1645982265472412,0,5195,641,1437,375,4785.745726495727,427.7435897435897,0.15344595909118652,10415,6904
Mushroom_UCI_,p,3,0.4208226203918457,0,16393,1205,5247,662,10374.26745014245,1185.3846153846155,0.18023276329040527,10881,267034
Mushroom_UCI_,p,5,1.0252325534820557,0,41128,1906,15113,1135,40414.153699252136,4106.8983618233615,0.18413448333740234,11291,175230472
wall24,Slight-Right-Turn,2,0.1319775581359863,0,4225,809,1669,404,4192.436842105263,555.6210526315789,0.12918734550476074,8647,4561
wall24,Slight-Right-Turn,3,0.4435315132141113,0,17298,1807,8728,853,12193.252631578947,1407.8280701754386,0.138016939163208,9274,142976
wall24,Slight-Right-Turn,5,1.0849347114562988,0,47561,3477,25899,1723,77815.61865131579,13598.842631578947,0.14296460151672363,9478,61267040
