dataset_name,target_value,depth,DFS_BSD_DP_FC (PS)-real_time_taken,DFS_BSD_DP_FC (PS)-failed,DFS_BSD_DP_FC (PS)-sgs_evaluated,DFS_BSD_DP_FC (PS)-sgs_eval_interesting,DFS_BSD_DP_FC (PS)-sgs_quality_interesting,DFS_BSD_DP_FC (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC (PS)-e_est,DFS_BSD_DP_FC (PS)-ei_est,DFS_BSD_DP_FC (PS)-time_to_est,DFS_BSD_DP_FC (PS)-sdfastest-esgs,DFS_BSD_DP_FC (PS)-ub
spect_heart,0,2,0.0256989002227783,0,951,463,265,222,923.6590909090909,415.27272727272725,0.034624576568603516,1850,991
spect_heart,0,3,0.1066668033599853,0,4421,1931,2044,502,5299.375,3313.1136363636365,0.03302955627441406,2567,14235
spect_heart,0,5,1.4276883602142334,0,71455,33332,46218,1170,93163.09161931818,51226.156818181815,0.04808402061462402,3549,1235994
fertility,O,2,0.0108726024627685,0,348,156,141,74,339.05172413793105,163.5,0.010798215866088867,727,436
fertility,O,3,0.0317115783691406,0,1399,308,554,134,1417.5,348.7011494252873,0.014775514602661133,1048,4090
fertility,O,5,0.0688717365264892,0,2798,352,1116,145,2313.2965158045977,382.58764367816093,0.015662670135498047,1084,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0188610553741455,0,276,276,137,131,276.0,276.0,0.016327857971191406,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0578765869140625,0,1526,1144,788,261,1617.6666666666667,1216.0,0.02411651611328125,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1269886493682861,0,4416,1922,2296,346,7646.979166666666,2702.0,0.02982187271118164,1464,68406
Mushroom_UCI_,p,2,0.1645982265472412,0,5195,641,1437,375,4787.8376068376065,423.94017094017096,0.16642522811889648,10415,6904
Mushroom_UCI_,p,3,0.4208226203918457,0,16393,1205,5247,662,10430.621438746439,1220.502849002849,0.16994643211364746,10928,267034
Mushroom_UCI_,p,5,1.0252325534820557,0,41128,1906,15113,1135,77929.6489093661,10682.191737891739,0.17821574211120605,11313,175230472
wall24,Slight-Right-Turn,2,0.1319775581359863,0,4225,809,1669,404,4189.323684210526,556.1,0.12938475608825684,8647,4561
wall24,Slight-Right-Turn,3,0.4435315132141113,0,17298,1807,8728,853,13592.89649122807,1628.622807017544,0.14179730415344238,9388,142976
wall24,Slight-Right-Turn,5,1.0849347114562988,0,47561,3477,25899,1723,58728.63706140351,13392.879298245614,0.14682364463806152,9471,61267040
thyroid_allbp,increased binding protein.,2,0.0694015026092529,0,1904,748,657,252,1897.859375,494.2421875,0.05908799171447754,3906,2081
thyroid_allbp,increased binding protein.,3,0.3334169387817383,0,12163,3566,4783,835,8855.592447916666,3407.9453125,0.06924271583557129,4668,43745
thyroid_allbp,increased binding protein.,5,6.488408088684082,0,235019,47048,121966,2418,207956.26544596354,100500.8828125,0.08877158164978027,5823,8303633
analcatdata_creditscore,1,2,0.0098063945770263,0,174,61,84,28,144.16666666666666,64.66666666666667,0.0063381195068359375,296,232
analcatdata_creditscore,1,3,0.0157146453857421,0,445,108,192,46,355.02777777777777,105.66666666666667,0.007261514663696289,412,1562
analcatdata_creditscore,1,5,0.0208499431610107,0,605,125,244,55,572.4229166666667,138.44444444444446,0.008333683013916016,477,27896
primary,1,2,0.0260436534881591,0,670,392,288,170,774.0943396226415,341.0,0.0242307186126709,1804,1432
primary,1,3,0.075650930404663,0,3179,1394,1533,406,3648.7248427672957,1468.4528301886792,0.03407120704650879,2574,24858
primary,1,5,0.4378349781036377,0,19921,7251,10452,941,25871.89331761006,11301.60031446541,0.04427623748779297,3298,3187368
breast_tissue_merged,car,2,0.0152668952941894,0,433,99,174,65,407.3125,114.54166666666667,0.01291966438293457,902,667
breast_tissue_merged,car,3,0.0316476821899414,0,1057,152,420,103,946.8668981481482,157.59722222222223,0.015208721160888672,1068,7807
breast_tissue_merged,car,5,0.0350391864776611,0,1325,165,516,112,1351.5934606481483,180.51967592592592,0.01707005500793457,1147,443704
pima,1,2,0.0201034545898437,0,424,395,216,178,425.5,366.0,0.014500617980957031,902,466
pima,1,3,0.0625770092010498,0,2579,898,1503,386,2986.6666666666665,1296.1666666666667,0.0221860408782959,1542,4526
pima,1,5,0.1516950130462646,0,6716,1030,4046,445,5731.233333333334,1012.1666666666666,0.02406024932861328,1584,174437
Divorce,1,2,0.2976760864257812,0,16366,385,10815,414,13402.481481481482,212.97037037037038,0.3595545291900635,30242,36586
Divorce,1,3,0.5794007778167725,0,31051,484,18630,511,16440.36049382716,290.0567901234568,0.38425755500793457,30506,3280726
Divorce,1,5,0.8328530788421631,0,50396,561,28281,600,21792.579938271607,697.2735802469136,0.3956644535064697,30687,11740092625
asbestos,(3)_Above_legal_limit,2,0.0043456554412841,0,29,19,13,8,31.0,21.5,0.0030167102813720703,66,37
asbestos,(3)_Above_legal_limit,3,0.0042624473571777,0,41,21,18,9,40.166666666666664,20.666666666666668,0.0027170181274414062,80,93
asbestos,(3)_Above_legal_limit,5,0.0045104026794433,0,41,21,18,9,41.833333333333336,20.0,0.0027053356170654297,76,93
bupa,1,2,0.0097367763519287,0,265,247,131,122,265.0,254.0,0.009142398834228516,578,301
bupa,1,3,0.0318615436553955,0,1481,401,717,164,1517.0,456.0,0.013915061950683594,998,2325
bupa,1,5,0.0396564006805419,0,1921,407,878,168,1743.5333333333333,319.0,0.014032363891601562,1022,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0055165290832519,0,1,0,0,0,1.0,0.0,0.0036940574645996094,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.0056293010711669,0,1,0,0,0,1.0,0.0,0.003943443298339844,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0056269168853759,0,1,0,0,0,1.0,0.0,0.003923177719116211,2,68406
cardio3,2,2,0.0557906627655029,0,2147,587,742,273,2168.8676470588234,604.2205882352941,0.06074047088623047,4490,2347
cardio3,2,3,0.2267317771911621,0,10752,2439,4769,685,8894.35661764706,2683.0588235294117,0.07322120666503906,5213,52463
cardio3,2,5,1.216813087463379,0,61874,7960,35602,1494,60928.51498161765,12934.427941176471,0.07665634155273438,5344,11290976
volcanoes-d4,3,2,0.0086028575897216,0,61,60,17,17,61.0,61.0,0.006502866744995117,146,79
volcanoes-d4,3,3,0.0103404521942138,0,125,95,36,36,139.58333333333334,84.83333333333333,0.0072977542877197266,228,299
volcanoes-d4,3,5,0.0102357864379882,0,125,95,36,36,150.25,99.66666666666667,0.0073316097259521484,228,299
pitt2_3,LONG,2,0.007584810256958,0,196,72,89,40,184.3913043478261,72.69565217391305,0.00683140754699707,393,277
pitt2_3,LONG,3,0.0117495059967041,0,438,119,194,64,424.5471014492754,113.59420289855072,0.008290529251098633,500,2048
pitt2_3,LONG,5,0.013279914855957,0,515,128,221,69,460.906544384058,89.41847826086956,0.008435249328613281,489,44552
grammatical_b5,1,2,3.1470839977264404,0,150657,3683,125426,708,117012.91885038039,1795.8693998309384,4.054446220397949,285105,700337
grammatical_b5,1,3,31.711375951766968,0,1563395,39888,1367365,1051,494775.61446886446,11535.963510848127,4.5717573165893555,298715,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1022851467132568,0,276,276,139,133,276.0,276.0,0.09037184715270996,627,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.1772294044494629,0,1526,1526,768,280,1634.3333333333333,1526.0,0.10179352760314941,1102,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.4533064365386963,0,7776,4651,3955,406,11886.416666666666,4651.0,0.1312580108642578,1677,68406
pitt1_4,S,2,0.0077388286590576,0,205,66,94,34,201.0625,58.375,0.012710332870483398,434,301
pitt1_4,S,3,0.0112960338592529,0,389,92,174,44,384.6875,79.875,0.008416414260864258,520,2325
pitt1_4,S,5,0.0118200778961181,0,435,93,192,44,443.4953125,73.75,0.008812904357910156,525,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.014175891876221,0,4601,2801,2224,281,4601.0,2585.0,4.149126291275024,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,28.085230588912964,0,76601,27704,39431,475,79265.0,30584.0,5.580938339233398,15570,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,422.2965874671936,0,1266011,90637,664413,546,1001146.4,67358.0,6.111550569534302,17645,79375496
gesture_va,P,2,0.2749745845794678,0,8065,2578,4281,398,8065.0,2571.0,0.3671762943267822,16386,8257
gesture_va,P,3,1.8705878257751465,0,73653,3940,50863,564,85192.0,5882.833333333333,0.3539764881134033,20830,349633
gesture_va,P,5,4.756482124328613,0,200677,5605,154711,664,302967.0135416667,11706.733333333334,0.3704969882965088,21885,275584033
connectionist_vowel,4,2,0.0355820655822753,0,1536,644,583,304,1520.2627118644068,506.7542372881356,0.04619121551513672,3365,1771
connectionist_vowel,4,3,0.1079838275909423,0,5366,928,2723,406,6313.173728813559,1360.949152542373,0.052750587463378906,4020,34280
connectionist_vowel,4,5,0.2820708751678467,0,15076,1419,8013,737,18388.66498940678,2001.4906779661017,0.0586850643157959,4302,5495792
breast_cancer_wis_pro,R,2,0.2042269706726074,0,11507,1657,4649,380,10331.155844155845,1371.5974025974026,0.22081780433654785,20946,11936
breast_cancer_wis_pro,R,3,1.4184236526489258,0,87639,2173,38757,460,56144.38961038961,2176.4112554112553,0.2549560070037842,23329,608840
breast_cancer_wis_pro,R,5,2.428960084915161,0,152673,2907,66789,486,125321.70768398269,5680.942857142857,0.2655205726623535,23659,699135746
diggle_table_a2,8,2,0.0096142292022705,0,289,104,76,70,258.25,102.734375,0.010453224182128906,546,529
diggle_table_a2,8,3,0.0185785293579101,0,837,216,255,199,720.7916666666666,233.33333333333334,0.013855695724487305,765,5489
diggle_table_a2,8,5,0.0371887683868408,0,1969,496,591,335,1365.38662109375,370.99791666666664,0.0162045955657959,857,242825
page,5,2,0.0296506881713867,0,737,330,244,184,738.85625,235.975,0.027779340744018555,1562,821
page,5,3,0.0646955966949462,0,2393,591,1043,360,2377.303125,752.4,0.039470672607421875,1879,10701
page,5,5,0.1206836700439453,0,5181,898,2487,551,9330.59484375,2562.7475,0.039301156997680664,2197,760099
steel-plates-fault,2,2,0.1420273780822754,0,6263,2115,3352,466,5956.862831858407,1303.9380530973451,0.1609485149383545,12093,6442
steel-plates-fault,2,3,0.6777925491333008,0,33570,5709,19588,863,40044.09587020649,7621.356932153392,0.19861412048339844,14404,240578
steel-plates-fault,2,5,0.861396312713623,0,43005,7657,23081,1318,208924.02852138644,31007.714085545722,0.22233939170837402,15603,147043850
mechanical,4,2,0.0213024616241455,0,372,266,155,145,357.7,279.1,0.020534515380859375,812,466
mechanical,4,3,0.0635299682617187,0,2186,937,748,320,2063.2,1189.6,0.02842402458190918,1306,4526
mechanical,4,5,0.1375823020935058,0,5583,1363,1862,459,8605.86484375,3267.9175,0.03354072570800781,1618,174437
OnlineShoppersIntention,True,2,0.1268360614776611,0,3467,752,1429,297,3318.3333333333335,726.7777777777778,0.12986326217651367,7202,4096
OnlineShoppersIntention,True,3,0.573408842086792,0,20929,2823,10797,657,15870.592592592593,3119.962962962963,0.15058112144470215,8279,121576
OnlineShoppersIntention,True,5,3.9743881225585938,0,159533,12072,90325,979,261444.7324074074,35027.770370370374,0.1718437671661377,9373,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.1344661712646484,0,4601,4601,2264,355,4601.0,4601.0,0.16637110710144043,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.6517975330352783,0,124601,6102,68469,478,128576.0,5816.0,0.2827420234680176,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,3.423908233642578,0,162831,6102,88598,478,154241.0,6176.0,0.28140830993652344,19000,79375496
glass,3,2,0.0125303268432617,0,414,221,174,137,394.758064516129,207.41935483870967,0.01421213150024414,839,497
glass,3,3,0.0323760509490966,0,1512,428,699,273,1521.7540322580646,436.6290322580645,0.017281055450439453,1165,4992
glass,3,5,0.0457239151000976,0,2141,579,1079,329,3215.680141129032,677.4951612903226,0.019850492477416992,1312,206368
molecular_promoter,+,2,0.4472706317901611,0,25605,1046,9894,442,25610.68640350877,678.0175438596491,0.4950411319732666,51758,26107
molecular_promoter,+,3,1.2643468379974363,0,69973,961,42561,539,45298.82949561404,1042.2463450292398,0.5248866081237793,52313,1975583
molecular_promoter,+,5,1.7588741779327393,0,98845,905,68960,534,80288.7166278326,1613.1563230994152,0.5278429985046387,52542,5024313128
blood,1,2,0.0063927173614501,0,113,98,46,46,113.0,97.5,0.005947589874267578,258,137
blood,1,3,0.0102384090423583,0,321,179,102,84,344.5,179.83333333333334,0.007143974304199219,404,697
blood,1,5,0.0115118026733398,0,385,204,123,96,463.1145833333333,213.33333333333334,0.007565498352050781,437,2517
weight,B,2,1.896592140197754,0,108220,767,59420,391,98804.24787052811,610.8381601362862,2.036667823791504,217192,172579
weight,B,3,3.231334924697876,0,183962,861,117906,466,129454.49843838728,878.8307779670641,2.1181087493896484,217729,33710824
weight,B,5,4.632802724838257,0,262919,893,187560,521,190676.42250496877,1230.0681431005112,2.147268533706665,217997,575871962176
ozone1,1,2,0.7543506622314453,0,35291,1156,13106,467,35239.95104895105,1132.86013986014,0.8899316787719727,73218,41042
ozone1,1,3,2.260997772216797,0,111599,4352,69963,807,95703.27972027972,6035.051282051282,0.9191615581512451,74996,3899182
ozone1,1,5,23.699903964996334,0,1219503,47878,899595,1774,974173.4778554778,112399.38881118881,0.9383559226989746,76416,15671998629
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.2905478477478027,0,276,276,0,0,276.0,276.0,0.2223372459411621,627,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4600811004638672,0,1526,1526,0,0,1609.3333333333333,1526.0,0.2560431957244873,1102,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.032327651977539,0,7776,4651,0,0,11773.916666666666,4651.0,0.3231778144836426,1677,68406
ionosphere,b,2,0.1566288471221923,0,8070,639,3571,357,8068.0,546.5,0.19686436653137207,16386,8257
ionosphere,b,3,0.4150857925415039,0,22717,989,11981,513,19701.0,1273.3333333333333,0.21214866638183594,17027,349633
ionosphere,b,5,1.2529449462890625,0,72532,3772,36091,703,40791.614583333336,1526.7916666666667,0.2020721435546875,17156,275584033
grammatical_b7,1,2,3.1015784740448,0,151802,3645,96245,919,122657.98669763513,1163.252956081081,4.312976121902466,301922,701521
grammatical_b7,1,3,26.181166887283325,0,1333008,46268,1003780,2015,293251.15603885136,9043.951858108108,4.699822187423706,308426,276633905
wine_quality,4,2,0.0431234836578369,0,1015,793,440,237,1016.0,766.0,0.05100893974304199,2118,1082
wine_quality,4,3,0.1734375953674316,0,6711,1557,3810,433,9458.25,2781.5,0.06349563598632812,3425,16262
wine_quality,4,5,0.5165054798126221,0,22547,3029,13443,774,73006.24791666666,15444.675,0.06667566299438477,3940,1550201
VehicleCouponRecommendation,0,2,0.1249165534973144,0,3756,1389,1798,308,3813.5,1477.0,0.148543119430542,8283,4187
