dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
spect_heart,0,2,0.0276734828948974,0,951,751,265,215,922.59,728.44,0.04794621467590332,4146,991
spect_heart,0,3,0.123490571975708,0,5903,2747,2254,424,6587.9175,3635.68,0.07245588302612305,6210,14235
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921,102648.5320625,52063.8885,0.09583282470703125,7812,1235994
fertility,O,2,0.0116863250732421,0,348,156,141,74,340.0,149.625,0.02843022346496582,2431,436
fertility,O,3,0.0302522182464599,0,1399,308,554,134,1199.5416666666667,302.375,0.038970947265625,3312,4090
fertility,O,5,0.0546834468841552,0,2798,352,1116,148,2400.4921875,408.0833333333333,0.04531455039978027,3719,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0201103687286376,0,276,276,137,130,276.0,276.0,0.04261207580566406,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0521051883697509,0,1526,1331,788,301,1617.6666666666667,1321.0,0.06966519355773926,4327,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1452505588531494,0,5491,2890,2796,352,7511.984375,2711.1666666666665,0.09184765815734863,5825,68406
Mushroom_UCI_,p,2,0.1459088325500488,0,5195,773,1437,394,4784.4925,484.27,0.13199996948242188,8919,6904
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693,13678.2625,1975.6133333333332,0.15136218070983887,9572,267034
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251,78360.65668229166,9405.370416666667,0.15764880180358887,9810,175230472
wall24,Slight-Right-Turn,2,0.1140954494476318,0,4225,1992,1669,416,4190.3175,1486.12,0.13447141647338867,9097,4561
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927,23050.712083333332,5980.306666666666,0.15714097023010254,10660,142976
wall24,Slight-Right-Turn,5,1.9238052368164065,0,91802,9353,52294,2220,234741.17165104166,33751.148250000006,0.186234712600708,11656,61267040
thyroid_allbp,increased binding protein.,2,0.0566754341125488,0,1904,1181,657,267,1891.035,959.615,0.08384275436401367,6066,2081
thyroid_allbp,increased binding protein.,3,0.3958337306976318,0,16233,7970,6470,828,13891.234583333333,7577.301666666666,0.11222314834594727,8220,43745
thyroid_allbp,increased binding protein.,5,11.147243738174438,0,481287,163539,227400,1656,535475.0479635417,297872.31125,0.16273164749145508,11668,8303633
analcatdata_creditscore,1,2,0.0075607299804687,0,174,61,84,28,141.315,62.39,0.017483234405517578,1323,232
analcatdata_creditscore,1,3,0.0124504566192626,0,445,108,192,46,339.3858333333333,100.91333333333333,0.023520946502685547,1838,1562
analcatdata_creditscore,1,5,0.0151193141937255,0,605,125,244,55,587.4673645833333,143.9085,0.029443025588989258,2183,27896
primary,1,2,0.0186753273010253,0,670,420,288,166,774.375,421.75,0.039954423904418945,3355,1432
primary,1,3,0.0863432884216308,0,4394,2271,1920,323,4359.845,2121.5233333333335,0.06276297569274902,5121,24858
primary,1,5,0.643805980682373,0,33647,14209,17430,780,45241.509989583334,20312.5575,0.09114885330200195,7174,3187368
breast_tissue_merged,car,2,0.0123884677886962,0,433,99,174,65,413.0,98.0,0.028278112411499023,2438,667
breast_tissue_merged,car,3,0.0226490497589111,0,1057,152,420,103,944.5833333333334,139.41666666666666,0.03518867492675781,2914,7807
breast_tissue_merged,car,5,0.0272455215454101,0,1325,165,516,112,1266.691015625,165.42916666666667,0.03867769241333008,3054,443704
pima,1,2,0.0144081115722656,0,424,418,216,180,424.15,418.9,0.04151296615600586,2932,466
pima,1,3,0.0659723281860351,0,3038,1398,1641,376,3039.75,1454.15,0.06306147575378418,5088,4526
pima,1,5,0.1865694522857666,0,9422,1668,5367,433,7977.8184375,1478.905,0.0724189281463623,5750,174437
Divorce,1,2,0.3383615016937256,0,17576,405,11551,432,14749.045,304.78,0.14693641662597656,12372,36586
Divorce,1,3,0.5788586139678955,0,32326,517,19393,551,21043.1775,646.99,0.16794109344482422,12558,3280726
Divorce,1,5,0.9290695190429688,0,54856,622,30613,652,42267.97245833334,1367.827,0.17181897163391113,12690,11740092625
asbestos,(3)_Above_legal_limit,2,0.004439353942871,0,29,19,13,8,28.76,19.4,0.01032257080078125,710,37
asbestos,(3)_Above_legal_limit,3,0.0047988891601562,0,41,21,18,9,41.473333333333336,20.853333333333335,0.012520551681518555,858,93
asbestos,(3)_Above_legal_limit,5,0.0047004222869873,0,41,21,18,9,42.1,21.30666666666667,0.012627363204956055,864,93
bupa,1,2,0.0105397701263427,0,265,247,131,122,265.0,247.36,0.028548479080200195,2326,301
bupa,1,3,0.0330085754394531,0,1497,414,719,165,1503.74,385.4,0.04729270935058594,4064,2325
bupa,1,5,0.0418932437896728,0,1953,425,883,169,2153.966,430.54,0.04978775978088379,4262,55455
