dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
spect_heart,0,2,0.0276734828948974,0,951,751,265,215,922.8,690.22,0.04774618148803711,4146,991
spect_heart,0,3,0.123490571975708,0,5903,2747,2254,424,6554.51,3932.41,0.07305312156677246,6194,14235
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921,101862.93825,47827.9785,0.0990743637084961,8194,1235994
fertility,O,2,0.0116863250732421,0,348,156,141,74,340.3125,143.875,0.028983354568481445,2431,436
fertility,O,3,0.0302522182464599,0,1399,308,554,134,1218.40625,300.2916666666667,0.03941154479980469,3347,4090
fertility,O,5,0.0546834468841552,0,2798,352,1116,148,2225.130338541667,373.6,0.04393148422241211,3573,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0201103687286376,0,276,276,137,130,276.0,276.0,0.0423123836517334,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0521051883697509,0,1526,1331,788,301,1634.3333333333333,1295.1666666666667,0.07095003128051758,4327,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1452505588531494,0,5491,2890,2796,352,7471.260416666666,2712.875,0.09135079383850098,5809,68406
Mushroom_UCI_,p,2,0.1459088325500488,0,5195,773,1437,394,4769.3625,553.245,0.13416767120361328,8919,6904
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693,12195.782083333334,1272.5133333333333,0.14937162399291992,9441,267034
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251,92870.99279166666,16582.486166666666,0.1912381649017334,10023,175230472
wall24,Slight-Right-Turn,2,0.1140954494476318,0,4225,1992,1669,416,4192.1375,1562.56,0.1404554843902588,9097,4561
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927,33968.89208333333,9273.9,0.17342090606689453,11566,142976
wall24,Slight-Right-Turn,5,1.9238052368164065,0,91802,9353,52294,2220,522427.959296875,104923.48433333333,0.18577814102172852,12396,61267040
thyroid_allbp,increased binding protein.,2,0.0566754341125488,0,1904,1181,657,267,1904.76,1078.26,0.08396506309509277,6066,2081
thyroid_allbp,increased binding protein.,3,0.3958337306976318,0,16233,7970,6470,828,17133.079583333332,9504.291666666666,0.1181185245513916,8753,43745
thyroid_allbp,increased binding protein.,5,11.147243738174438,0,481287,163539,227400,1656,458647.53078125,241257.11325,0.1784062385559082,11782,8303633
analcatdata_creditscore,1,2,0.0075607299804687,0,174,61,84,28,141.91,57.63,0.018122196197509766,1323,232
analcatdata_creditscore,1,3,0.0124504566192626,0,445,108,192,46,345.4116666666667,97.97333333333333,0.02387714385986328,1847,1562
analcatdata_creditscore,1,5,0.0151193141937255,0,605,125,244,55,517.1835,126.0655,0.027778148651123047,2069,27896
primary,1,2,0.0186753273010253,0,670,420,288,166,773.865,432.29,0.0407109260559082,3355,1432
primary,1,3,0.0863432884216308,0,4394,2271,1920,323,4220.0625,1975.6633333333334,0.06113386154174805,5053,24858
primary,1,5,0.643805980682373,0,33647,14209,17430,780,43437.19710416667,19496.704833333333,0.08883547782897949,7107,3187368
breast_tissue_merged,car,2,0.0123884677886962,0,433,99,174,65,411.4375,104.375,0.028832674026489258,2438,667
breast_tissue_merged,car,3,0.0226490497589111,0,1057,152,420,103,924.7708333333334,152.33333333333334,0.03504800796508789,2905,7807
breast_tissue_merged,car,5,0.0272455215454101,0,1325,165,516,112,1236.8313802083333,156.87083333333334,0.03855395317077637,3025,443704
