dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
spect_heart,0,2,0.0276734828948974,0,951,751,265,215,923.1818181818181,756.5227272727273,0.023297786712646484,1850,991
spect_heart,0,3,0.123490571975708,0,5903,2747,2254,424,8391.625,5240.340909090909,0.0385892391204834,3018,14235
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921,196188.14801136364,103507.2875,0.05497407913208008,4321,1235994
fertility,O,2,0.0116863250732421,0,348,156,141,74,341.63793103448273,167.81034482758622,0.010999679565429688,727,436
fertility,O,3,0.0302522182464599,0,1399,308,554,134,1177.0186781609195,256.6034482758621,0.013817310333251953,985,4090
fertility,O,5,0.0546834468841552,0,2798,352,1116,148,2125.9433369252874,335.91379310344826,0.01564335823059082,1086,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0201103687286376,0,276,276,137,130,276.0,276.0,0.01620030403137207,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0521051883697509,0,1526,1331,788,301,1609.3333333333333,1382.6666666666667,0.023734331130981445,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1452505588531494,0,5491,2890,2796,352,8165.4375,3143.5,0.029427289962768555,1504,68406
Mushroom_UCI_,p,2,0.1459088325500488,0,5195,773,1437,394,4832.527777777777,576.8376068376068,0.15506362915039062,10415,6904
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693,11182.176994301994,1429.437321937322,0.16959071159362793,10988,267034
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251,102252.23601317663,13517.443945868945,0.184128999710083,11619,175230472
wall24,Slight-Right-Turn,2,0.1140954494476318,0,4225,1992,1669,416,4197.7052631578945,1542.2526315789473,0.13042807579040527,8647,4561
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927,30875.552631578947,7069.784210526316,0.1597445011138916,10717,142976
wall24,Slight-Right-Turn,5,1.9238052368164065,0,91802,9353,52294,2220,379615.6339144737,69966.51763157894,0.18189454078674316,12005,61267040
thyroid_allbp,increased binding protein.,2,0.0566754341125488,0,1904,1181,657,267,1902.38671875,1147.1328125,0.06004023551940918,3906,2081
thyroid_allbp,increased binding protein.,3,0.3958337306976318,0,16233,7970,6470,828,17139.916666666668,9642.8125,0.08291387557983398,5643,43745
