dataset_name,target_value,depth,DFS_BSD_DP_FC_qf05 (PS)-real_time_taken,DFS_BSD_DP_FC_qf05 (PS)-failed,DFS_BSD_DP_FC_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_FC_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_FC_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_FC_qf05 (PS)-e_est,DFS_BSD_DP_FC_qf05 (PS)-ei_est,DFS_BSD_DP_FC_qf05 (PS)-time_to_est,DFS_BSD_DP_FC_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_FC_qf05 (PS)-ub
spect_heart,0,2,0.0276734828948974,0,951,751,265,215,923.8977272727273,757.4772727272727,0.024543046951293945,1850,991
spect_heart,0,3,0.123490571975708,0,5903,2747,2254,424,7922.505681818182,5204.068181818182,0.04216361045837402,2965,14235
spect_heart,0,5,1.4026803970336914,0,72235,35541,46679,921,108644.03458806819,58292.37840909091,0.05234694480895996,3556,1235994
fertility,O,2,0.0116863250732421,0,348,156,141,74,334.9568965517241,159.18965517241378,0.012169361114501953,727,436
fertility,O,3,0.0302522182464599,0,1399,308,554,134,1123.5704022988505,252.00574712643677,0.015198707580566406,964,4090
fertility,O,5,0.0546834468841552,0,2798,352,1116,148,1473.5713002873563,224.3477011494253,0.015268087387084961,954,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0201103687286376,0,276,276,137,130,276.0,276.0,0.017525911331176758,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0521051883697509,0,1526,1331,788,301,1634.3333333333333,1342.6666666666667,0.026206016540527344,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1452505588531494,0,5491,2890,2796,352,7479.395833333333,2743.3333333333335,0.035600900650024414,1487,68406
Mushroom_UCI_,p,2,0.1459088325500488,0,5195,773,1437,394,4836.711538461538,546.0299145299145,0.16045904159545898,10415,6904
Mushroom_UCI_,p,3,0.4235372543334961,0,17960,1574,5709,693,13533.925925925925,1522.8746438746439,0.17967510223388672,11132,267034
Mushroom_UCI_,p,5,1.0895757675170898,0,48688,2408,17611,1251,82165.14282407408,12930.424287749287,0.18709778785705566,11376,175230472
wall24,Slight-Right-Turn,2,0.1140954494476318,0,4225,1992,1669,416,4195.071052631579,1713.2368421052631,0.13295555114746094,8647,4561
wall24,Slight-Right-Turn,3,0.6421167850494385,0,29795,4849,15546,927,33690.04692982456,8613.750877192982,0.16953802108764648,10955,142976
wall24,Slight-Right-Turn,5,1.9238052368164065,0,91802,9353,52294,2220,406717.5597423246,106235.70114035088,0.17256736755371094,11077,61267040
thyroid_allbp,increased binding protein.,2,0.0566754341125488,0,1904,1181,657,267,1897.859375,1097.09375,0.06193399429321289,3906,2081
thyroid_allbp,increased binding protein.,3,0.3958337306976318,0,16233,7970,6470,828,14213.505208333334,7774.6875,0.07892632484436035,5279,43745
thyroid_allbp,increased binding protein.,5,11.147243738174438,0,481287,163539,227400,1656,687924.8162109375,372945.51640625,0.11893916130065918,7660,8303633
analcatdata_creditscore,1,2,0.0075607299804687,0,174,61,84,28,142.0,64.66666666666667,0.006672859191894531,296,232
analcatdata_creditscore,1,3,0.0124504566192626,0,445,108,192,46,383.80555555555554,114.55555555555556,0.00782155990600586,428,1562
analcatdata_creditscore,1,5,0.0151193141937255,0,605,125,244,55,589.2340277777778,140.42222222222222,0.008713960647583008,466,27896
primary,1,2,0.0186753273010253,0,670,420,288,166,777.7830188679245,453.9056603773585,0.02505207061767578,1804,1432
