dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
spect_heart,0,2,0.0279409885406494,0,937,757,265,202,923.535,691.69,0.0472865104675293,4146,991
spect_heart,0,3,0.1046922206878662,0,5489,2750,2000,393,6734.3925,3900.0,0.0725851058959961,6275,14235
spect_heart,0,5,1.2528541088104248,0,71077,35508,35471,873,91182.97875,46611.095,0.10030126571655273,7729,1235994
fertility,O,2,0.0102946758270263,0,348,156,74,74,341.5625,166.0,0.028243303298950195,2431,436
fertility,O,3,0.023414134979248,0,1399,308,141,133,1305.28125,310.7083333333333,0.03954029083251953,3414,4090
fertility,O,5,0.0382707118988037,0,2798,352,161,145,2086.4466145833335,347.2291666666667,0.04240870475769043,3581,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0199348926544189,0,276,276,137,133,276.0,276.0,0.041692256927490234,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0481956005096435,0,1526,1332,681,297,1640.5833333333333,1296.8333333333333,0.0699167251586914,4327,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1253702640533447,0,5491,2892,1464,351,7622.005208333333,2827.4166666666665,0.09023356437683105,5804,68406
Mushroom_UCI_,p,2,0.0963010787963867,0,2838,835,564,409,4790.055,477.15,0.13236689567565918,8919,6904
Mushroom_UCI_,p,3,0.2875475883483886,0,12021,1704,1400,756,13051.48,1990.15,0.14672017097473145,9499,267034
Mushroom_UCI_,p,5,0.7934339046478271,0,41124,2907,2800,1552,91569.36779166666,15041.124833333333,0.1835646629333496,10152,175230472
wall24,Slight-Right-Turn,2,0.1029677391052246,0,3846,2049,1421,421,4189.635,1450.175,0.14423441886901855,9097,4561
wall24,Slight-Right-Turn,3,0.532092809677124,0,27905,5097,4379,985,31178.490833333333,8133.821666666667,0.1639406681060791,11305,142976
wall24,Slight-Right-Turn,5,1.429610252380371,0,86573,9613,9145,2285,257802.723421875,50392.796,0.1674952507019043,11406,61267040
thyroid_allbp,increased binding protein.,2,0.0563406944274902,0,1684,1198,565,263,1899.88,962.055,0.08163166046142578,6066,2081
thyroid_allbp,increased binding protein.,3,0.3637058734893799,0,15370,7963,4748,829,15013.532916666667,8023.008333333333,0.11056661605834961,8377,43745
thyroid_allbp,increased binding protein.,5,10.04579257965088,0,480187,163774,118416,1696,426752.20026041666,241519.3675,0.14392662048339844,10740,8303633
analcatdata_creditscore,1,2,0.0067758560180664,0,174,61,28,28,142.645,62.32,0.017845630645751953,1323,232
analcatdata_creditscore,1,3,0.0104899406433105,0,445,108,46,46,337.7525,95.22,0.023431062698364258,1837,1562
analcatdata_creditscore,1,5,0.0122935771942138,0,605,125,55,55,495.3707708333333,115.21316666666667,0.02752995491027832,2025,27896
primary,1,2,0.0174722671508789,0,670,420,205,161,774.8,414.27,0.03960585594177246,3355,1432
primary,1,3,0.0761952400207519,0,4331,2267,1291,331,4293.715,2097.8366666666666,0.06127810478210449,5113,24858
primary,1,5,0.5045876502990723,0,33441,14201,9988,803,44954.98278125,19506.737666666668,0.08637714385986328,7151,3187368
breast_tissue_merged,car,2,0.0108168125152587,0,433,99,65,65,411.125,92.625,0.028055429458618164,2438,667
breast_tissue_merged,car,3,0.0175857543945312,0,1057,152,103,103,978.21875,157.08333333333334,0.03523612022399902,2940,7807
breast_tissue_merged,car,5,0.0205457210540771,0,1325,165,113,112,1272.876171875,168.70625,0.03873133659362793,3059,443704
pima,1,2,0.0145771503448486,0,424,419,213,182,424.3,413.95,0.03851914405822754,2932,466
pima,1,3,0.063737154006958,0,3042,1453,990,408,3044.225,1413.45,0.0664374828338623,5116,4526
pima,1,5,0.1409602165222168,0,9704,1731,1212,450,9047.09625,1744.14,0.07144784927368164,5809,174437
Divorce,1,2,0.1039206981658935,0,7611,584,583,560,14454.72,376.76,0.14813017845153809,12372,36586
Divorce,1,3,0.2740943431854248,0,22611,894,893,879,21766.485,642.3133333333333,0.164259672164917,12577,3280726
Divorce,1,5,0.760141134262085,0,65571,1363,1362,1347,48702.98954166667,2611.7593333333334,0.1687312126159668,12738,11740092625
asbestos,(3)_Above_legal_limit,2,0.0043280124664306,0,29,19,8,8,29.08,18.72,0.010540962219238281,710,37
asbestos,(3)_Above_legal_limit,3,0.0046780109405517,0,41,21,9,9,42.86,21.62666666666667,0.012887716293334961,867,93
asbestos,(3)_Above_legal_limit,5,0.0046086311340332,0,41,21,9,9,42.053333333333335,21.62666666666667,0.012679100036621094,871,93
bupa,1,2,0.0105087757110595,0,265,247,123,122,265.0,248.2,0.029129743576049805,2326,301
bupa,1,3,0.0268230438232421,0,1497,414,200,168,1525.86,410.52,0.046034812927246094,4081,2325
bupa,1,5,0.031937837600708,0,1953,425,205,168,1897.18175,369.19,0.04804253578186035,4183,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0063607692718505,0,1,0,0,0,1.0,0.0,0.003457307815551758,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.006284475326538,0,1,0,0,0,1.0,0.0,0.0035386085510253906,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0063796043395996,0,1,0,0,0,1.0,0.0,0.0036725997924804688,2,68406
cardio3,2,2,0.0544309616088867,0,1978,1111,599,264,2171.1,966.58,0.09248232841491699,6570,2347
cardio3,2,3,0.2706124782562256,0,14002,5465,3348,732,12526.335,4601.2,0.10582685470581055,8191,52463
cardio3,2,5,3.072521209716797,0,192336,38975,30644,1672,297669.0960625,92611.4135,0.1349036693572998,10107,11290976
volcanoes-d4,3,2,0.0095462799072265,0,61,60,17,17,61.0,59.74,0.021328449249267578,1114,79
