dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
spect_heart,0,2,0.0279409885406494,0,937,757,265,202,922.38,669.85,0.046922922134399414,4146,991
spect_heart,0,3,0.1046922206878662,0,5489,2750,2000,393,5834.2625,3259.5,0.0691676139831543,5922,14235
spect_heart,0,5,1.2528541088104248,0,71077,35508,35471,873,75432.8838125,41974.435,0.09100770950317383,7373,1235994
fertility,O,2,0.0102946758270263,0,348,156,74,74,338.5625,154.375,0.028527498245239258,2431,436
fertility,O,3,0.023414134979248,0,1399,308,141,133,1237.7708333333333,288.5,0.03959488868713379,3354,4090
fertility,O,5,0.0382707118988037,0,2798,352,161,145,2220.2796875,362.41041666666666,0.04320502281188965,3565,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0199348926544189,0,276,276,137,133,276.0,276.0,0.04268622398376465,2427,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0481956005096435,0,1526,1332,681,297,1621.8333333333333,1271.0,0.07009482383728027,4327,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1253702640533447,0,5491,2892,1464,351,8145.286458333333,3060.0416666666665,0.09451770782470703,5912,68406
Mushroom_UCI_,p,2,0.0963010787963867,0,2838,835,564,409,4779.375,617.325,0.13321208953857422,8919,6904
Mushroom_UCI_,p,3,0.2875475883483886,0,12021,1704,1400,756,13444.415,1741.0983333333334,0.15429997444152832,9562,267034
Mushroom_UCI_,p,5,0.7934339046478271,0,41124,2907,2800,1552,85563.57084375,14795.648,0.16138458251953125,9953,175230472
wall24,Slight-Right-Turn,2,0.1029677391052246,0,3846,2049,1421,421,4196.6875,1740.465,0.13289332389831543,9097,4561
wall24,Slight-Right-Turn,3,0.532092809677124,0,27905,5097,4379,985,35026.653333333335,8228.916666666666,0.17037272453308105,11620,142976
wall24,Slight-Right-Turn,5,1.429610252380371,0,86573,9613,9145,2285,426364.742046875,115289.24883333333,0.17905116081237793,11972,61267040
thyroid_allbp,increased binding protein.,2,0.0563406944274902,0,1684,1198,565,263,1895.915,974.255,0.08330750465393066,6066,2081
thyroid_allbp,increased binding protein.,3,0.3637058734893799,0,15370,7963,4748,829,13426.617916666666,7221.163333333333,0.10881471633911133,8094,43745
thyroid_allbp,increased binding protein.,5,10.04579257965088,0,480187,163774,118416,1696,563529.03215625,303900.1380833333,0.16161394119262695,11867,8303633
analcatdata_creditscore,1,2,0.0067758560180664,0,174,61,28,28,142.575,61.76,0.01803135871887207,1323,232
analcatdata_creditscore,1,3,0.0104899406433105,0,445,108,46,46,361.31333333333333,106.72333333333333,0.024260759353637695,1882,1562
analcatdata_creditscore,1,5,0.0122935771942138,0,605,125,55,55,497.71919791666664,118.397,0.027566194534301758,2038,27896
primary,1,2,0.0174722671508789,0,670,420,205,161,775.905,424.98,0.040610313415527344,3355,1432
primary,1,3,0.0761952400207519,0,4331,2267,1291,331,4308.405833333333,2041.1133333333335,0.06221461296081543,5093,24858
primary,1,5,0.5045876502990723,0,33441,14201,9988,803,44528.145010416665,20316.34,0.08603048324584961,7024,3187368
breast_tissue_merged,car,2,0.0108168125152587,0,433,99,65,65,412.875,100.625,0.028574466705322266,2438,667
breast_tissue_merged,car,3,0.0175857543945312,0,1057,152,103,103,963.9479166666666,148.58333333333334,0.03597235679626465,2943,7807
breast_tissue_merged,car,5,0.0205457210540771,0,1325,165,113,112,1166.055859375,148.99166666666667,0.03753066062927246,3005,443704
pima,1,2,0.0145771503448486,0,424,419,213,182,423.85,414.4,0.03764772415161133,2932,466
pima,1,3,0.063737154006958,0,3042,1453,990,408,3002.425,1372.55,0.06286263465881348,5068,4526
pima,1,5,0.1409602165222168,0,9704,1731,1212,450,8865.6534375,1711.8125,0.07155752182006836,5823,174437
Divorce,1,2,0.1039206981658935,0,7611,584,583,560,14492.235,340.16,0.14767909049987793,12372,36586
Divorce,1,3,0.2740943431854248,0,22611,894,893,879,23717.06166666667,581.9233333333333,0.17047429084777832,12611,3280726
Divorce,1,5,0.760141134262085,0,65571,1363,1362,1347,41081.644458333336,1769.9593333333332,0.17058277130126953,12673,11740092625
asbestos,(3)_Above_legal_limit,2,0.0043280124664306,0,29,19,8,8,28.76,18.56,0.010519266128540039,710,37
asbestos,(3)_Above_legal_limit,3,0.0046780109405517,0,41,21,9,9,43.63333333333333,22.386666666666667,0.013101339340209961,886,93
asbestos,(3)_Above_legal_limit,5,0.0046086311340332,0,41,21,9,9,43.406666666666666,21.68,0.012869119644165039,871,93
bupa,1,2,0.0105087757110595,0,265,247,123,122,265.0,242.32,0.029008150100708008,2326,301
bupa,1,3,0.0268230438232421,0,1497,414,200,168,1536.34,427.52,0.0473635196685791,4107,2325
bupa,1,5,0.031937837600708,0,1953,425,205,168,2092.1395,426.39,0.05024075508117676,4225,55455
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,2,0.0063607692718505,0,1,0,0,0,1.0,0.0,0.003699064254760742,2,326
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,3,0.006284475326538,0,1,0,0,0,1.0,0.0,0.003881692886352539,2,2626
U_LVL2_0_Uninteresting_Non-Random-Synthetic__2_5_3125_,0,5,0.0063796043395996,0,1,0,0,0,1.0,0.0,0.00400090217590332,2,68406
cardio3,2,2,0.0544309616088867,0,1978,1111,599,264,2164.17,913.45,0.08722400665283203,6570,2347
cardio3,2,3,0.2706124782562256,0,14002,5465,3348,732,15235.6075,6312.69,0.11322164535522461,8618,52463
cardio3,2,5,3.072521209716797,0,192336,38975,30644,1672,208815.39568750001,66081.8115,0.13976788520812988,10156,11290976
volcanoes-d4,3,2,0.0095462799072265,0,61,60,17,17,61.0,59.86,0.020101547241210938,1114,79
volcanoes-d4,3,3,0.011061668395996,0,125,95,36,36,139.26,96.5,0.02948784828186035,1800,299
volcanoes-d4,3,5,0.0110318660736083,0,125,95,36,36,139.13,93.16,0.029362916946411133,1790,299
pitt2_3,LONG,2,0.0074813365936279,0,196,72,40,40,185.0325,70.7,0.020233869552612305,1625,277
pitt2_3,LONG,3,0.0106527805328369,0,438,119,64,64,451.61375,114.19166666666666,0.02719593048095703,2149,2048
pitt2_3,LONG,5,0.0117766857147216,0,515,128,69,69,661.2368541666667,142.10708333333335,0.03093409538269043,2333,44552
grammatical_b5,1,2,2.958292007446289,0,177954,11229,10617,1232,254685.1625,8757.7,0.7632031440734863,51585,700337
grammatical_b5,1,3,54.31504464149475,0,3432426,154754,153283,3142,2934060.9270833335,220319.875,1.018977403640747,55286,275933568
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,2,0.1451294422149658,0,276,276,139,135,276.0,276.0,0.1530470848083496,2427,326
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,3,0.2757384777069092,0,1526,1526,768,289,1640.5833333333333,1526.0,0.21370911598205566,4327,2626
ED_LVL_1_2_EqualDist_Random-Synthetic__2_5_100000_,0,5,0.6069724559783936,0,7776,4651,2291,410,12070.270833333332,4651.0,0.29405784606933594,6627,68406
pitt1_4,S,2,0.0106651782989501,0,205,66,34,34,200.68,67.6,0.026778459548950195,1726,301
pitt1_4,S,3,0.0142099857330322,0,389,92,44,44,425.665,88.81,0.026346206665039062,2144,2325
pitt1_4,S,5,0.0131785869598388,0,435,93,44,44,528.770875,92.9125,0.028040170669555664,2203,55455
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,2,4.403478622436523,0,4601,2801,1414,354,4601.0,2936.0,4.0775816440582275,10002,5051
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,3,27.558708429336548,0,76601,27704,14070,558,71753.0,25073.0,5.363589763641357,15054,166751
ND_LVL_2_3_NormalDist_Random-Synthetic__2_10_1000000_,0,5,315.0062663555145,0,1266011,90637,45172,746,1535344.625,108362.0,6.2152979373931885,18339,79375496
gesture_va,P,2,0.280726671218872,0,8065,7738,4220,471,8065.0,7812.84,0.3059041500091553,12830,8257
gesture_va,P,3,6.215773344039917,0,291229,56719,38995,769,305694.76,110915.98666666666,0.38496994972229004,24379,349633
gesture_va,P,5,42.06213355064392,0,2266257,175712,133230,1734,11643641.576,1454227.176,0.4502253532409668,29116,275584033
connectionist_vowel,4,2,0.0351753234863281,0,1536,960,562,285,1547.13,948.625,0.0704047679901123,5661,1771
connectionist_vowel,4,3,0.1826093196868896,0,11274,3559,2919,503,14476.25,5457.135,0.1015021800994873,8587,34280
connectionist_vowel,4,5,0.5019607543945312,0,37192,4810,4460,766,71489.6248125,10507.2875,0.11703157424926758,9544,5495792
breast_cancer_wis_pro,R,2,0.1851780414581298,0,11507,5417,2922,401,10324.4,5201.64,0.14730501174926758,13656,11936
breast_cancer_wis_pro,R,3,3.024700164794922,0,293191,10631,6934,462,249959.8,15025.146666666667,0.22252464294433594,21346,608840
breast_cancer_wis_pro,R,5,5.804111957550049,0,604179,14576,11676,593,679709.4654166667,33367.568666666666,0.22914457321166992,21454,699135746
diggle_table_a2,8,2,0.0092988014221191,0,289,104,70,70,252.7675,105.805,0.0236053466796875,1634,529
diggle_table_a2,8,3,0.0184869766235351,0,917,248,210,193,674.6225,216.10666666666665,0.0330507755279541,2273,5489
diggle_table_a2,8,5,0.0330100059509277,0,1961,506,496,269,1745.3349166666667,466.443,0.04491758346557617,2911,242825
page,5,2,0.0304880142211914,0,737,475,237,183,738.32,471.34,0.05593514442443848,3842,821
page,5,3,0.0925536155700683,0,4153,1573,1246,373,4220.305,1749.695,0.08844161033630371,5521,10701
page,5,5,0.2423112392425537,0,13993,3393,2964,669,19587.22840625,4929.976,0.09951329231262207,6575,760099
steel-plates-fault,2,2,0.1413638591766357,0,6263,4753,3062,512,5954.3275,4585.415,0.14235854148864746,10715,6442
steel-plates-fault,2,3,1.7451775074005127,0,98475,24850,19674,1082,151362.5125,52194.708333333336,0.24387121200561523,18554,240578
steel-plates-fault,2,5,2.3289570808410645,0,137871,37756,34709,1592,4158745.026286458,1153948.4028333332,0.2940096855163574,21769,147043850
mechanical,4,2,0.0225427150726318,0,372,270,152,143,352.165,273.43,0.04710245132446289,2632,466
mechanical,4,3,0.0629720687866211,0,2284,1252,736,317,1966.99,1197.01,0.06901383399963379,4298,4526
mechanical,4,5,0.2634055614471435,0,13613,4788,3243,504,13568.43071875,5274.874,0.0965263843536377,6033,174437
OnlineShoppersIntention,True,2,0.1194379329681396,0,3194,1691,993,307,3341.6,1744.2,0.1369304656982422,7992,4096
OnlineShoppersIntention,True,3,0.9290144443511964,0,41883,11572,7423,744,39223.433333333334,15136.066666666668,0.19306707382202148,11485,121576
OnlineShoppersIntention,True,5,12.935302734375,0,702310,90735,67700,1066,832912.7833333333,135647.16666666666,0.23889899253845215,13814,46626034
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,2,0.133652925491333,0,4601,4601,2264,403,4601.0,4601.0,0.1574258804321289,10002,5051
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,3,2.233741521835327,0,124601,30939,24367,650,128801.0,55361.0,0.27838921546936035,18902,166751
ED_LVL_2_1_EqualDist_Random-Synthetic__2_10_10000_,1,5,8.609611988067627,0,642691,30939,24367,650,1103596.625,60536.0,0.32193875312805176,22531,79375496
glass,3,2,0.0126686096191406,0,414,221,145,138,395.015,226.045,0.0349125862121582,2633,497
glass,3,3,0.0317854881286621,0,1778,556,412,267,1696.26875,480.925,0.04779219627380371,3865,4992
glass,3,5,0.0460057258605957,0,2697,816,652,317,3915.070953125,809.83225,0.0574955940246582,4474,206368
molecular_promoter,+,2,0.2172691822052002,0,17561,1837,1486,465,25610.4375,1841.97,0.22473645210266113,22830,26107
molecular_promoter,+,3,0.87532639503479,0,85233,1272,1105,523,135954.66458333333,4105.538333333333,0.25032544136047363,24372,1975583
molecular_promoter,+,5,1.2883641719818115,0,128517,1212,1079,520,335505.85295833333,8491.102666666668,0.2538168430328369,24179,5024313128
blood,1,2,0.0069403648376464,0,113,98,46,46,113.0,98.6,0.020064115524291992,1518,137
blood,1,3,0.0104694366455078,0,321,179,84,84,357.36,186.54666666666665,0.03087615966796875,2437,697
blood,1,5,0.0116002559661865,0,385,204,96,96,485.33166666666665,203.89333333333335,0.033501386642456055,2627,2517
weight,B,2,0.3582653999328613,0,32269,1138,1038,380,155036.9125,4085.775,0.5131137371063232,54989,172579
weight,B,3,0.6490120887756348,0,62742,1047,1013,434,650432.375,9519.425,0.5816714763641357,56101,33710824
weight,B,5,1.6001896858215332,0,163471,799,726,423,1246483.1608333334,16150.985,0.6156535148620605,55946,575871962176
ozone1,1,2,0.6443719863891602,0,33507,15072,11683,569,39312.125,18381.52,0.3633098602294922,28088,41042
ozone1,1,3,16.017613649368286,0,997761,227327,223948,1137,1224993.42125,404267.815,0.48383617401123047,38367,3899182
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,2,0.3342037200927734,0,276,276,0,0,276.0,276.0,0.3490164279937744,2427,326
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,3,0.4752979278564453,0,1526,1526,0,0,1640.5833333333333,1526.0,0.4884481430053711,4327,2626
U_LVL2_2_Uninteresting_Non-Random-Synthetic__2_5_312500_,0,5,1.0326054096221924,0,7776,4651,0,0,12571.833333333332,4651.0,0.6695127487182617,6627,68406
ionosphere,b,2,0.0926356315612793,0,5455,908,673,331,8070.12,1169.64,0.15569758415222168,12830,8257
ionosphere,b,3,0.3063750267028808,0,21749,1943,1376,647,29736.893333333333,3734.7599999999998,0.1569361686706543,13741,349633
ionosphere,b,5,1.7233221530914309,0,151384,13104,2778,1205,156741.728,11040.392,0.15978217124938965,14180,275584033
grammatical_b7,1,2,3.0262451171875,0,178325,28593,27865,1608,202936.875,21958.455,0.6400468349456787,41386,701521
grammatical_b7,1,3,153.78107404708862,0,9992670,1131465,1129916,5231,6342558.75625,1013712.5733333334,0.9989602565765381,52441,276633905
