dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
spect_heart,0,2,0.0279409885406494,0,937,757,265,202,924.375,769.4090909090909,0.023534774780273438,1850,991
spect_heart,0,3,0.1046922206878662,0,5489,2750,2000,393,8564.875,5339.454545454545,0.0376439094543457,3051,14235
spect_heart,0,5,1.2528541088104248,0,71077,35508,35471,873,119024.17002840909,57790.90795454545,0.045177459716796875,3490,1235994
fertility,O,2,0.0102946758270263,0,348,156,74,74,340.9913793103448,169.5344827586207,0.010721206665039062,727,436
fertility,O,3,0.023414134979248,0,1399,308,141,133,1215.2370689655172,326.14367816091954,0.013705968856811523,983,4090
fertility,O,5,0.0382707118988037,0,2798,352,161,145,2310.9859913793102,390.691091954023,0.015167951583862305,1086,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0199348926544189,0,276,276,137,133,276.0,276.0,0.015952587127685547,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0481956005096435,0,1526,1332,681,297,1617.6666666666667,1286.0,0.023345232009887695,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1253702640533447,0,5491,2892,1464,351,8266.208333333332,3238.5,0.028878450393676758,1510,68406
Mushroom_UCI_,p,2,0.0963010787963867,0,2838,835,564,409,4826.252136752137,572.2735042735043,0.15573334693908691,10415,6904
Mushroom_UCI_,p,3,0.2875475883483886,0,12021,1704,1400,756,14053.346153846154,1874.437321937322,0.1723625659942627,11210,267034
Mushroom_UCI_,p,5,0.7934339046478271,0,41124,2907,2800,1552,87949.1519542379,12638.784472934472,0.17844581604003906,11455,175230472
wall24,Slight-Right-Turn,2,0.1029677391052246,0,3846,2049,1421,421,4194.831578947368,1395.2157894736843,0.1393604278564453,8647,4561
wall24,Slight-Right-Turn,3,0.532092809677124,0,27905,5097,4379,985,30490.43903508772,7948.49298245614,0.15565872192382812,10671,142976
