dataset_name,target_value,depth,DFS_BSD_DP_qf05 (PS)-real_time_taken,DFS_BSD_DP_qf05 (PS)-failed,DFS_BSD_DP_qf05 (PS)-sgs_evaluated,DFS_BSD_DP_qf05 (PS)-sgs_eval_interesting,DFS_BSD_DP_qf05 (PS)-sgs_quality_interesting,DFS_BSD_DP_qf05 (PS)-sgs_top_k_interesting,DFS_BSD_DP_qf05 (PS)-e_est,DFS_BSD_DP_qf05 (PS)-ei_est,DFS_BSD_DP_qf05 (PS)-time_to_est,DFS_BSD_DP_qf05 (PS)-sdfastest-esgs,DFS_BSD_DP_qf05 (PS)-ub
spect_heart,0,2,0.0279409885406494,0,937,757,265,202,923.4204545454545,767.0227272727273,0.022608041763305664,1850,991
spect_heart,0,3,0.1046922206878662,0,5489,2750,2000,393,8664.78409090909,5341.681818181818,0.03782367706298828,3068,14235
spect_heart,0,5,1.2528541088104248,0,71077,35508,35471,873,150023.90767045456,80296.15454545454,0.05168318748474121,4034,1235994
fertility,O,2,0.0102946758270263,0,348,156,74,74,344.2241379310345,154.01724137931035,0.010683774948120117,727,436
fertility,O,3,0.023414134979248,0,1399,308,141,133,1339.41091954023,352.867816091954,0.014432668685913086,1020,4090
fertility,O,5,0.0382707118988037,0,2798,352,161,145,1824.315283764368,289.07471264367814,0.015903234481811523,1032,146596
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,2,0.0199348926544189,0,276,276,137,133,276.0,276.0,0.016077756881713867,627,326
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,3,0.0481956005096435,0,1526,1332,681,297,1617.6666666666667,1379.3333333333333,0.02340078353881836,1102,2626
ND_LVL_1_1_NormalDist_Random-Synthetic__2_5_10000_,1,5,0.1253702640533447,0,5491,2892,1464,351,7772.312499999999,2977.5,0.030656814575195312,1471,68406
Mushroom_UCI_,p,2,0.0963010787963867,0,2838,835,564,409,4803.431623931624,450.56410256410254,0.15249896049499512,10415,6904
Mushroom_UCI_,p,3,0.2875475883483886,0,12021,1704,1400,756,10492.173433048432,1031.2193732193732,0.1665961742401123,10916,267034
Mushroom_UCI_,p,5,0.7934339046478271,0,41124,2907,2800,1552,59111.85086805555,8560.587678062679,0.1760706901550293,11356,175230472
